科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,118,413,320.77","1,837,478,198.10","2,188,216,573.26","120,148,714.27","250,316,507.83","618,357,652.36","1,859,241,375.56","382,206,126.41","698,141,766.62","1,074,343,532.65","2,001,674,958.93","301,349,339.01","593,755,904.01","849,849,767.65","1,867,011,762.95","811,876,258.02"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,
收到的税费返还,"2,106,580.65","5,716,430.65","12,066,429.45","1,651,950.59","2,988,550.83","8,223,782.06","8,223,782.06","103,669.60","1,398,025.02","1,724,084.82","5,960,473.78","437,514.79","681,273.25","1,752,137.81","1,529,179.11","162,807.56"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"10,153,641.22","20,636,812.93","15,987,910.91","1,233,067.18","579,369.27","11,231,733.34","28,814,001.16","5,276,179.59","6,843,964.16","13,166,422.64","25,668,768.70","1,514,628.67","5,343,481.31","10,842,942.52","5,638,974.37","10,739,596.42"
投资活动现金流出小计,"51,371,235.75","33,013,888.49","55,019,421.50","1,074,192.88","2,193,131.10","39,317,719.63","90,905,376.78","13,898,744.36","66,613,908.88","67,645,700.60","102,701,595.88","16,795,689.70","63,191,745.80","85,946,203.41","134,503,519.96","44,185,624.55"
经营活动现金流入小计,"1,130,673,542.64","1,863,831,441.68","2,216,270,913.62","123,033,732.04","253,884,427.93","637,813,167.76","1,896,279,158.78","387,585,975.60","706,383,755.80","1,089,234,040.11","2,033,304,201.41","303,301,482.47","599,780,658.57","862,444,847.98","1,874,179,916.43","822,778,662.00"
投资活动产生的现金流量净额,"-26,105,185.75","-27,149,850.49","-39,228,009.13","-1,067,992.88","-1,305,931.10","-38,430,519.63","-61,986,189.28","-12,661,246.16","-65,376,410.68","-66,408,202.40","-99,287,657.68","-16,795,689.70","-62,959,745.80","-85,714,203.41","-134,271,519.96","-44,185,624.55"
购买商品、接受劳务支付的现金,"783,350,135.30","1,184,947,961.09","1,366,432,253.76","441,805,926.27","750,539,333.18","1,116,190,942.55","1,705,646,474.33","507,861,306.65","748,627,402.19","1,159,316,006.05","1,648,341,783.73","428,493,811.83","742,860,185.68","1,194,719,551.29","1,926,176,668.07","767,410,615.15"
吸收投资收到的现金,,,,,,"722,148,000.00","722,148,000.00",,,,,,,,,
支付给职工以及为职工支付的现金,"139,505,340.30","156,017,614.40","172,102,984.51","59,917,631.05","100,963,315.03","139,024,288.41","188,330,983.04","66,692,065.61","105,075,357.89","142,176,587.99","183,354,736.48","64,467,169.01","122,322,751.13","148,805,794.98","204,621,342.23","68,884,248.38"
取得借款收到的现金,"80,000,000.00","80,000,000.00","80,000,000.00",,"40,000,000.00","80,000,000.00","80,000,000.00",,,"40,000,000.00","40,000,000.00",,"40,000,000.00","80,000,000.00","887,084,878.35",
支付的各项税费,"12,547,331.08","35,872,368.07","38,125,490.14","12,842,406.46","21,415,708.23","52,887,036.96","72,272,618.99","15,992,645.19","26,685,203.66","57,530,902.02","66,669,848.21","11,359,718.36","31,921,709.53","59,306,342.55","86,236,918.56","21,934,226.55"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"64,245,755.34","58,370,803.28","74,890,828.20","41,035,083.12","55,067,776.62","102,544,532.77","91,663,365.14","21,580,574.22","45,433,778.90","49,839,170.21","63,345,284.53","37,291,147.52","43,604,014.16","53,983,492.21","159,909,960.64","61,035,643.57"
