科目,2007年1-3月,2007年1-6月,2007年1-9月
一、营业收入,"1,420,878,273.56","2,924,713,980.58","4,346,306,077.93"
二、营业利润,"161,101,264.73","477,780,410.17","634,587,700.36"
减:营业成本,"1,063,100,590.47","2,215,684,239.97","3,350,713,134.22"
加:补贴收入,,,
营业税金及附加,"9,348,591.64","17,531,726.25","29,459,475.81"
营业外收入,"461,700.00","562,366.00","1,177,247.50"
销售费用,"32,659,458.99","45,998,693.31","69,873,152.90"
减:营业外支出,"1,010,181.74","6,054,010.30","12,393,266.13"
管理费用,"94,628,893.47","106,497,272.92","168,429,331.53"
其中:非流动资产处置净损失,,,"6,153,270.48"
堪探费用,,,
加:影响利润总额的其他科目,,,
财务费用,"44,328,511.47","57,118,772.66","89,174,718.00"
三、利润总额,"160,552,782.99","472,288,765.87","623,371,681.73"
资产减值损失,"15,732,979.77","3,917,859.49","4,378,267.80"
减:所得税,"25,636,130.97","71,115,528.49","94,543,353.94"
加:公允价值变动净收益,,,
加:影响净利润的其他科目,,,
投资收益,"22,016.98","-185,005.81","309,702.69"
四、净利润,"134,916,652.02","401,173,237.38","528,828,327.79"
其中:对联营企业和合营企业的投资权益,"20,793.69",,"308,479.40"
归属于母公司所有者的净利润,"134,916,652.02","401,148,917.73","528,791,370.56"
影响营业利润的其他科目,,,
少数股东损益,,"24,319.65","36,957.23"
