科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"613,741,354.87","664,237,610.92","545,094,908.57","198,048,919.45","330,071,939.46","531,794,313.11","76,634,991.99","266,546,461.10","377,727,483.05","626,593,079.83"
取得子公司及其他营业单位支付的现金净额,"2,768,601.39",,,,,,,,"91,599.33","539,468.79"
收到的税费返还,,,"16,073.58","1,456,278.90","1,456,278.90","1,456,278.90","515,439.43","757,346.80","3,033,762.31","241,907.37"
支付其他与投资活动有关的现金,,,,,"300,000.00",,50.00,,,
收到其他与经营活动有关的现金,"12,343,209.79","9,595,047.49","8,772,725.54","12,399,628.12","32,399,628.12","26,301,405.74","5,659,912.96","28,976,736.29","29,087,283.09","31,741,837.13"
投资活动现金流出小计,"136,061,193.94","145,756,186.44","167,650,561.43","743,294,298.70","1,048,216,698.11","1,486,033,270.06","412,739,759.50","857,188,441.61","1,503,780,607.98","2,016,666,708.43"
经营活动现金流入小计,"626,084,564.66","673,832,658.41","553,883,707.69","211,904,826.47","363,927,846.48","559,551,997.75","82,810,344.38","296,280,544.19","409,848,528.45","658,576,824.33"
投资活动产生的现金流量净额,"-110,575,465.13","-132,156,446.44","-161,822,086.25","8,500,306.25","-3,630,498.60","-259,476,096.24","63,829,706.30","20,415,805.18","-116,074,485.73","-199,966,850.67"
购买商品、接受劳务支付的现金,"237,837,543.36","259,851,912.30","202,878,006.00","71,549,228.53","148,533,098.40","220,284,491.94","45,929,693.68","139,038,719.53","166,167,122.16","285,256,254.95"
吸收投资收到的现金,,,"300,000.00","900,000.00","2,070,000.00","330,264,000.00",,"2,400,000.00","33,430,000.00","33,530,000.00"
支付给职工以及为职工支付的现金,"100,728,716.68","118,165,128.16","110,134,094.87","63,928,906.30","89,795,252.32","121,290,592.48","37,999,099.45","74,492,313.90","107,896,781.48","131,510,023.00"
取得借款收到的现金,"45,000,000.00","95,000,000.00","205,000,000.00","75,000,000.00","75,000,000.00","85,000,000.00",,"85,000,000.00","85,000,000.00","155,000,000.00"
支付的各项税费,"80,969,408.82","91,068,530.64","65,602,966.96","33,884,476.30","49,472,640.91","67,592,317.90","10,839,001.80","26,461,464.55","46,267,766.41","62,517,715.64"
收到其他与筹资活动有关的现金,,,,,,,,,,
支付其他与经营活动有关的现金,"74,036,590.00","65,890,874.45","61,350,650.84","36,519,844.17","53,196,197.76","58,746,129.88","20,962,249.64","29,161,712.95","50,836,435.65","72,221,103.62"
筹资活动现金流入小计,"45,000,000.00","95,000,000.00","205,300,000.00","75,900,000.00","77,070,000.00","415,264,000.00",,"87,400,000.00","118,430,000.00","188,530,000.00"
经营活动现金流出小计,"493,572,258.86","534,976,445.55","439,965,718.67","205,882,455.30","340,997,189.39","467,913,532.20","115,730,044.57","269,154,210.93","371,168,105.70","551,505,097.21"
偿还债务支付的现金,"45,000,000.00","45,000,000.00","145,000,000.00","95,000,000.00","95,000,000.00","240,000,000.00",,,,
经营活动产生的现金流量净额,"132,512,305.80","138,856,212.86","113,917,989.02","6,022,371.17","22,930,657.09","91,638,465.55","-32,919,700.19","27,126,333.26","38,680,422.75","107,071,727.12"
分配股利、利润或偿还利息支付的现金,"32,544,000.00","53,243,027.33","56,043,062.49","3,343,536.19","4,159,676.18","5,859,390.37",,"109,713,713.47","109,508,721.20","113,502,137.06"
收回投资收到的现金,,"1,336,440.00",,"671,660,000.00","963,960,000.00","1,132,676,000.00","475,638,000.00","874,138,000.00","1,383,331,279.29","1,806,999,000.00"
支付其他与筹资活动有关的现金,,,,,,"6,733,389.78",,,,
取得投资收益收到的现金,,,"1,811,469.69","1,143,209.95","1,612,667.17","2,117,551.91","960,561.78","3,204,391.72","4,211,473.74","5,644,351.13"
筹资活动现金流出小计,"77,544,000.00","98,243,027.33","201,043,062.49","98,343,536.19","99,159,676.18","252,592,780.15",,"109,713,713.47","109,508,721.20","113,502,137.06"
处置固定资产、无形资产和其他长期资产收回的现金净额,"165,728.81","3,300.00","2,314,391.00","77,991,395.00","78,013,532.34","89,813,621.91","-30,257.00","11,743.00","6,387.00","717,763.83"
筹资活动产生的现金流量净额,"-32,544,000.00","-3,243,027.33","4,256,937.51","-22,443,536.19","-22,089,676.18","162,671,219.85",,"-22,313,713.47","8,921,278.80","75,027,862.94"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,
收到其他与投资活动有关的现金,"25,320,000.00","12,260,000.00","1,702,614.49","1,000,000.00","1,000,000.00","1,950,000.00","1,161.02","250,112.07","156,982.22","3,338,742.80"
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"25,485,728.81","13,599,740.00","5,828,475.18","751,794,604.95","1,044,586,199.51","1,226,557,173.82","476,569,465.80","877,604,246.79","1,387,706,122.25","1,816,699,857.76"
五、现金及现金等价物净增加额,"-10,607,159.33","3,456,739.09","-43,647,159.72","-7,920,858.77","-2,789,517.69","-5,166,410.84","30,910,006.11","25,228,424.97","-68,472,784.18","-17,867,260.61"
购建固定资产、无形资产和其他长期资产支付的现金,"108,492,592.55","145,756,186.44","167,131,693.52","71,634,298.70","83,956,698.11","111,859,270.06","28,787,209.50","70,416,541.61","233,913,108.65","267,984,339.64"
期初现金及现金等价物余额,"176,700,460.82","166,093,301.49","169,550,040.58","125,902,880.86","125,902,880.86","125,902,880.86","137,136,470.02","120,736,470.02","137,136,470.02","120,736,470.02"
投资支付的现金,"24,800,000.00",,"518,867.91","671,660,000.00","963,960,000.00","1,374,174,000.00","383,952,500.00","786,771,900.00","1,269,775,900.00","1,748,142,900.00"
期末现金及现金等价物余额,"166,093,301.49","169,550,040.58","125,902,880.86","117,982,022.09","123,113,363.17","120,736,470.02","168,046,476.13","145,964,894.99","68,663,685.84","102,869,209.41"
