科目,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"10,065,748,200.00","8,656,796,873.96","6,068,002,130.81","17,053,454,004.23","21,664,934,784.32","30,462,603,134.29","2,939,779,340.95","6,090,260,692.92","10,163,704,599.56","14,719,976,135.30","2,825,717,739.17","6,062,480,806.06","9,641,366,636.47","13,367,782,979.84","2,880,291,168.95"
提取保险责任准备金,,,,,,,,,,,,,,,
利息净收入,"1,899,822,700.00","1,827,340,053.66","683,232,063.12","1,939,083,584.45","1,607,792,982.06","2,839,611,567.70","429,478,698.39","879,879,531.33","1,727,886,349.30","1,867,488,232.87","498,820,406.28","1,076,504,069.76","1,442,440,407.24","1,749,743,163.17","435,174,194.43"
减：摊回保险责任准备金,,,,,,,,,,,,,,,
利息收入,,,,,,,,,,,,,,,
保单红利支出,,,,,,,,,,,,,,,
利息支出,,,,,,,,,,,,,,,
分保费用,,,,,,,,,,,,,,,
手续费及佣金净收入,"6,539,328,200.00","5,525,462,790.35","3,665,806,074.29","10,909,964,605.71","15,242,327,542.96","19,880,358,031.55","2,438,497,262.12","4,849,378,515.09","7,264,865,740.99","9,903,155,122.28","1,589,689,152.04","3,310,176,520.85","5,576,466,837.99","7,378,258,651.55","1,432,791,859.42"
营业税金及附加,"582,358,500.00","484,794,960.69","363,510,255.72","1,007,565,010.73","1,441,733,511.15","1,937,131,682.54","242,385,721.85","330,709,355.98","362,641,192.76","424,822,833.64","22,048,110.90","55,958,643.04","84,579,791.02","113,666,749.32","32,667,185.48"
手续费及佣金收入,,,,,,,,,,,,,,,
手续费及佣金支出2,,,,,,,,,,,,,,,
手续费及佣金支出,,,,,,,,,,,,,,,
业务及管理费,"5,201,631,000.00","3,860,920,504.32","1,927,538,907.66","5,935,152,384.06","8,427,526,739.63","10,844,174,921.69","1,362,874,164.51","3,251,259,865.96","5,388,486,093.99","7,597,638,862.68","1,469,252,120.99","3,142,978,746.01","4,791,239,245.51","6,834,337,736.47","1,499,156,307.88"
其中：代理买卖证券业务净收入,"4,767,324,500.00","4,326,021,188.41","2,987,926,404.36","9,146,615,295.20","12,353,754,616.96","15,674,850,498.76","1,474,004,364.91","3,096,239,043.91","4,443,984,852.62","5,897,281,737.21","1,067,091,718.16","2,102,188,718.23","3,357,977,295.35","4,559,414,682.25","948,288,235.82"
减：摊回分保费用,,,,,,,,,,,,,,,
证券承销业务净收入,"717,818,000.00","451,849,516.49","193,658,331.27","617,933,689.91","935,528,650.42","1,677,646,069.70","489,148,932.33","832,095,594.32","1,393,298,158.03","2,115,052,005.65","229,852,052.60","582,336,446.23","1,135,123,055.32","1,397,018,264.10","167,164,977.51"
