科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"465,505,877.75","526,912,414.80","631,735,648.30","381,618,248.87","592,034,617.87","789,546,503.56","244,639,853.26","502,176,729.00","737,403,428.44","931,696,935.68","299,658,422.02","541,430,098.75"
取得子公司及其他营业单位支付的现金净额,,,"4,457,890.29",,,,,,,,,
收到的税费返还,"2,717,259.33","1,997,872.40","2,315,305.02","1,999,300.60","3,883,125.35","4,519,846.16","950,856.35","2,538,135.20","4,609,297.74","5,126,329.42","1,165,395.35","3,181,784.59"
支付其他与投资活动有关的现金,,,,,,,,,,,,
收到其他与经营活动有关的现金,"4,626,459.45","4,075,804.60","5,432,971.12","1,874,007.86","2,888,850.23","4,570,116.76","540,036.08","2,987,277.66","202,290,313.79","105,235,979.59","4,970,568.64","11,807,038.68"
投资活动现金流出小计,"10,744,817.49","12,701,378.65","54,842,085.52","31,430,613.45","40,899,960.79","48,917,236.29","37,266,310.03","32,332,326.28","83,490,109.51","90,925,587.13","28,975,366.85","52,898,401.22"
经营活动现金流入小计,"472,849,596.53","532,986,091.80","639,483,924.44","385,491,557.33","598,806,593.45","798,636,466.48","246,130,745.69","507,702,141.86","944,303,039.97","1,042,059,244.69","305,794,386.01","556,418,922.02"
投资活动产生的现金流量净额,"-9,636,002.25","-7,675,985.06","-48,582,622.13","-31,430,263.45","-30,899,490.79","-38,316,766.29","-37,248,435.03","-32,319,249.36","-83,378,420.50","-90,681,287.11","-25,246,943.85","-52,799,600.03"
购买商品、接受劳务支付的现金,"257,211,774.02","300,992,076.69","319,580,881.71","214,986,316.37","318,767,627.97","443,830,929.90","128,897,717.37","314,610,019.77","490,704,307.78","579,013,855.08","169,185,782.68","311,317,664.97"
吸收投资收到的现金,,,,,,,,,"326,500,000.00","326,500,000.00",,"43,998,430.00"
支付给职工以及为职工支付的现金,"95,160,208.53","106,887,784.60","129,550,859.98","78,975,441.24","119,338,384.86","173,349,094.17","54,520,748.54","116,887,102.15","170,461,065.21","229,242,299.81","56,032,410.25","127,404,770.71"
取得借款收到的现金,"7,717,084.51","25,361,192.90","12,381,240.00","14,070,000.00","14,070,000.00","16,070,000.00","4,713,000.00","4,000,000.00","4,713,000.00","4,713,000.00",,
