科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"415,941,030.33","386,590,454.95","394,737,255.12","138,579,476.70","218,428,274.38","421,102,282.55","46,488,432.27","149,279,609.03","275,776,434.10"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,
收到的税费返还,"3,927,760.75",,"1,504,565.11","107,992.34","148,756.26","253,190.48",,"125,641.02","173,504.27"
支付其他与投资活动有关的现金,,,,,,,,,
收到其他与经营活动有关的现金,"23,777,815.26","19,477,045.72","15,015,415.50","10,531,724.11","23,882,240.94","20,378,526.35","3,413,247.79","7,334,129.52","19,455,352.85"
投资活动现金流出小计,"614,029,440.79","279,647,417.62","2,517,163.95","571,778.02","756,290.52","6,159,378.01","126,923.40","315,304.84","1,841,974.40"
经营活动现金流入小计,"443,646,606.34","406,067,500.67","411,257,235.73","149,219,193.15","242,459,271.58","441,733,999.38","49,901,680.06","156,739,379.57","295,405,291.22"
投资活动产生的现金流量净额,"-40,205,589.68","-46,836,707.48","-2,505,925.88","-571,278.02","-755,490.52","-6,158,578.01","-126,923.40","-313,994.84","-1,840,664.40"
购买商品、接受劳务支付的现金,"238,636,265.98","216,284,794.45","224,196,239.14","122,793,777.03","185,128,467.58","239,853,803.49","59,196,818.56","155,561,723.58","240,375,055.54"
吸收投资收到的现金,"40,000.00",,,,"164,885,500.00","164,885,500.00",,,"24,256,535.00"
支付给职工以及为职工支付的现金,"93,257,569.90","108,121,251.37","119,009,266.25","60,751,771.27","89,548,037.89","127,954,286.03","35,629,676.24","70,594,671.63","118,886,577.57"
取得借款收到的现金,,"35,185,086.00","85,921,190.08","46,112,282.95","59,960,703.16","86,510,544.36",,,
支付的各项税费,"14,090,518.76","11,349,324.08","16,482,952.89","6,519,794.07","13,471,541.42","15,480,719.50","3,280,584.64","6,785,048.52","11,791,252.77"
收到其他与筹资活动有关的现金,,,,,,,,,
支付其他与经营活动有关的现金,"57,345,215.28","61,154,329.97","68,131,764.31","21,748,986.53","64,131,663.74","68,447,349.74","16,691,033.11","38,066,679.17","62,135,956.29"
筹资活动现金流入小计,"40,000.00","35,185,086.00","85,921,190.08","46,112,282.95","224,846,203.16","251,396,044.36",,,"24,256,535.00"
经营活动现金流出小计,"403,329,569.92","396,909,699.87","427,820,222.59","211,814,328.90","352,279,710.63","451,736,158.76","114,798,112.55","271,008,122.90","433,188,842.17"
偿还债务支付的现金,,"20,000,000.00","49,451,789.77","55,296,827.36","56,237,872.33","102,538,627.72","35,628,836.63","35,628,836.63","35,628,836.63"
经营活动产生的现金流量净额,"40,317,036.42","9,157,800.80","-16,562,986.86","-62,595,135.75","-109,820,439.05","-10,002,159.38","-64,896,432.49","-114,268,743.33","-137,783,550.95"
分配股利、利润或偿还利息支付的现金,"8,247,200.00","10,618,708.85","8,497,887.51","870,088.35","1,438,888.37","2,167,011.27","161,932.26","6,472,432.26","6,472,432.26"
收回投资收到的现金,"571,600,000.00","232,000,000.00",,,,,,,
支付其他与筹资活动有关的现金,,,,,,"4,254,725.00",,,
取得投资收益收到的现金,"2,222,551.11","809,610.14",,,,,,,
筹资活动现金流出小计,"8,247,200.00","30,618,708.85","57,949,677.28","56,166,915.71","57,676,760.70","108,960,363.99","35,790,768.89","42,101,268.89","42,101,268.89"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,300.00","1,100.00","11,238.07",500.00,800.00,800.00,,"1,310.00","1,310.00"
筹资活动产生的现金流量净额,"-8,207,200.00","4,566,377.15","27,971,512.80","-10,054,632.76","167,169,442.46","142,435,680.37","-35,790,768.89","-42,101,268.89","-17,844,733.89"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,
四、汇率变动对现金的影响,"62,557.02","8,969.84","33,685.93","13,107.19","18,527.34","26,544.33",,"-13,606.25","-13,606.25"
收到其他与投资活动有关的现金,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,
投资活动现金流入小计,"573,823,851.11","232,810,710.14","11,238.07",500.00,800.00,800.00,,"1,310.00","1,310.00"
五、现金及现金等价物净增加额,"-8,033,196.24","-33,103,559.69","8,936,285.99","-73,207,939.34","56,612,040.23","126,301,487.31","-100,814,124.78","-156,697,613.31","-157,482,555.49"
购建固定资产、无形资产和其他长期资产支付的现金,"42,429,440.79","47,647,417.62","2,517,163.95","571,778.02","756,290.52","6,159,378.01","126,923.40","315,304.84","1,841,974.40"
期初现金及现金等价物余额,,,,,"193,060,671.17","183,402,457.17","315,485,088.48","309,703,944.48","309,703,944.48"
投资支付的现金,"571,600,000.00","232,000,000.00",,,,,,,
期末现金及现金等价物余额,,,,,"249,672,711.40","309,703,944.48","214,670,963.70","153,006,331.17","152,221,388.99"
