科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年度,2012年1-3月,2012年1-6月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2015年度
销售商品、提供劳务收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,"174,680,475.95"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"236,401.20","465,304.70","747,018.74","953,050.80","90,359.91","131,156.93","217,514.16","269,677.39","34,509.20","56,507.20","88,180.20","111,106.85","42,625.40","42,625.40","42,963.41","45,822.40",,,,,,,,,,"91,150,415.58"
投资活动现金流出小计,,,,,,,,,,,,,,,,,,,,,,,,,,"4,331,314.72"
经营活动现金流入小计,"236,401.20","465,304.70","747,018.74","953,050.80","90,359.91","131,156.93","217,514.16","269,677.39","34,509.20","56,507.20","88,180.20","111,106.85","42,625.40","42,625.40","42,963.41","45,822.40",,,,,,,,,,"265,830,891.53"
投资活动产生的现金流量净额,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,331,314.72"
购买商品、接受劳务支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,"191,194,539.83"
吸收投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,"1,386,245.92"
取得借款收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,
支付的各项税费,,,,"16,317.00",,,,,,,,,,,,,,,,,,,,,,"1,429,187.80"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"229,436.20","454,548.70","728,506.99","932,028.57","89,950.16","131,759.00","219,639.76","273,453.29","36,023.45","53,821.45","89,694.45","110,892.80","29,724.90","36,966.90","45,464.85","45,323.84",,,,,,,,,,"20,053,971.97"
筹资活动现金流入小计,,,,,,,,,,,,,,,,,,,,,,,,,,
经营活动现金流出小计,"229,436.20","454,548.70","728,506.99","948,345.57","89,950.16","131,759.00","219,639.76","273,453.29","36,023.45","53,821.45","89,694.45","110,892.80","29,724.90","36,966.90","45,464.85","45,323.84",,,,,,,,,,"214,063,945.52"
偿还债务支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,
经营活动产生的现金流量净额,"6,965.00","10,756.00","18,511.75","4,705.23",409.75,-602.07,"-2,125.60","-3,775.90","-1,514.25","2,685.75","-1,514.25",214.05,"12,900.50","5,658.50","-2,501.44","-2,501.44",,,,,,,,,,"51,766,946.01"
分配股利、利润或偿还利息支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,,,,,,,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动产生的现金流量净额,,,,,,,,,,,,,,,,,,,,,,,,,,
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,-12.18,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,,,,,,,,,,,,,,,,,,,,,,,,
五、现金及现金等价物净增加额,"6,965.00","10,756.00","18,511.75","4,693.05",409.75,-602.07,"-2,125.60","-3,775.90","-1,514.25","2,685.75","-1,514.25",214.05,"12,900.50","5,658.50","-2,501.44","-2,501.44",,,,,,,,,,"47,435,631.29"
购建固定资产、无形资产和其他长期资产支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,"4,331,314.72"
期初现金及现金等价物余额,"1,381.89",,,"1,370.24","6,063.29","6,063.29","6,063.29","6,063.29","2,287.39","2,287.39","2,287.39","2,287.39","2,501.44","2,501.44","2,501.44","2,501.44",,,,,,,,,,
投资支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,
期末现金及现金等价物余额,"8,346.89",,,"6,063.29","6,473.04","5,461.22","3,937.69","2,287.39",773.14,"4,973.14",773.14,"2,501.44","15,401.94","8,159.94",,,,,,,,,,,,"47,435,631.29"
