科目,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
一、营业收入,"5,203,182.90","919,334.29","1,208,514.98","1,539,795.57","181,240.59","215,244.80","298,112.31","308,967.17","80,583.01","126,673.72","325,890.00","1,048,881.60","213,876.24","514,961.91","658,893.54","947,526.01","472,601.74","313,565.97"
二、营业利润,"-17,163,978.25","-11,428,841.31","-12,735,972.45","-23,383,289.70","-1,352,180.57","-10,504,641.85","-11,391,354.01","-16,452,892.68","-1,135,099.91","-10,035,734.77","-10,725,124.20","-21,231,400.81","-1,209,380.64","-10,198,679.24","-10,928,411.61","-19,375,434.42","-729,009.78","-2,294,508.80"
减:营业成本,"7,263,189.94","367,621.25","461,647.13","522,100.28","95,389.08","109,216.06","175,524.56","177,374.50","74,588.32","120,243.59","235,448.41","895,332.00","306,255.22","711,634.85","823,361.34","1,117,078.13","468,106.50","323,454.59"
加:补贴收入,,,,,,,,,,,,,,,,,,
营业税金及附加,"86,470.00","17,306.33","23,169.48","31,666.42","3,937.37","3,937.37","4,246.09","4,456.29",165.30,237.72,237.72,500.16,,,318.56,409.37,,"5,709.08"
营业外收入,,,,,,,,,,200.00,200.00,200.00,,,,,,
销售费用,"277,204.23","66,436.71","89,708.71","89,708.71",,,,,"32,500.00","32,500.00","32,500.00","32,500.00",,,,,,
减:营业外支出,"12,926,160.19",,,"17,200.78",,"537,253.12","537,253.12","440,248.23",,,,,,,,,,
管理费用,"12,156,696.10","3,346,886.47","4,819,968.23","5,785,418.42","1,434,198.61","2,424,384.26","3,327,848.54","3,900,446.72","1,107,932.28","1,826,867.60","2,600,256.09","3,501,174.75","1,116,850.61","1,819,532.14","2,581,203.62","3,543,360.18","733,122.24","2,873,029.92"
其中:非流动资产处置净损失,"12,922,025.80",,,,,,,,,,,,,,,,,
堪探费用,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,
财务费用,"17,990,835.09","8,549,924.84","8,549,993.88","17,855,325.35",-103.90,"8,182,348.96","8,181,838.13","16,363,849.65",497.02,"8,182,559.58","8,182,571.98","16,364,601.77",151.05,"8,182,474.16","8,182,421.63","16,364,819.55",382.78,83.08
三、利润总额,"-30,090,138.44","-11,428,841.31","-12,735,972.45","-23,400,490.48","-1,352,180.57","-11,041,894.97","-11,928,598.13","-16,893,140.91","-1,135,099.91","-10,035,534.77","-10,724,924.20","-21,231,200.81","-1,209,380.64","-10,198,679.24","-10,928,411.61","-19,375,434.42","-729,009.78","-2,294,508.80"
资产减值损失,"-15,407,234.21",,,"638,866.09",,,,"-3,684,267.31",,,,"1,486,173.73",,,,"-702,706.80",,"-594,201.90"
减:所得税,,,,,,,,,,,,,,,,,,
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,,,,,
四、净利润,"-30,090,138.44","-11,428,841.31","-12,735,972.45","-23,400,490.48","-1,352,180.57","-11,041,894.97","-11,928,598.13","-16,893,140.91","-1,135,099.91","-10,035,534.77","-10,724,924.20","-21,231,200.81","-1,209,380.64","-10,198,679.24","-10,928,411.61","-19,375,434.42","-729,009.78","-2,294,508.80"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"-30,033,683.92","-11,428,841.31","-12,735,972.45","-23,179,068.03","-1,344,588.91","-11,024,060.28","-11,902,059.10","-16,804,044.89","-1,125,659.45","-10,017,877.42","-10,704,832.65","-21,205,479.90","-1,190,785.48","-10,159,401.82","-10,882,879.70","-19,317,936.19","-719,777.65","-2,251,766.49"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,
少数股东损益,"-56,454.52",,,"-221,422.45","-7,591.66","-17,834.69","-26,539.03","-89,096.02","-9,440.46","-17,657.35","-20,091.55","-25,720.91","-18,595.16","-39,277.42","-45,531.91","-57,498.23","-9,232.13","-42,742.31"
