科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"964,298,892.94","887,250,704.73","904,412,784.54","139,079,327.01","292,510,657.59","443,675,165.96","577,016,885.49","121,262,026.47","262,974,812.61","411,449,124.64","553,132,384.01","134,978,395.46","286,285,416.89","429,769,405.66","574,575,435.55"
二、营业利润,"50,751,223.29","33,980,047.73","38,055,384.73","7,066,519.70","19,846,398.40","33,571,412.50","39,646,169.83","7,747,411.84","14,931,467.56","24,491,474.97","35,063,974.57","9,267,146.03","18,031,903.63","25,253,122.62","34,832,732.78"
减:营业成本,"852,450,726.59","797,474,796.60","803,313,915.51","118,702,429.65","247,198,225.72","369,550,496.00","480,644,748.38","102,267,445.74","222,575,541.79","348,731,768.13","466,080,036.30","115,368,149.19","245,555,729.23","368,942,510.92","490,956,401.78"
加:补贴收入,,,,,,,,,,,,,,,
营业税金及附加,"1,659,714.78","1,286,457.65","1,119,766.60","65,945.96","245,036.16","447,510.74","1,100,851.92","314,768.32","573,709.52","895,340.12","2,004,687.64","443,600.60","968,830.66","1,392,301.06","1,751,851.67"
营业外收入,"1,802,517.43","1,655,000.00","2,230,600.00","147,750.00","645,500.00","933,250.00","1,081,500.00","4,118,750.00","4,466,500.00","4,614,250.00","4,778,310.50","299,750.00",,,"10,712.67"
销售费用,"16,682,398.49","15,324,767.19","15,653,081.76","2,927,965.82","5,923,680.78","9,595,172.32","15,664,638.43","3,304,210.46","6,693,630.52","10,361,926.76","15,459,012.42","4,085,511.16","8,198,743.22","12,579,277.22","16,306,697.23"
减:营业外支出,"150,000.00","250,000.00","285,184.96","150,000.00","150,000.00","250,000.00","250,000.00","50,000.00","96,903.72","196,903.72","1,078,587.80","288,557.60","359,496.60","606,983.78","120,939.00"
管理费用,"26,070,361.47","24,122,503.87","29,944,421.99","6,263,535.59","12,402,853.67","19,387,099.69","26,251,341.19","5,818,357.61","15,350,184.56","21,937,466.43","29,186,756.54","5,605,555.22","12,408,045.55","19,340,436.94","28,643,918.34"
其中:非流动资产处置净损失,,,"185,184.96",,,,,,"46,903.72",,,"288,557.60","288,557.60","536,044.78",
堪探费用,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,
财务费用,"15,470,417.09","14,377,387.91","13,432,880.47","2,914,973.57","6,251,737.30","8,895,573.83","11,144,109.91","1,306,459.51","2,442,403.48","3,786,817.65","4,916,238.85","781,038.71","1,494,992.16","2,584,942.56","3,642,444.45"
三、利润总额,"52,403,740.72","35,385,047.73","40,000,799.77","7,064,269.70","20,341,898.40","34,254,662.50","40,477,669.83","11,816,161.84","19,301,063.84","28,908,821.25","38,763,697.27","9,278,338.43","17,672,407.03","24,646,138.84","34,722,506.45"
资产减值损失,"1,214,051.23","684,743.78","2,893,333.48","1,137,956.72","642,725.56","2,227,900.88","2,565,025.83","503,373.02","1,066,258.74","1,902,714.24","1,509,225.63","50,298.66","635,021.76","830,413.66","-296,306.16"
减:所得税,"6,723,453.07","4,236,168.43","4,969,984.15","761,427.16","2,527,811.28","4,258,827.80","5,113,270.22","1,602,307.62","2,383,373.19","3,739,438.48","4,741,535.04","1,223,521.82","2,027,565.14","2,895,062.74","4,052,111.39"
加:公允价值变动净收益,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,
投资收益,,,,,,,,,"658,383.56","658,383.56","1,087,547.94","622,904.11","710,349.32","710,349.32","710,349.32"
四、净利润,"45,680,287.65","31,148,879.30","35,030,815.62","6,302,842.54","17,814,087.12","29,995,834.70","35,364,399.61","10,213,854.22","16,917,690.65","25,169,382.77","34,022,162.23","8,054,816.61","15,644,841.89","21,751,076.10","30,670,395.06"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"45,680,287.65","31,148,879.30","35,030,815.62","6,302,842.54","17,814,087.12","29,995,834.70","35,364,399.61","10,213,854.22","16,917,690.65","25,169,382.77","34,022,162.23","8,054,816.61","15,644,841.89","21,751,076.10","30,670,395.06"
影响营业利润的其他科目,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,
