科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"218,539,649.32","275,421,727.44","421,303,110.20","237,660,375.05","371,557,100.00","518,244,872.19","119,057,553.98","302,777,089.22","478,775,356.88","786,987,376.78","137,047,041.04","432,806,108.15","694,899,346.00","1,070,353,252.76","184,300,964.29"
二、营业利润,"27,864,038.99","43,156,209.66","66,535,357.94","38,406,717.81","59,652,400.00","71,306,265.87","15,419,219.83","44,172,661.19","63,708,006.91","101,060,874.61","3,249,576.73","51,502,306.63","96,129,343.12","120,712,002.78","7,135,164.66"
减:营业成本,"142,211,877.16","169,089,166.73","267,184,566.84","151,741,774.19",,"325,860,566.40","77,922,441.83","202,106,993.26","317,963,332.49","516,702,101.96","89,539,394.27","288,889,878.49","444,641,227.97","686,372,602.95","122,228,070.43"
加:补贴收入,,,,,,,,,,,,,,,
营业税金及附加,"1,861,641.28","2,097,267.08","2,857,126.46","1,608,888.29",,"4,089,639.97","1,277,610.97","2,293,341.65","3,150,701.74","4,075,755.07","1,113,426.34","3,682,581.06","5,052,610.13","8,630,799.55","2,452,590.04"
营业外收入,"4,541,922.72","5,671,938.22","11,486,706.66","6,232,425.92",,"13,167,687.95","352,405.24","647,220.44","985,229.07","4,377,722.19","275,062.46","640,893.81","2,579,465.41","2,955,557.04","567,010.58"
销售费用,"19,604,407.86","26,893,825.38","38,657,007.94","22,232,119.87",,"57,012,782.95","10,931,237.63","30,113,892.82","54,687,133.99","92,858,160.08","15,415,167.80","44,673,105.26","78,412,347.28","124,421,772.05","23,485,985.20"
减:营业外支出,"90,913.48","345,827.94","444,305.82","564,301.47",,"1,412,189.20","73,073.25","265,973.50","779,938.46","2,801,311.69","66,653.55","947,695.84","1,113,911.52","1,862,282.54","119,447.63"
管理费用,"23,001,471.64","27,941,904.11","40,134,569.09","19,004,753.99",,"48,762,090.78","10,582,759.38","24,353,650.99","39,807,356.26","76,265,288.96","20,811,833.47","45,262,908.68","43,095,205.03","68,223,408.12","16,529,882.91"
其中:非流动资产处置净损失,"4,043.48","29,273.09","23,124.22",,,"11,094.08","16,901.68","30,970.32","87,798.92",,,,,,
堪探费用,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,
财务费用,"2,067,737.28","2,680,118.14","418,592.46","254,579.03",,"75,695.57","-159,802.76","639,717.80","1,646,779.12","3,483,636.15","3,621,248.18","3,254,157.82","1,895,072.87","2,549,098.11","2,270,481.95"
三、利润总额,"32,315,048.23","48,482,319.94","77,577,758.78","44,074,842.26","66,517,800.00","83,061,764.62","15,698,551.82","44,553,908.13","63,913,297.52","102,637,285.11","3,457,985.64","51,195,504.60","97,594,897.01","121,805,277.28","7,582,727.61"
资产减值损失,"1,928,475.11","3,563,236.34","5,515,889.47","4,411,541.87",,"11,137,830.65","3,084,087.10","7,081,395.94","8,516,390.57","11,399,962.12","7,255,455.83","17,403,903.21","21,479,808.21","30,676,849.26","573,725.39"
减:所得税,"-1,008,048.00","5,951,727.32","10,055,099.70","6,211,758.21",,"10,733,084.62","2,739,739.68","7,931,907.47","9,589,456.08","14,508,414.71","722,400.48","6,656,738.54","11,925,664.26","13,306,576.63","2,210,991.63"
加:公允价值变动净收益,,,,,,,,,,,,,,,513.89
加:影响净利润的其他科目,,,,,,,,,,,,,,,
投资收益,,,,,,,,,"1,262,772.60","3,084,778.94","979,042.19","13,254,505.51","13,856,919.76","15,041,782.52","7,845.21"
四、净利润,"33,323,096.23","42,530,592.62","67,522,659.08","37,863,084.05","56,793,100.00","72,328,680.00","12,958,812.14","36,622,000.66","54,323,841.44","88,128,870.40","2,735,585.16","44,538,766.06","85,669,232.75","108,498,700.65","5,371,735.98"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"33,323,096.23","42,530,592.62","67,803,918.77","37,661,379.54","55,083,700.00","71,805,645.78","13,634,360.03","39,941,504.39","57,052,653.63","85,606,736.96","2,876,428.43","43,963,379.70","85,161,446.63","107,794,333.18","5,932,319.89"
影响营业利润的其他科目,,,,,,,,,,,,,,,
少数股东损益,,,"-281,259.69","201,704.51",,"523,034.22","-675,547.89","-3,319,503.73","-2,728,812.19","2,522,133.44","-140,843.27","575,386.36","507,786.12","704,367.47","-560,583.91"
