科目,2008-06-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2015-12-31
货币资金,"3,382.95","2,225.63","2,225.63","3,225.63","3,225.63","8,085.75","5,953.75","6,144.75","4,547.75","5,435.75","8,737.41"
短期借款,"262,934,581.06","262,923,394.73","262,923,394.73","262,923,394.73","262,923,394.73","87,487,841.22","87,487,841.22","87,487,841.22","87,487,841.22","87,487,841.22","87,487,841.22"
交易性金融资产,"79,219.14","151,459.97","151,459.97","235,442.53","304,001.81","222,486.08","209,267.83","224,486.72","225,406.87","214,952.60","438,393.00"
交易性金融负债,,,,,,,,,,,
应收票据,,,,,,,,,,,
应付票据,,,,,,,,,,,
应收账款,"1,622,472.45","1,496,183.08","1,496,183.08","1,470,183.08","1,470,183.08","198,988.65","198,988.65","198,988.65","198,988.65","198,988.65","198,988.65"
应付账款,"13,243,784.11","13,515,731.00","13,515,731.00","13,524,731.00","13,524,731.00","12,435,310.20","12,638,095.90","12,638,095.90","12,434,310.20","12,434,310.20","11,963,581.29"
预付款项,"220,216.59","220,216.59","220,216.59","220,216.59","220,216.59","1,244,211.45","1,244,211.45","1,244,211.45","1,040,425.75","1,040,425.75","1,040,425.75"
预收款项,"5,513,941.57","5,432,857.17","5,432,857.17","5,420,857.17","6,031,075.63","8,272,171.75","8,247,171.75","8,247,171.75","1,525,686.42","1,525,686.42","914,286.42"
其他应收款,"1,814,887.99","1,645,517.80","1,645,517.80","1,602,472.30","1,599,794.80","142,250.67","264,519.17","259,369.19","54,907.44","34,907.44","3,897.85"
应付职工薪酬,"9,288,765.42","11,648,574.48","11,903,574.48","12,274,096.48","12,659,452.48","16,211,796.82","16,854,996.82","15,064,644.00","17,632,742.89","17,840,901.98","19,337,980.22"
应收关联公司款,,,,,,,,,,,
应交税费,"35,574,726.11","35,863,280.78","35,998,280.78","36,132,467.10","36,177,172.94","37,800,702.66","37,800,702.66","37,800,702.66","37,800,702.66","37,800,702.66","37,800,702.66"
应收利息,,,,,,,,,,,
应付利息,"100,069,800.37","103,591,572.00","107,644,403.96","111,742,267.39","115,885,162.28","69,628,154.62","73,627,121.69","74,737,786.78","75,284,516.52","75,284,516.52","85,580,072.91"
应收股利,,,,,,,,,,,
应付股利,,,,,,,,,,,
存货,"2,588,184.88","594,252.57","594,252.57","594,252.57","1,089,191.27","1,727,434.55","1,727,434.55","1,727,434.55","1,727,434.55","1,727,434.55","1,727,434.55"
其他应付款,"51,890,401.53","51,154,600.24","51,324,892.14","51,577,189.05","51,710,176.77","61,947,809.85","62,494,183.49","62,789,899.21","69,583,313.03","69,709,524.93","70,589,638.48"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,
其他流动资产,,,,,"16,990.73",,,,,,
其他流动负债,,,,,,,,,,,
