科目,2013-12-31,2014-03-31,2015-12-31
货币资金,"4,666,123.06","673,826.23","10,965,630.45"
短期借款,,,
交易性金融资产,,,
交易性金融负债,,,
应收票据,,,
应付票据,,,
应收账款,"1,580,201.97","1,542,845.97","1,438,286.71"
应付账款,"1,981,999.65","1,976,985.65","591,216.90"
预付款项,"3,236,160.00","3,059,150.00",
预收款项,"13,429.00",,"299,898.00"
其他应收款,"259,792.51","319,538.50","470,971.41"
应付职工薪酬,,,
应收关联公司款,,,
应交税费,"821,858.81","811,666.33","772,610.02"
应收利息,,,
应付利息,,,
应收股利,,,
应付股利,,,
存货,"18,282,174.02","15,569,500.32","9,351,610.87"
其他应付款,"13,552,383.67","7,181,196.97","1,205,873.29"
其中:消耗性生物资产,,,
应付关联公司款,,,
一年内到期的非流动资产,,,
一年内到期的非流动负债,,,
其他流动资产,,,"3,738.35"
其他流动负债,,,
流动资产合计,"28,024,451.56","21,164,861.02","22,230,237.79"
流动负债合计,"16,369,671.13","9,969,848.95","2,869,598.21"
可供出售金融资产,,,
长期借款,,,
持有至到期投资,,,
应付债券,,,
长期应收款,,,
长期应付款,,,
长期股权投资,,,
专项应付款,,,
投资性房地产,,,
预计负债,,,
固定资产,"122,345,857.35","121,098,599.40","124,594,907.21"
递延所得税负债,,,
在建工程,"7,576,054.80","7,337,470.53","675,200.00"
其他非流动负债,,,
工程物资,,,
非流动负债合计,,,
固定资产清理,,,
负债合计,"16,369,671.13","9,969,848.95","2,869,598.21"
生产性生物资产,,,
实收资本(或股本),"446,039,220.00","446,039,220.00","446,039,218.00"
油气资产,,,
资本公积,"162,664,608.79","162,664,608.79","162,664,610.79"
无形资产,"10,031,619.01","9,950,794.66","9,385,024.21"
盈余公积,,,
开发支出,,,
减:库存股,,,
商誉,,,
未分配利润,"-454,853,017.20","-456,879,452.13","-451,958,931.83"
长期待摊费用,"2,242,500.00","2,242,500.00","2,729,125.96"
少数股东权益,,,
递延所得税资产,,,
外币报表折算价差,,,
其他非流动资产,,,
非正常经营项目收益调整,,,
非流动资产合计,"142,196,031.16","140,629,364.59","137,384,257.38"
所有者权益(或股东权益)合计,"153,850,811.59","151,824,376.66","156,744,896.96"
资产总计,"170,220,482.72","161,794,225.61","159,614,495.17"
负债和所有者(或股东权益)合计,"170,220,482.72","161,794,225.61","159,614,495.17"
