科目,2014年度,2015年1-6月,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"235,520,884.93","134,663,719.54","238,432,716.48","273,529,725.06","78,316,333.34","162,456,979.72","222,820,257.91","298,949,307.16","85,804,297.94","194,837,107.20","258,973,535.32","326,713,549.39","96,822,964.02"
二、营业利润,"30,577,217.74","20,739,064.39","31,029,013.25","42,437,733.05","14,290,155.79","32,938,591.55","47,363,874.76","61,521,065.78","19,370,303.30","39,945,091.47","55,748,365.77","66,952,426.19","17,753,091.69"
减:营业成本,"172,017,523.24","94,128,169.48","171,731,496.76","195,627,095.65","54,352,452.57","113,966,172.08","158,011,804.06","212,875,182.23","61,817,431.12","138,447,895.16","183,637,891.68","230,600,328.26","65,973,490.87"
加:补贴收入,,,,,,,,,,,,,
营业税金及附加,"1,193,848.00","813,541.86","1,306,932.39","1,767,220.42","569,917.11","1,054,571.17","1,446,293.86","2,119,829.19","572,802.77","1,419,997.97","1,942,105.66","2,399,470.60","713,222.41"
营业外收入,"7,910,591.79","7,273,991.91","11,402,066.02","11,527,307.17","1,572,428.50","10,000.00","10,000.00","112,645.47",,"302,377.49","302,377.49","274,317.22",
销售费用,"6,660,196.13","3,233,640.10","6,152,075.33","8,748,825.41","2,916,309.71","6,447,977.72","9,180,096.66","11,900,293.11","3,666,511.06","8,181,929.62","10,958,053.09","14,044,785.11","3,917,796.15"
减:营业外支出,"285,710.77","122,851.81","324,945.04","1,155,512.98","20,000.00","65,849.58","65,849.58","568,368.88",,"6,320.00","6,320.00","347,587.10",
管理费用,"16,407,228.37","11,062,952.81","19,480,520.39","20,584,330.13","5,608,353.87","11,167,837.94","16,317,817.62","22,508,000.47","5,155,003.86","11,057,359.16","7,519,799.67","12,685,371.66","5,242,882.40"
其中:非流动资产处置净损失,"37,604.65","113,735.63","205,100.91","606,119.66",,"45,849.58","45,849.58",,,,,,
堪探费用,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,
财务费用,"5,966,130.64","2,155,916.12","3,843,427.12","1,889,391.96","331,898.72","41,350.39","-276,198.87","32,268.06","101,767.49","-216,461.54","-250,416.03","-413,267.94","-132,770.47"
三、利润总额,"38,202,098.76","27,890,204.49","42,106,134.23","52,809,527.24","15,842,584.29","32,882,741.97","47,308,025.18","61,065,342.37","19,370,303.30","40,241,148.96","56,044,423.26","66,879,156.31","17,753,091.69"
资产减值损失,"2,698,740.81","2,530,434.78","4,889,251.24","2,475,128.44","247,245.57","868,807.37","-133,335.33","2,489,376.47","434,715.10","2,876,383.13","41,732.75","1,584,550.35",
减:所得税,"3,765,141.20","2,972,475.85","4,381,496.04","5,104,182.31","1,654,939.45","3,396,042.90","4,532,068.92","5,707,884.64","2,100,380.97","4,435,654.42","5,640,981.17","6,826,790.32","1,944,107.91"
加:公允价值变动净收益,,,,,,,,,,,,"108,164.38","-17,438.35"
加:影响净利润的其他科目,,,,,,,,,,,,,
投资收益,,,,,,,"361,643.83","1,438,015.41","2,225,889.78","1,618,030.78","188,870.86","184,817.57","717,821.03"
四、净利润,"34,436,957.56","24,917,728.64","37,724,638.19","47,705,344.93","14,187,644.84","29,486,699.07","42,775,956.26","55,357,457.73","17,269,922.33","35,805,494.54","50,403,442.09","60,052,365.99","15,808,983.78"
其中:对联营企业和合营企业的投资权益,,,,,,,,,"-728,459.11","-1,336,318.11","-3,167,765.85","-5,040,236.29","-446,850.88"
归属于母公司所有者的净利润,"34,436,957.56","24,917,728.64","37,724,638.19","47,705,344.93","14,187,644.84","29,486,699.07","42,775,956.26","55,357,457.73","17,269,922.33","35,805,494.54","50,403,442.09","60,052,365.99","15,808,983.78"
影响营业利润的其他科目,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,
