科目,2007年1-3月,2007年1-6月,2007年1-9月
销售商品、提供劳务收到的现金,"1,202,974,815.70","2,964,997,047.60","4,780,526,813.41"
取得子公司及其他营业单位支付的现金净额,,,
收到的税费返还,"461,700.00","461,700.00","857,700.00"
支付其他与投资活动有关的现金,,,"50,000.00"
收到其他与经营活动有关的现金,"115,689.22","902,896.69","1,669,969.01"
投资活动现金流出小计,"34,218,728.54","68,261,987.49","109,010,136.03"
经营活动现金流入小计,"1,203,552,204.92","2,966,361,644.29","4,783,054,482.42"
投资活动产生的现金流量净额,"-34,218,728.54","-66,564,316.69","-107,065,645.23"
购买商品、接受劳务支付的现金,"983,817,011.96","2,168,175,267.92","3,426,704,003.14"
吸收投资收到的现金,"-300,000.00","-300,000.00","-300,000.00"
支付给职工以及为职工支付的现金,"48,685,007.42","106,265,374.80","178,383,705.78"
取得借款收到的现金,"265,000,000.00","665,000,000.00","795,000,000.00"
支付的各项税费,"64,724,250.89","176,605,687.45","276,586,196.52"
收到其他与筹资活动有关的现金,"63,020.55","209,863.15","288,871.92"
支付其他与经营活动有关的现金,"8,832,492.56","16,072,538.13","28,526,314.84"
筹资活动现金流入小计,"264,763,020.55","664,909,863.15","794,988,871.92"
经营活动现金流出小计,"1,106,058,762.83","2,467,118,868.30","3,910,200,220.28"
偿还债务支付的现金,"367,510,200.00","1,069,850,794.00","1,378,750,794.00"
经营活动产生的现金流量净额,"97,493,442.09","499,242,775.99","872,854,262.14"
分配股利、利润或偿还利息支付的现金,"23,135,364.09","46,709,882.33","128,552,931.61"
收回投资收到的现金,,,
支付其他与筹资活动有关的现金,"143,480.83","860,606.85","857,437.06"
取得投资收益收到的现金,,,
筹资活动现金流出小计,"390,789,044.92","1,117,421,283.18","1,508,161,162.67"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"1,697,670.80","1,944,490.80"
筹资活动产生的现金流量净额,"-126,026,024.37","-452,511,420.03","-713,172,290.75"
处置子公司及其他营业单位收到的现金净额,,,
四、汇率变动对现金的影响,,,
收到其他与投资活动有关的现金,,,
四(2)、其他原因对现金的影响,,,
投资活动现金流入小计,,"1,697,670.80","1,944,490.80"
五、现金及现金等价物净增加额,"-62,751,310.82","-19,832,960.73","52,616,326.16"
购建固定资产、无形资产和其他长期资产支付的现金,"34,218,728.54","68,261,987.49","108,960,136.03"
期初现金及现金等价物余额,"180,285,276.80","180,285,276.80","180,285,276.80"
投资支付的现金,,,
期末现金及现金等价物余额,"117,533,965.98","160,452,316.07","232,901,602.96"
