科目,2007年1-3月,2007年1-6月,2007年1-9月
一、营业收入,"611,670.00","1,212,276.00","1,815,404.00"
二、营业利润,"102,233.06","-11,388,773.80","-18,897,882.23"
减:营业成本,"170,750.00","682,520.00","937,665.00"
加:补贴收入,,,
营业税金及附加,,,
营业外收入,,,
销售费用,,"225,070.94","330,470.94"
减:营业外支出,,"5,532.63","5,882.63"
管理费用,"93,686.94","4,693,414.82","6,445,106.73"
其中:非流动资产处置净损失,,,
堪探费用,,,
加:影响利润总额的其他科目,,,
财务费用,"245,000.00","7,000,044.04","13,000,043.56"
三、利润总额,"102,233.06","-11,394,306.43","-18,903,764.86"
资产减值损失,,,
减:所得税,,,
加:公允价值变动净收益,,,
加:影响净利润的其他科目,,,
投资收益,,,
四、净利润,"102,233.06","-11,394,306.43","-18,903,764.86"
其中:对联营企业和合营企业的投资权益,,,
归属于母公司所有者的净利润,"102,233.06","-11,394,306.43","-18,903,764.86"
影响营业利润的其他科目,,,
少数股东损益,,,
