科目,2007年1-3月
销售商品、提供劳务收到的现金,"1,650,385,739.96"
取得子公司及其他营业单位支付的现金净额,
收到的税费返还,"11,576,364.17"
支付其他与投资活动有关的现金,
收到其他与经营活动有关的现金,"25,272,553.58"
投资活动现金流出小计,"132,709,417.86"
经营活动现金流入小计,"1,687,234,657.71"
投资活动产生的现金流量净额,"-122,637,790.34"
购买商品、接受劳务支付的现金,"1,199,022,620.80"
吸收投资收到的现金,"103,259,886.23"
支付给职工以及为职工支付的现金,"207,453,938.92"
取得借款收到的现金,"730,223,967.24"
支付的各项税费,"202,527,078.60"
收到其他与筹资活动有关的现金,"23,310,252.42"
支付其他与经营活动有关的现金,"204,766,951.75"
筹资活动现金流入小计,"856,794,105.89"
经营活动现金流出小计,"1,813,770,590.07"
偿还债务支付的现金,"680,547,566.67"
经营活动产生的现金流量净额,"-126,535,932.36"
分配股利、利润或偿还利息支付的现金,"142,235,838.55"
收回投资收到的现金,
支付其他与筹资活动有关的现金,"5,739,245.02"
取得投资收益收到的现金,"8,640,000.00"
筹资活动现金流出小计,"828,522,650.24"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,431,627.52"
筹资活动产生的现金流量净额,"28,271,455.65"
处置子公司及其他营业单位收到的现金净额,
四、汇率变动对现金的影响,"62,151.15"
收到其他与投资活动有关的现金,
四(2)、其他原因对现金的影响,
投资活动现金流入小计,"10,071,627.52"
五、现金及现金等价物净增加额,"-220,840,115.90"
购建固定资产、无形资产和其他长期资产支付的现金,"130,213,307.20"
期初现金及现金等价物余额,"1,079,004,006.88"
投资支付的现金,"2,496,110.66"
期末现金及现金等价物余额,"858,163,890.98"
