科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"243,415,339.48","274,972,345.86","276,978,370.60","144,260,498.99","227,838,919.84","313,532,834.36","73,931,251.92","166,373,910.79","260,140,839.27","363,361,457.43","91,478,147.92","196,623,125.06","311,174,323.99","423,039,858.12","102,568,930.72"
二、营业利润,"25,521,722.45","27,503,294.58","35,230,410.38","19,854,499.83","32,082,173.34","37,511,004.63","10,974,836.47","22,538,654.28","36,937,912.73","41,234,631.44","10,283,516.30","19,425,222.61","34,051,431.00","45,106,913.89","12,219,235.57"
减:营业成本,"165,115,057.16","184,678,043.32","183,617,523.21","92,011,790.18","145,918,443.46","203,365,662.51","48,508,920.74","111,114,975.39","175,672,879.27","251,666,827.01","66,182,824.16","142,909,271.96","222,871,715.65","298,419,304.56","70,891,776.79"
加:补贴收入,,,,,,,,,,,,,,,
营业税金及附加,"1,538,022.73","1,846,967.33","1,839,491.50","964,570.03","1,452,718.54","2,852,239.79","509,738.51","1,667,108.87","2,291,214.24","3,034,984.62","689,576.63","1,330,594.59","2,035,831.91","2,851,693.89","735,309.32"
营业外收入,"3,746,140.51","2,099,318.15","5,563,699.99","732,297.05","765,652.36","3,112,276.02","533,450.52","29,976.52","353,833.90","1,063,679.93","184,852.34","3,951,216.61","4,031,819.83","4,091,944.77","101,999.25"
销售费用,"17,316,683.25","20,741,688.53","22,271,627.93","12,544,723.46","19,060,552.20","26,594,269.35","5,666,348.61","14,525,730.29","22,801,968.04","32,351,870.19","6,895,963.91","15,912,416.30","24,367,964.26","35,662,718.26","8,851,612.01"
减:营业外支出,"137,369.83","132,253.94","113,223.86","196,034.04","107,713.54","128,933.44","13,534.72","36,805.22","51,999.53","64,135.16","30,626.77","45,210.11","34,790.00","73,764.79","7,011.11"
管理费用,"24,805,680.59","31,661,134.32","32,243,650.40","16,126,956.21","26,001,146.32","38,815,214.51","8,243,848.13","17,378,426.98","26,702,640.09","37,965,995.30","9,086,818.42","18,747,580.58","12,096,304.08","19,352,263.09","4,526,382.70"
其中:非流动资产处置净损失,"22,819.33","22,546.28",,,,"61,096.61",,,"2,594.50",,,,,,
堪探费用,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,
财务费用,"1,412,068.54","1,804,688.28","1,505,476.41","528,983.67","754,063.96","1,695,006.98","-335,595.67","-523,686.85","-671,765.24","-825,986.52","-24,808.72","-47,502.90","-133,273.66","144,866.29","-166,630.40"
三、利润总额,"29,130,493.13","29,470,358.79","40,680,886.51","20,390,762.84","32,740,112.16","40,494,347.21","11,494,752.27","22,531,825.58","37,239,747.10","42,234,176.21","10,437,741.87","23,331,229.11","38,048,460.83","49,125,093.87","12,314,223.71"
资产减值损失,"7,706,104.76","6,736,529.50","270,190.77","2,228,975.61","2,569,822.02","2,699,436.59","363,155.13","1,110,975.81","1,341,325.76","3,627,108.74","541,793.65","1,211,415.03","2,962,255.83","3,312,605.23","-50,252.56"
减:所得税,"5,567,860.26","5,061,479.42","7,378,057.88","3,861,367.58","5,158,850.78","6,332,248.79","2,067,763.13","3,841,796.02","6,118,810.48","5,388,346.72","1,753,277.78","4,077,452.60","6,891,822.66","6,985,363.90","2,762,292.35"
加:公允价值变动净收益,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,
投资收益,,,,,,,,"866,273.98","1,781,835.62","2,586,973.35","1,011,036.43","1,688,873.11","1,979,258.24","2,048,733.56","23,158.44"
四、净利润,"23,562,632.87","24,408,879.37","33,302,828.63","16,529,395.26","27,581,261.38","34,162,098.42","9,426,989.14","18,690,029.56","31,120,936.62","36,845,829.49","8,684,464.09","19,253,776.51","31,156,638.17","42,139,729.97","9,551,931.36"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"23,562,632.87","24,408,879.37","33,302,828.63","16,529,395.26","27,581,261.38","34,162,098.42","9,426,989.14","18,690,029.56","31,120,936.62","36,845,829.49","8,684,464.09","19,253,776.51","31,156,638.17","42,139,729.97","9,551,931.36"
影响营业利润的其他科目,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,
