科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"663,608,217.14","580,458,204.18","587,942,238.11","40,088,100.00","195,700,824.11","338,083,026.08","639,836,169.74","61,436,588.49","217,452,170.25","345,139,290.57","585,743,831.94","85,013,204.47","240,518,276.10","365,360,295.75","672,729,307.04","86,038,001.84","271,208,094.78"
二、营业利润,"54,023,914.02","35,317,548.31","42,725,151.34","-10,113,500.00","175,673.49","8,135,057.49","40,608,726.12","-6,810,566.77","-3,423,241.51","881,497.82","29,135,604.81","-4,047,007.53","1,680,410.46","8,485,550.56","42,095,049.50","584,117.29","15,188,799.04"
减:营业成本,"496,511,595.44","425,603,304.69","427,269,764.38","28,732,700.00","140,426,629.12","245,392,481.21","468,668,800.98","43,653,930.32","157,632,187.01","253,354,142.77","425,004,859.71","61,578,335.14","171,016,699.07","259,943,645.04","480,330,249.36","57,199,507.18","183,231,699.49"
加:补贴收入,,,,,,,,,,,,,,,,,
营业税金及附加,"7,870,181.47","6,635,452.45","8,584,497.81",,"1,771,324.38","4,660,382.22","10,069,325.27","19,156.17","1,308,253.10","2,146,634.40","4,275,550.98","26,772.95","1,090,932.24","1,742,406.73","2,393,874.16","169,563.61","735,205.03"
营业外收入,"1,013,558.32","8,364,696.95","2,093,112.50",,"19,661.70","21,452.70","2,033,408.47","125,000.00","3,897,563.32","4,041,563.32","4,302,990.96",500.00,"7,797.68","7,797.68","322,898.98",,500.00
销售费用,"46,388,464.69","51,619,913.41","51,677,067.96",,"26,919,544.86","39,378,013.84","55,121,154.99","13,960,985.49","31,499,509.41","46,796,909.87","68,304,997.54","15,916,564.73","34,649,950.57","52,716,912.13","81,703,576.63","17,754,235.78","38,956,671.67"
减:营业外支出,"13,423.84","40,910.68","39,554.09",,,,"45,167.14",,,98.11,98.11,61.25,"1,150.45","1,150.45","202,150.45",13.80,"15,570.01"
管理费用,"44,317,113.12","45,045,702.25","47,383,971.48",,"19,781,857.20","31,036,329.81","49,132,897.04","12,806,832.16","27,908,657.70","40,530,674.65","53,178,116.81","11,322,613.86","22,804,053.03","34,238,422.32","58,255,469.90","13,034,847.04","29,199,085.00"
其中:非流动资产处置净损失,"13,423.84","40,910.68","39,554.09",,,,"45,167.14",,,,,,,,,,
堪探费用,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,
财务费用,"7,701,549.49","7,743,933.49","6,629,148.09",,"2,822,529.26","3,614,160.64","4,172,780.31","11,069.27","162,461.41","72,652.42","537,885.68","158,634.77","287,372.76","264,358.07","443,970.36","-392,638.25","941,003.18"
三、利润总额,"55,024,048.50","43,641,334.58","44,778,709.75","-10,113,500.00","195,335.19","8,156,510.19","42,596,967.45","-6,685,566.77","474,321.81","4,922,963.03","33,438,497.66","-4,046,568.78","1,687,057.69","8,492,197.79","42,215,798.03","584,103.49","15,173,729.03"
资产减值损失,"6,795,398.91","8,492,349.58","3,672,637.05",,"3,803,265.80","5,866,600.87","12,062,485.03","-2,204,818.15","2,159,411.02","1,188,568.06","6,626,961.01","-268,705.66","8,252,817.03","6,472,717.42","7,883,659.56","-2,462,356.29","5,651,214.38"
减:所得税,"8,489,795.04","6,438,776.74","6,672,783.33",,"-65,355.64","997,112.57","5,827,603.46","-1,334,638.08","101,322.06","716,914.90","4,566,694.09","-300,610.85","688,496.30","2,282,834.93","7,378,942.65","280,784.52","2,490,209.23"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,"-204,932.11","-168,210.58","1,320,144.60","-325,996.21","-736,040.94","-1,496,283.48","-423,457.57","-410,216.49","-1,175,908.00"
四、净利润,"46,534,253.46","37,202,557.84","38,105,926.42","-8,619,400.00","260,690.83","7,159,397.62","36,769,363.99","-5,350,928.69","372,999.75","4,206,048.13","28,871,803.57","-3,745,957.93","998,561.39","6,209,362.86","34,836,855.38","303,318.97","12,683,519.80"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,"1,320,144.60","-325,996.21","-736,040.94","-1,496,283.48","-423,457.57","-410,216.49","-1,175,908.00"
归属于母公司所有者的净利润,"46,534,253.46","37,202,557.84","38,105,926.42","-8,619,400.00","260,690.83","7,159,397.62","36,769,363.99","-5,350,928.69","372,999.75","4,206,048.13","28,871,803.57","-3,745,957.93","998,561.39","6,209,362.86","34,836,855.38","303,318.97","12,683,519.80"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,,,
