科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
资产减值损失,"5,196,058.02","-3,479,210.94","4,284,268.14","1,657,299.93","3,324,612.39","8,200,862.87","-458,333.87","3,105,426.97","2,070,566.70","6,560,783.86","132,896.65","2,173,016.67","5,111,766.87","194,491,319.55","1,641,580.13","9,731,010.46","9,571,474.40","-2,565,785.50","2,059,277.39","5,006,106.10","4,851,753.18","5,732,408.84","2,462,071.84","3,368,809.16","1,680,651.14","29,747,046.00","-2,112,374.03","17,512,407.65"
减:所得税,"32,569,620.42","48,669,825.96","77,582,639.81","46,408,744.52","69,677,482.98","77,292,590.22","11,329,766.74","32,663,777.69","52,966,285.89","55,155,377.10","12,277,317.66","32,810,595.50","59,277,456.51","52,206,146.65","8,219,867.53","30,429,137.48","47,218,340.65","36,250,890.61","9,828,362.79","25,752,967.40","43,463,648.08","45,795,642.71","4,858,976.08","14,641,243.62","20,569,272.35","19,494,384.84","-2,396,205.21","6,128,797.61"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"294,923.58","80,000.00","1,015,194.68",,,"80,000.00",,"620,500.00","1,620,500.00","22,216,415.52","22,102,515.83","41,936,619.94","75,462,924.17","89,071,374.25","24,945,906.61","50,108,838.50","77,050,714.13","98,016,324.19","31,039,185.03","74,247,657.27","94,730,188.50","122,233,676.42","23,918,330.46","64,130,728.63","78,664,018.48","98,600,854.99","13,167,022.41","24,157,871.91"
四、净利润,"172,558,453.24","126,170,198.82","369,831,136.07","205,007,997.95","304,157,950.40","426,716,910.81","49,240,747.96","163,351,838.12","268,965,771.05","307,890,891.45","62,607,939.25","173,810,536.68","291,924,425.82","214,578,949.66","32,294,389.16","64,515,234.65","138,132,905.49","268,968,926.96","44,510,797.68","135,126,414.70","222,361,179.79","244,036,519.23","16,536,938.46","81,153,809.67","90,328,690.63","58,187,986.41","-18,632,135.51","-19,566,270.94"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,"-114,693.14",,,,"-3,396,636.47",,,,"2,713,235.23",,
归属于母公司所有者的净利润,"171,575,476.04","126,170,198.82","369,831,136.07","205,007,997.95","304,157,950.40","426,716,910.81","49,240,747.96","163,351,838.12","268,965,771.05","307,890,891.45","62,607,939.25","173,810,536.68","291,924,425.82","214,578,949.66","32,294,389.16","64,780,028.93","138,474,055.67","269,460,145.50","44,535,498.82","135,173,302.24","222,104,760.30","243,815,063.88","16,820,044.78","76,101,495.31","81,667,572.61","54,768,831.34","-16,980,607.71","-15,627,055.01"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"982,977.20",,,,,,,,,,,,,,,"-264,794.28","-341,150.18","-491,218.54","-24,701.14","-46,887.54","256,419.49","221,455.35","-283,106.32","5,052,314.36","8,661,118.02","3,419,155.07","-1,651,527.80","-3,939,215.93"
