科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"154,777,362.85","210,325,520.88","226,862,702.22","55,250,326.00","105,289,458.72","169,546,744.04","261,273,416.60","51,814,542.58","135,472,620.40","242,131,332.06","366,683,159.20","76,591,042.82","194,983,892.53","284,817,180.76","373,269,693.19","101,412,599.47","218,513,112.52"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,
收到的税费返还,,,"314,755.77",,"85,166.23","85,166.23","85,166.23",,"130,490.94","130,490.94","151,657.51",,"11,952.03","5,640,659.51","5,640,659.51","2,581,528.40","2,616,264.77"
支付其他与投资活动有关的现金,,,,,,,,,,,"386,469,440.00","200,000,000.00","350,000,000.00","685,000,000.00","805,000,000.00","315,000,000.00","345,000,000.00"
收到其他与经营活动有关的现金,"5,215,495.51","6,340,461.06","6,184,953.04","3,298,827.40","4,570,300.42","5,382,257.43","7,196,912.79","3,959,340.55","5,848,391.49","12,477,497.85","22,189,826.10","2,010,077.58","5,869,463.67","7,406,235.78","10,521,460.86","5,949,997.90","7,901,633.02"
投资活动现金流出小计,"44,200,253.38","12,933,223.45","8,679,826.17","445,697.29","2,996,833.44","4,919,289.53","8,250,155.55","4,376,913.51","24,433,657.92","30,079,035.62","425,595,152.58","205,015,644.02","356,576,841.76","695,828,156.66","819,027,300.08","324,230,610.98","358,018,850.03"
经营活动现金流入小计,"159,992,858.36","216,665,981.94","233,362,411.03","58,549,153.40","109,944,925.37","175,014,167.70","268,555,495.62","55,773,883.13","141,451,502.83","254,739,320.85","389,024,642.81","78,601,120.40","200,865,308.23","297,864,076.05","389,431,813.56","109,967,886.35","229,203,844.22"
投资活动产生的现金流量净额,"-44,200,093.38","-12,933,031.14","-8,679,826.17","-445,697.29","-2,946,833.44","-4,869,289.53","-8,200,155.55","-4,376,913.51","-24,423,657.92","-30,069,035.62","-66,220,443.28","-64,166,895.17","-124,946,367.42","-247,625,785.07","-12,613,832.43","-218,743,540.53","-38,858,702.80"
购买商品、接受劳务支付的现金,"10,727,196.13","14,109,263.00","40,543,164.07","10,564,700.66","23,990,413.93","43,753,491.85","59,146,170.18","26,841,856.95","48,618,500.85","110,880,633.28","151,469,815.14","49,182,734.30","94,639,381.70","136,668,933.69","181,583,282.00","103,936,835.25","167,023,324.73"
吸收投资收到的现金,,,,,,,"482,000,000.00",,,,,,,,,,
支付给职工以及为职工支付的现金,"18,427,322.96","26,934,416.77","39,992,429.25","16,710,289.26","27,715,002.80","38,682,205.71","52,328,627.10","20,920,368.02","35,428,371.24","50,348,049.34","65,462,163.21","26,139,657.12","42,870,026.77","59,821,085.94","76,386,225.12","28,021,313.56","46,133,736.16"
取得借款收到的现金,,,,,,,,,,,,,,,,,"23,900,000.00"
支付的各项税费,"19,451,054.54","38,730,412.41","30,031,946.75","3,245,988.45","15,246,799.34","21,827,309.81","23,396,336.34","4,159,227.70","10,203,071.16","19,347,546.03","27,663,450.02","3,577,144.37","8,569,422.38","15,855,293.19","28,188,706.64","4,345,644.06","9,304,155.10"
收到其他与筹资活动有关的现金,,,"4,341,875.00",,,,,"1,152,000.00","1,152,000.00","1,152,000.00",,"1,152,000.00","1,152,000.00","1,692,984.20",,"71,771.00","1,210,598.78"
