科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"1,168,571,500.64","1,434,435,242.73","1,673,195,328.01","278,974,839.23","752,817,358.57","1,273,560,935.86","2,038,241,810.01","391,838,997.98","1,146,439,425.12","1,831,415,374.67"
取得子公司及其他营业单位支付的现金净额,,"52,470,612.72",,,,,,,,
收到的税费返还,,"5,475.06",,,,"2,216.17","2,216.17",,,
支付其他与投资活动有关的现金,,,,,,,,,,
收到其他与经营活动有关的现金,"46,930,148.34","43,265,945.27","63,971,124.88","32,302,787.13","52,829,893.71","60,721,393.86","61,061,346.90","22,988,927.19","43,462,937.32","68,806,641.28"
投资活动现金流出小计,"25,322,223.74","104,848,258.13","83,650,440.98","37,683,442.00","83,619,013.94","140,743,696.56","419,051,703.06","98,291,069.98","158,688,130.60","211,387,003.06"
经营活动现金流入小计,"1,215,501,648.98","1,477,706,663.06","1,737,166,452.89","311,277,626.36","805,647,252.28","1,334,284,545.89","2,099,305,373.08","414,827,925.17","1,189,902,362.44","1,900,222,015.95"
投资活动产生的现金流量净额,"-24,661,780.29","-104,629,331.42","-83,286,585.25","-37,628,212.80","-83,454,175.96","-140,525,277.95","-408,601,158.19","-58,054,467.24","-67,778,637.59","-100,267,993.75"
购买商品、接受劳务支付的现金,"651,409,090.07","749,804,200.92","808,196,558.25","161,727,385.82","429,858,614.15","644,922,804.72","1,053,457,875.46","290,074,236.62","677,449,828.03","1,015,138,427.30"
吸收投资收到的现金,,,,,"398,500,000.00","398,500,000.00","398,500,000.00",,,
支付给职工以及为职工支付的现金,"140,167,879.57","202,779,469.64","270,323,466.91","105,749,827.35","188,786,503.90","259,216,231.55","361,369,135.52","133,557,619.26","233,592,107.64","327,316,587.02"
取得借款收到的现金,"50,000,000.00","150,000,000.00","150,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","220,350,163.56","214,000,000.00","214,000,000.00","214,000,000.00"
支付的各项税费,"100,279,152.79","113,427,097.51","158,875,081.89","15,992,539.97","58,247,283.35","126,742,678.09","206,660,446.81","34,534,491.76","94,791,400.55","141,688,761.27"
收到其他与筹资活动有关的现金,,,,,,,,,,
支付其他与经营活动有关的现金,"172,201,823.42","285,129,086.72","285,558,372.32","81,032,012.35","152,268,755.12","285,793,764.55","420,292,936.34","92,789,403.52","204,379,805.19","342,610,309.38"
筹资活动现金流入小计,"50,000,000.00","150,000,000.00","150,000,000.00","80,000,000.00","478,500,000.00","478,500,000.00","618,850,163.56","214,000,000.00","214,000,000.00","214,000,000.00"
经营活动现金流出小计,"1,064,057,945.85","1,351,139,854.79","1,522,953,479.37","364,501,765.49","829,161,156.52","1,316,675,478.91","2,041,780,394.13","550,955,751.16","1,210,213,141.41","1,826,754,084.97"
偿还债务支付的现金,"146,054,771.94","110,000,000.00","165,000,000.00","30,000,000.00","80,000,000.00","155,000,000.00","155,000,000.00","30,000,000.00","150,698,908.28","232,736,974.76"
经营活动产生的现金流量净额,"151,443,703.13","126,566,808.27","214,212,973.52","-53,224,139.13","-23,513,904.24","17,609,066.98","57,524,978.95","-136,127,825.99","-20,310,778.97","73,467,930.98"
分配股利、利润或偿还利息支付的现金,"36,361,883.32","48,921,666.66","35,464,443.39","1,195,125.00","2,161,791.67","39,515,934.55","44,978,825.72","2,203,395.85","44,295,805.44","45,696,881.85"
收回投资收到的现金,,,,,,,"10,000,000.00","40,000,000.00","90,000,000.00","110,000,000.00"
支付其他与筹资活动有关的现金,,,,,"63,316,591.70","63,316,591.70","63,316,591.70",,,
取得投资收益收到的现金,,,,,,,"36,831.23","236,602.74","724,165.76","902,525.76"
筹资活动现金流出小计,"182,416,655.26","158,921,666.66","200,464,443.39","31,195,125.00","145,478,383.37","257,832,526.25","263,295,417.42","32,203,395.85","194,994,713.72","278,433,856.61"
处置固定资产、无形资产和其他长期资产收回的现金净额,"660,443.45","218,926.71","363,855.73","55,229.20","164,837.98","218,418.61","413,713.64",,"185,327.25","216,483.55"
筹资活动产生的现金流量净额,"-132,416,655.26","-8,921,666.66","-50,464,443.39","48,804,875.00","333,021,616.63","220,667,473.75","355,554,746.14","181,796,604.15","19,005,286.28","-64,433,856.61"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,"1,719.43","-16,572.45","27,308.80","-20,527.16","5,232.95","18,796.23","54,139.66","-1,979.12","-38,598.84","-46,839.50"
收到其他与投资活动有关的现金,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"660,443.45","218,926.71","363,855.73","55,229.20","164,837.98","218,418.61","10,450,544.87","40,236,602.74","90,909,493.01","111,119,009.31"
五、现金及现金等价物净增加额,"-5,633,012.99","12,999,237.74","80,489,253.68","-42,068,004.09","226,058,769.38","97,770,059.01","4,532,706.56","-12,387,668.20","-69,122,729.12","-91,280,758.88"
购建固定资产、无形资产和其他长期资产支付的现金,"25,322,223.74","52,377,645.41","83,650,440.98","37,683,442.00","83,619,013.94","140,743,696.56","191,051,703.06","58,291,069.98","68,688,130.60","101,387,003.06"
期初现金及现金等价物余额,"57,690,668.42","52,057,655.43","65,056,893.17","145,546,146.85","145,546,146.85","145,546,146.85","145,546,146.85","150,078,853.41","150,078,853.41","150,078,853.41"
投资支付的现金,,,,,,,"228,000,000.00","40,000,000.00","90,000,000.00","110,000,000.00"
期末现金及现金等价物余额,"52,057,655.43","65,056,893.17","145,546,146.85","103,478,142.76","371,604,916.23","243,316,205.86","150,078,853.41","137,691,185.21","80,956,124.29","58,798,094.53"
