科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年度
一、营业收入,,,,,
二、营业利润,"-83,566.56","-172,618.48","-215,664.13","-294,719.48","-188,828.04"
减:营业成本,,,,,
加:补贴收入,,,,,
营业税金及附加,,,,,
营业外收入,,,,,
销售费用,,,,,
减:营业外支出,,,,,
管理费用,"83,366.56","172,418.70","215,475.55","294,530.90","188,828.04"
其中:非流动资产处置净损失,,,,,
堪探费用,,,,,
加:影响利润总额的其他科目,,,,,
财务费用,200.00,199.78,188.58,188.58,
三、利润总额,"-83,566.56","-172,618.48","-215,664.13","-294,719.48","-188,828.04"
资产减值损失,,,,,
减:所得税,,,,,
加:公允价值变动净收益,,,,,
加:影响净利润的其他科目,,,,,
投资收益,,,,,
四、净利润,"-83,566.56","-172,618.48","-215,664.13","-294,719.48","-188,828.04"
其中:对联营企业和合营企业的投资权益,,,,,
归属于母公司所有者的净利润,"-83,566.56","-172,618.48","-215,664.13","-294,719.48","-188,828.04"
影响营业利润的其他科目,,,,,
少数股东损益,,,,,
