科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"431,978,003.93","454,972,294.31","430,748,389.21","136,132,662.58","318,064,902.08","418,715,540.52","515,957,414.65","153,279,634.76","356,819,482.78","459,942,491.22","551,290,394.01","140,732,743.77"
二、营业利润,"46,633,248.93","72,092,645.22","59,714,855.19","29,492,585.19","56,690,110.72","65,227,578.38","70,513,422.55","26,457,580.12","51,960,460.96","55,679,214.30","56,608,828.40","16,341,589.85"
减:营业成本,"298,220,761.85","304,410,499.57","282,424,425.04","88,851,857.74","214,135,917.67","281,916,274.12","353,949,380.67","109,373,351.30","262,121,998.12","336,187,454.72","400,813,441.72","100,097,530.50"
加:补贴收入,,,,,,,,,,,,
营业税金及附加,"1,469,036.74","2,733,211.95","3,439,275.01","392,178.65","2,156,553.89","2,933,449.58","3,911,735.88","653,868.01","2,023,001.29","3,124,436.56","4,247,433.09","567,483.46"
营业外收入,"3,772,085.44","2,857,057.94","3,283,915.87","2,975,843.67","3,027,684.47","3,683,530.65","910,240.95","112,528.97","190,409.54","2,077,681.72","3,102,667.15","1,069,124.60"
销售费用,"37,857,900.87","34,902,905.06","38,825,554.59","8,703,816.13","20,908,576.68","29,767,660.38","41,986,453.38","9,680,533.37","21,781,057.37","33,226,636.98","48,211,225.34","12,606,458.36"
减:营业外支出,"1,527,897.73","1,850,518.80","1,376,963.06","1,667.70","104,700.19","225,341.75","341,418.38","7,675.48","9,764.87","19,985.27","366,594.96","3,372.34"
管理费用,"38,826,600.41","37,479,730.66","36,308,697.76","9,215,714.43","20,768,553.26","31,429,150.49","44,432,905.39","10,912,876.84","23,602,524.38","28,196,457.74","38,596,384.04","8,969,633.23"
其中:非流动资产处置净损失,"56,178.90","18,942.99","81,323.67",,"22,723.12","22,723.12",,,,,,
堪探费用,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,
财务费用,"1,982,561.18","-1,832,905.52","-4,791,537.65","302,594.12","2,177,263.59","5,344,269.38","5,998,911.96","2,569,988.50","-2,102,031.25","-4,975,117.50","-4,543,352.01","2,063,386.00"
三、利润总额,"48,877,436.64","73,099,184.36","61,621,808.00","32,466,761.16","59,613,095.00","68,685,767.28","71,082,245.12","26,562,433.61","52,141,105.63","57,736,910.75","59,344,900.59","17,407,342.11"
资产减值损失,"5,090,722.05","7,704,046.81","8,886,630.09","313,239.47","3,523,503.67","6,629,232.60","11,007,351.98","1,387,255.25","4,811,406.71","8,080,316.62","7,457,758.90","4,103,164.12"
减:所得税,"13,814,050.91","18,856,137.63","14,134,916.20","8,073,085.68","14,384,661.33","16,825,327.67","21,035,028.47","6,753,314.25","13,291,957.63","15,191,470.84","18,153,023.07","4,734,545.17"
加:公允价值变动净收益,"-2,638,574.16","-1,539,207.36","-3,362,917.18","1,982,070.65","4,715,997.40","5,388,277.22","7,797,601.53","1,569,062.54","-5,250,690.98","-5,715,317.82","-4,767,491.42","2,105,734.72"
加:影响净利润的其他科目,,,,,,,,,,,,
投资收益,"741,402.26","4,057,046.80","-2,577,572.00","-842,747.50","-2,420,420.00","-856,202.81","3,216,121.56","2,701,171.33","8,849,975.86","6,782,609.02","10,103,253.89","-17,305.09"
四、净利润,"35,063,385.73","54,243,046.73","47,486,891.80","24,393,675.48","45,228,433.67","51,860,439.61","50,047,216.65","19,809,119.36","38,849,148.00","42,545,439.91","41,191,877.52","12,672,796.94"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,
归属于母公司所有者的净利润,"35,063,385.73","54,243,046.73","47,486,891.80","24,393,675.48","45,228,433.67","51,860,439.61","50,047,216.65","19,809,119.36","38,849,148.00","42,545,439.91","41,191,877.52","12,672,796.94"
影响营业利润的其他科目,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,
