科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"374,037,794.22","392,346,757.18","375,609,252.28","92,557,766.94","185,408,875.06","268,195,931.31","350,212,915.45","76,896,781.50","176,403,712.44","281,871,573.96","375,797,252.72","90,562,574.88","251,882,785.59","389,057,769.33","540,919,476.98","152,726,214.63","319,108,756.69","474,107,626.05","635,842,504.56","182,751,157.18"
二、营业利润,"45,966,271.74","48,025,669.65","47,353,645.69","12,633,228.59","30,847,511.66","48,007,416.80","63,206,696.78","14,757,236.58","33,775,949.99","51,550,453.14","70,971,747.18","14,629,391.53","40,649,607.22","63,768,937.38","84,326,327.57","25,198,793.05","61,393,658.91","100,046,079.11","117,381,524.49","33,838,449.78"
减:营业成本,"295,718,757.07","308,784,637.17","286,545,237.06","68,445,574.03","132,908,968.39","187,775,412.92","239,717,944.84","49,152,103.24","114,941,219.06","189,280,046.08","251,613,477.43","63,107,683.05","169,112,251.75","259,021,581.19","365,018,999.39","99,536,798.08","213,799,660.95","315,051,478.67","427,470,924.11","116,862,955.09"
加:补贴收入,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,485,725.75","1,546,906.81","1,052,388.67","1,217,836.78","2,230,010.97","2,868,674.87","3,531,339.04","578,630.89","1,112,501.73","1,714,427.85","3,552,565.05","833,258.47","1,890,861.09","2,699,541.28","4,305,839.70","1,242,189.04","2,908,052.01","5,194,108.57","6,869,651.99","1,870,570.51"
营业外收入,"7,826,580.54","8,105,275.61","4,914,490.45","1,030,237.45","2,117,534.23","2,211,159.24","4,483,910.00","401,500.00","3,315,238.20","3,646,019.46","4,485,318.37","1,259,500.00","1,117,877.06","1,117,877.06","1,019,877.06","3,100.00","51,534.64","204,534.64","5,062,267.50",64.60
销售费用,"8,759,661.21","9,045,489.86","9,575,359.56","2,560,280.77","5,770,089.29","8,646,736.82","11,888,598.38","3,058,096.92","7,278,130.77","11,378,560.36","15,460,659.13","2,969,821.38","8,823,277.44","13,961,020.46","20,907,811.94","6,436,307.48","13,785,289.00","19,900,677.24","27,458,819.06","7,705,732.20"
减:营业外支出,"107,623.99","56,000.00","16,012,115.72",,"5,400.00","5,400.00","106,251.62",,,"77,226.28","77,226.28",4.54,"5,004.54","7,886.02","82,288.78","1,127.23","6,496.59","12,867.43","212,013.38","15,533.47"
管理费用,"19,935,451.23","20,688,709.55","28,239,015.53","6,823,368.91","12,708,483.24","20,452,452.77","33,204,787.40","10,293,204.08","21,585,952.50","31,954,088.87","44,726,841.83","8,480,707.86","26,445,198.31","44,048,088.67","61,524,618.61","12,415,632.37","31,971,382.92","15,797,770.60","21,263,074.86","4,579,400.72"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,
财务费用,"835,620.62","3,350,671.18","1,807,425.41","367,305.21","1,145,410.66","646,836.28","-774,637.85","-144,607.36","-1,846,334.14","-2,890,706.94","-8,204,359.30","2,697,346.14","3,310,255.65","4,954,470.77","8,626,703.39","7,898,449.35","-2,917,388.41","-11,236,851.31","-10,382,807.62","5,053,812.20"
三、利润总额,"53,685,228.29","56,074,945.26","36,256,020.42","13,663,466.04","32,959,645.89","50,213,176.04","67,584,355.16","15,158,736.58","37,091,188.19","55,119,246.32","75,379,839.27","15,888,886.99","41,762,479.74","64,878,928.42","85,263,915.85","25,200,765.82","61,438,696.96","100,237,746.32","122,231,778.61","33,822,980.91"
