科目,2004-06-30
货币资金,"28,617.59"
短期借款,"180,508,000.00"
交易性金融资产,
交易性金融负债,
应收票据,
应付票据,
应收账款,"1,821,056.95"
应付账款,"135,205.40"
预付款项,
预收款项,"960,137.41"
其他应收款,"4,901,163.20"
应付职工薪酬,"473,952.56"
应收关联公司款,
应交税费,"12,403,878.73"
应收利息,
应付利息,
应收股利,
应付股利,"647,625.00"
存货,"321,807.43"
其他应付款,"112,579,165.52"
其中:消耗性生物资产,
应付关联公司款,
一年内到期的非流动资产,
一年内到期的非流动负债,
其他流动资产,
其他流动负债,"219,538,555.61"
流动资产合计,"7,072,645.17"
流动负债合计,"527,246,520.23"
可供出售金融资产,
长期借款,
持有至到期投资,
应付债券,
长期应收款,
长期应付款,
长期股权投资,
专项应付款,
投资性房地产,
预计负债,
固定资产,"14,067,836.78"
递延所得税负债,
在建工程,
其他非流动负债,
工程物资,
非流动负债合计,
固定资产清理,
负债合计,"527,246,520.23"
生产性生物资产,
实收资本(或股本),"284,430,707.00"
油气资产,
资本公积,"56,054,889.31"
无形资产,
盈余公积,"63,769,599.26"
开发支出,
减:库存股,
商誉,
未分配利润,"-910,361,233.85"
长期待摊费用,
少数股东权益,
递延所得税资产,
外币报表折算价差,
其他非流动资产,
非正常经营项目收益调整,
非流动资产合计,"14,067,836.78"
所有者权益(或股东权益)合计,"-506,106,038.28"
资产总计,"21,140,481.95"
负债和所有者(或股东权益)合计,"21,140,481.95"
