科目,2005-06-30
货币资金,"5,603,669.30"
短期借款,"109,544,223.01"
交易性金融资产,
交易性金融负债,
应收票据,
应付票据,
应收账款,
应付账款,446.27
预付款项,
预收款项,
其他应收款,"37,365,059.99"
应付职工薪酬,"36,074.84"
应收关联公司款,
应交税费,"-1,714,468.89"
应收利息,
应付利息,
应收股利,"567,928.13"
应付股利,"2,183,053.11"
存货,
其他应付款,"64,388,245.31"
其中:消耗性生物资产,
应付关联公司款,
一年内到期的非流动资产,
一年内到期的非流动负债,"62,514,340.00"
其他流动资产,
其他流动负债,"90,507,538.47"
流动资产合计,"43,536,657.42"
流动负债合计,"327,459,452.12"
可供出售金融资产,
长期借款,
持有至到期投资,"213,512.50"
应付债券,
长期应收款,
长期应付款,
长期股权投资,"64,721,184.01"
专项应付款,
投资性房地产,
预计负债,
固定资产,"17,092,546.24"
递延所得税负债,
在建工程,
其他非流动负债,
工程物资,
非流动负债合计,
固定资产清理,
负债合计,"327,459,452.12"
生产性生物资产,
实收资本(或股本),"177,505,386.00"
油气资产,
资本公积,"125,503,039.20"
无形资产,
盈余公积,"63,395,166.59"
开发支出,
减:库存股,
商誉,
未分配利润,"-568,299,143.74"
长期待摊费用,
少数股东权益,
递延所得税资产,
外币报表折算价差,
其他非流动资产,
非正常经营项目收益调整,
非流动资产合计,"82,027,242.75"
所有者权益(或股东权益)合计,"-201,895,551.95"
资产总计,"125,563,900.17"
负债和所有者(或股东权益)合计,"125,563,900.17"
