科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"4,617,228.81","10,092,051.31","5,865,737.68","9,221,312.53","11,096,701.19","1,952,851.59","4,016,280.98","5,683,903.49","6,979,788.05","1,480,444.30","3,333,270.25","3,986,559.74","5,934,754.25","1,791,022.86","4,106,042.48","5,815,378.48","8,052,913.54","2,387,764.91","5,016,403.73","8,375,965.27","11,049,398.50","3,209,521.74","5,635,228.23","9,838,702.54","12,748,651.44","1,535,256.47","5,225,042.11","8,814,514.24","13,545,100.07","3,342,462.37","8,329,941.18","10,440,018.25","12,042,117.71","-2,671,809.51","-1,021,752.30","-2,033,084.41","-1,720,851.84","-1,500,662.54","-2,957,958.97","-4,844,707.39","-6,218,188.96","-5,473,333.43","-7,044,353.24"
三、利润总额,"19,096,465.93","39,126,397.43","26,850,421.09","40,249,599.55","49,599,918.19","12,900,947.35","34,045,644.52","51,108,654.56","62,800,857.14","18,831,608.01","47,921,574.56","73,134,427.87","90,174,482.10","24,969,468.90","66,335,105.01","102,701,080.12","120,908,060.83","34,231,745.61","89,984,920.81","136,143,844.88","165,697,889.84","44,588,449.50","115,443,771.08","170,452,900.73","205,342,480.16","56,263,335.28","145,847,020.05","214,915,783.40","260,911,075.52","70,455,949.08","172,131,198.14","253,731,313.58","300,972,628.19","82,059,601.72","200,963,782.35","295,220,691.15","358,494,331.62","94,445,377.93","234,248,374.76","391,536,412.39","445,231,523.36","117,789,545.16","300,531,055.45"
资产减值损失,"3,801,218.79","3,078,210.79","2,100,814.89","2,546,744.93","3,516,164.71",,"3,673,745.37","4,374,021.34","3,710,364.49","-1,128,599.28","2,487,874.87","2,658,273.58","2,537,633.97","195,300.63","6,504,716.88","7,989,660.00","3,875,095.74","594,960.95","2,994,367.70","3,041,657.59","3,489,869.95","203,313.15","8,320,366.30","10,143,358.74","12,219,485.74","54,240.10","8,388,039.52","11,306,523.55","14,823,572.91","4,867,660.73","7,532,965.11","8,374,422.25","16,602,272.11","12,340,867.44","15,686,921.04","17,396,863.77","24,140,937.91","11,120,659.89","9,595,960.34","5,921,567.02","21,435,822.32","5,463,219.84","10,843,075.02"
减:所得税,"9,921,250.87","12,809,292.86","7,496,476.91","10,015,648.57","9,778,136.91","2,216,793.07","5,432,870.37","8,032,799.52","9,300,922.00","2,828,328.74","6,705,341.46","10,513,949.03","15,062,865.14","3,344,728.22","9,364,953.24","16,377,960.81","15,625,445.10","4,904,846.47","13,920,643.75","21,061,324.34","27,567,973.33","6,965,199.07","18,035,770.05","26,686,314.60","32,856,760.34","8,691,583.57","23,000,966.70","33,923,517.87","39,656,940.72","10,975,453.32","27,139,025.65","40,041,259.16","45,691,258.67","13,050,849.41","31,762,510.01","46,949,209.18","56,808,492.78","14,946,070.73","35,251,246.08","60,245,751.36","69,979,539.19","18,092,128.09","42,640,635.30"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"741,949.89",,,,"-757,122.68","-1,945,645.33","-3,398,377.46"
四、净利润,"9,175,215.06","26,317,104.57","19,353,944.18","30,233,950.98","39,821,781.28","10,684,154.28","28,612,774.15","43,075,855.04","53,499,935.14","16,003,279.27","41,216,233.10","62,620,478.84","75,111,616.96","21,624,740.68","56,970,151.77","86,323,119.31","105,282,615.73","29,326,899.14","76,064,277.06","115,082,520.54","138,129,916.51","37,623,250.43","97,408,001.03","143,766,586.13","172,485,719.82","47,571,751.71","122,846,053.35","180,992,265.53","221,254,134.80","59,480,495.76","144,992,172.49","213,690,054.42","255,281,369.52","69,008,752.31","169,201,272.34","248,271,481.97","301,685,838.84","79,499,307.20","198,997,128.68","331,290,661.03","375,251,984.17","99,697,417.07","257,890,420.15"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-321,729.93",,,,"-757,122.68",,
归属于母公司所有者的净利润,"9,645,104.15","26,655,718.17","20,744,636.94","31,563,086.79","40,699,444.55","11,309,470.35","29,657,235.23","44,509,864.35","54,673,009.49","16,805,782.35","42,767,074.12","64,809,800.72","76,435,323.79","21,906,572.27","57,398,204.87","87,212,191.23","105,647,054.50","29,640,870.05","76,822,399.34","116,213,443.80","139,697,895.53","38,160,646.15","98,745,906.48","145,737,510.90","176,253,603.32","47,857,462.28","123,683,030.80","182,347,618.80","223,271,123.74","60,042,756.36","146,351,243.43","215,884,867.21","258,347,050.64","70,265,337.24","171,933,913.48","254,168,520.23","309,743,047.13","85,314,401.17","209,171,497.54","344,590,690.74","394,634,279.65","101,752,783.81","261,890,415.65"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"-469,889.09","-338,613.60","-1,390,692.76","-1,329,135.81","-877,663.27","-625,316.07","-1,044,461.08","-1,434,009.31","-1,173,074.35","-802,503.08","-1,550,841.02","-2,189,321.88","-1,323,706.83","-281,831.59","-428,053.10","-889,071.92","-364,438.77","-313,970.91","-758,122.28","-1,130,923.26","-1,567,979.02","-537,395.72","-1,337,905.45","-1,970,924.77","-3,767,883.50","-285,710.57","-836,977.45","-1,355,353.27","-2,016,988.94","-562,260.60","-1,359,070.94","-2,194,812.79","-3,065,681.12","-1,256,584.93","-2,732,641.14","-5,897,038.26","-8,057,208.29","-5,815,093.97","-10,174,368.86","-13,300,029.71","-19,382,295.48","-2,055,366.74","-3,999,995.50"
