科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"514,335,047.04","633,735,639.74","888,531,389.85","518,109,964.92","895,949,471.96","1,085,786,002.56","377,556,803.45","571,109,772.08","900,114,768.69","1,140,988,690.14","449,565,421.89"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,"10,306,441.66","13,766,690.65","20,286,143.77","17,756,097.96","18,902,090.23","34,597,216.00","12,599,630.03","23,815,594.09","35,528,440.48","41,868,687.35","19,913,199.43"
支付其他与投资活动有关的现金,"2,592,500.00","1,050,000.00","33,661,300.00","4,116,300.00","64,301,404.36","5,740,197.12",,,,"3,860,000.00",
收到其他与经营活动有关的现金,"13,793,422.79","12,482,025.90","7,939,544.20","2,760,634.79","3,529,165.30","14,164,701.62","2,863,531.29","34,536,893.52","43,071,978.98","57,984,748.91","12,728,615.15"
投资活动现金流出小计,"94,321,450.16","75,744,059.19","156,886,247.01","104,716,496.60","233,605,667.77","242,108,850.49","36,423,315.28","98,421,080.78","209,439,802.52","307,261,503.55","98,792,981.64"
经营活动现金流入小计,"538,434,911.49","659,984,356.29","916,757,077.82","538,626,697.67","918,380,727.49","1,134,547,920.18","393,019,964.77","629,462,259.69","978,715,188.15","1,240,842,126.40","482,207,236.47"
投资活动产生的现金流量净额,"-77,107,134.44","-57,594,954.69","-140,566,884.87","-69,470,662.18","-193,009,011.08","-199,569,766.12","-36,423,315.28","-98,421,080.78","-209,278,870.94","-300,280,721.92","-98,792,981.64"
购买商品、接受劳务支付的现金,"228,285,660.79","288,083,166.14","301,276,424.90","250,604,163.87","365,673,483.33","409,881,547.17","105,358,901.18","226,436,274.05","348,072,170.08","518,106,347.10","174,323,792.60"
吸收投资收到的现金,,,,,,"657,558,874.00","153,035,176.46","153,035,176.46","153,035,185.01","152,755,896.46",
支付给职工以及为职工支付的现金,"116,278,522.26","149,769,363.78","191,496,017.46","123,954,985.36","189,642,989.27","260,791,014.71","97,913,474.75","170,266,200.47","259,078,455.86","344,644,315.80","109,179,834.10"
取得借款收到的现金,"50,000,000.00","50,000,000.00","80,000,000.00","106,000,000.00","106,000,000.00","236,000,000.00",,,,,
支付的各项税费,"39,118,990.91","31,641,010.37","78,317,521.44","26,025,240.94","49,472,057.48","88,084,438.07","19,999,557.90","41,862,364.90","58,975,750.14","84,113,781.15","33,023,236.18"
收到其他与筹资活动有关的现金,"2,300,000.00",,,,,,"36,974,210.00","36,974,210.00","36,974,210.00","36,974,210.00",
