科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"1,192,994,652.16","1,277,948,744.40","1,357,071,766.22","772,441,002.95","1,535,220,178.96","461,565,248.35","873,042,857.70","1,300,905,999.23","1,765,097,369.07","482,904,693.13","909,987,629.34","1,372,611,215.48","1,801,526,695.49","571,033,332.74","978,865,754.75","1,494,112,939.76","2,002,045,778.46","677,937,355.13","1,173,337,252.60","1,719,654,929.34","2,219,442,083.14","671,491,502.66","1,182,430,624.23","1,716,286,529.47","2,341,636,905.97","757,293,356.38","1,471,897,074.03","2,123,649,747.06","2,802,347,108.97","813,613,655.71","1,628,441,051.98"
二、营业利润,"553,316,644.98","618,570,788.51","610,105,602.03","307,142,058.31","655,937,434.82","179,124,064.72","349,604,258.84","513,397,341.65","723,750,199.87","216,092,072.72","417,794,541.04","621,521,701.81","844,539,271.44","242,151,173.84","428,401,006.63","658,305,581.46","889,218,346.76","283,980,742.25","470,596,782.51","696,115,800.06","908,223,558.09","241,491,325.15","375,974,068.24","543,234,251.08","675,308,101.56","230,586,048.87","402,647,265.63","599,539,784.95","767,490,362.19","246,266,837.60","425,628,659.33"
减:营业成本,"641,523,304.34","611,658,142.39","668,219,530.37","380,306,012.36","723,564,777.34","231,660,100.43","419,768,796.97","632,072,081.88","843,429,507.95","234,209,998.65","429,906,530.88","650,163,477.94","836,329,578.64","278,810,917.42","458,678,864.70","704,167,067.56","931,675,372.51","334,291,068.47","595,283,838.85","862,036,588.22","1,108,245,421.82","358,740,177.90","658,591,829.09","942,887,446.86","1,293,146,940.66","428,390,044.10","855,273,717.19","1,231,486,479.08","1,624,330,850.77","466,307,044.75","1,004,741,705.55"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"295,274.61","97,500.00","903,699.83","9,053,898.55","16,904,353.46","5,039,100.87","9,070,269.65","13,556,392.27","18,228,541.65","5,876,502.45","10,244,830.89","15,203,152.25","18,586,012.46","4,488,731.08","7,990,206.08","12,372,796.54","19,255,404.58","5,064,314.60","10,880,422.05","16,255,969.46","21,843,992.90","6,318,070.49","13,123,722.18","19,387,574.82","32,116,019.90","7,779,931.10","17,633,034.83","26,848,753.60","34,261,036.57","9,594,367.55","20,851,668.13"
营业外收入,"14,256,884.90","4,245,751.05","2,440,994.85","1,068,568.18","2,389,463.83","997,000.00","1,066,065.32","2,557,050.77","2,775,375.20","278,203.99","788,294.71","1,089,079.25","5,816,273.64","857,057.91","862,097.63","2,888,958.04","5,507,455.41","5,349.02","1,475,703.28","2,021,345.14","6,200,893.81","4,411,830.58","5,426,135.03","9,802,613.79","14,668,414.88","3,424,552.09","27,147,915.70","29,561,028.01","1,780,264.56","163,654.77","2,150,491.73"
销售费用,"27,967,542.15","30,523,124.55","27,931,420.01","20,652,226.74","43,308,630.95","14,156,104.18","22,483,553.92","37,331,010.73","51,553,223.43","13,178,789.71","27,618,617.21","40,881,701.22","59,195,267.90","14,344,424.04","29,474,161.05","45,368,499.27","64,162,132.11","16,711,686.71","33,506,686.17","49,542,979.66","69,538,822.48","16,663,120.41","31,125,048.87","45,963,751.25","70,740,893.21","22,177,994.31","43,653,388.13","66,061,688.19","92,956,098.93","23,472,861.07","47,292,366.99"
减:营业外支出,"6,369,635.56","11,256,984.88","5,932,010.95","4,948,446.37","12,938,889.97","711,870.22","3,723,169.66","7,790,123.30","8,343,286.60","1,331,449.03","8,363,234.61","10,384,412.10","12,265,852.02","707,027.58","3,818,583.46","7,612,933.26","8,937,076.53","4,261,852.55","7,723,156.05","10,440,936.45","12,030,693.40","985,674.15","2,154,405.25","3,379,740.65","3,816,706.68","1,381,565.21","2,880,124.68","5,679,426.83","8,848,577.46","380,970.72","664,939.04"
管理费用,"76,624,900.29","81,199,236.60","79,227,865.45","78,928,421.60","141,318,112.45","33,566,571.82","88,519,759.47","127,872,027.15","171,977,179.62","42,735,604.89","85,913,359.62","128,469,568.86","181,213,262.93","46,365,461.71","92,089,009.99","143,859,200.46","203,171,564.65","55,972,651.08","113,995,557.86","174,056,647.62","239,744,677.32","64,512,410.63","130,324,159.95","207,327,080.63","300,993,913.88","69,803,079.38","145,861,479.58","220,564,830.39","315,243,609.47","76,013,092.86","158,214,779.59"
其中:非流动资产处置净损失,"1,229,397.35","587,366.28","680,362.04","9,128.60","398,358.07","6,550.92","7,215.67","7,215.67","14,332.67","113,349.35","137,707.67","137,707.67","942,803.51",,524.27,"14,854.27","319,696.77","380,515.92","416,315.29","448,631.31","567,514.70","331,491.96","354,024.99","490,033.34","804,150.36","692,584.29","1,514,990.21","2,996,855.80",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"10,176,852.00","10,345,650.02","21,045,465.57","9,926,347.32","17,257,215.96","2,586,908.61","4,559,340.07","7,555,575.64","6,965,013.84","-3,225,492.97","-3,009,002.54","-4,874,597.63","-1,394,100.53","4,934,436.12","9,061,367.26","12,746,376.95","15,730,541.58","3,557,844.42","5,339,435.78","7,949,440.32","7,910,596.47","-161,783.80","1,708,359.87","7,673,461.36","15,400,667.18","9,900,611.27","15,204,857.95","19,153,854.64","23,445,690.43","4,667,716.22","6,005,173.93"
三、利润总额,"561,203,894.32","611,559,554.68","606,614,585.93","303,262,180.12","645,388,008.68","179,409,194.50","346,947,154.50","508,164,269.12","718,182,288.47","215,038,827.68","410,219,601.14","612,226,368.96","838,089,693.06","242,301,204.17","425,444,520.80","653,581,606.24","885,788,725.64","279,724,238.72","464,349,329.74","687,696,208.75","902,393,758.50","244,917,481.58","379,245,798.02","549,657,124.22","686,159,809.76","232,629,035.75","426,915,056.65","623,421,386.13","760,422,049.29","246,049,521.65","427,114,212.02"
资产减值损失,"-5,730,543.37","-3,347,452.41","5,924,072.67","1,490,156.70","2,062,784.08","3,813,791.90","558,322.67","-225,603.79","-994,059.33","7,416,785.98","9,107,757.52","17,099,537.36","5,960,130.42","16,164,779.15","17,524,153.81","8,436,839.82","4,631,016.51","15,952,100.30","20,667,929.91","18,423,149.48","16,466,387.52","12,845,933.16","16,869,736.82","11,765,008.90","41,710,881.92","12,437,202.60","22,568,604.77","15,141,926.30","42,826,070.48","19,841,386.08","21,951,524.22"
减:所得税,"6,525,506.34","68,027,001.70","79,689,742.05","46,726,390.53","79,017,221.26","34,635,018.57","59,396,746.33","83,575,868.62","104,704,574.21","30,279,473.30","55,331,738.85","81,940,888.29","113,039,306.55","30,337,985.25","55,704,301.56","89,098,495.36","119,489,726.62","37,133,242.13","64,662,860.39","93,744,704.27","122,339,954.18","34,969,856.28","53,368,008.04","79,392,023.02","89,129,803.61","27,630,849.50","63,491,101.11","96,139,692.83","92,091,119.97","31,201,442.26","61,752,197.83"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"111,179,322.84","71,098,245.26","56,285,889.71","35,058,118.63","65,133,130.10","8,381,394.18","21,521,443.89","30,652,826.30","49,812,237.96","33,379,568.30","67,589,005.28","95,853,326.33","142,902,727.77","36,226,590.62","64,353,014.77","91,143,422.30","125,798,600.24","37,593,052.70","76,933,400.53","104,725,645.48","152,531,373.46","28,917,751.28","45,286,300.79","61,952,045.43","87,780,512.34","23,781,555.25","30,945,274.05","55,147,570.09","70,605,110.21","25,733,554.31","41,162,406.82"
四、净利润,"554,678,387.98","543,532,552.98","526,924,843.88","256,535,789.59","566,370,787.42","144,774,175.93","287,550,408.17","424,588,400.50","613,477,714.26","184,759,354.38","354,887,862.29","530,285,480.67","725,050,386.51","211,963,218.92","369,740,219.24","564,483,110.88","766,298,999.02","242,590,996.59","399,686,469.35","593,951,504.48","780,053,804.32","209,947,625.30","325,877,789.98","470,265,101.20","597,030,006.15","204,998,186.25","363,423,955.54","527,281,693.30","668,330,929.32","214,848,079.39","365,362,014.19"
其中:对联营企业和合营企业的投资权益,,,,,"65,114,719.14","8,381,394.18","20,973,985.32","30,105,367.71","47,440,904.39","22,652,943.30","46,135,755.28","63,555,576.33","99,746,779.14","25,601,891.99","42,998,506.14","58,848,567.27","79,665,087.39","25,283,248.70","52,177,016.93","65,807,434.26","103,955,330.87","24,258,319.34","39,775,179.60","54,508,175.81","80,336,696.06","21,845,375.70","28,093,484.81","51,445,370.34","66,902,951.19","25,733,554.31","41,162,406.82"
归属于母公司所有者的净利润,"507,802,922.98","506,488,122.38","507,920,559.49","248,324,561.47","545,914,849.47","144,485,436.21","286,073,164.55","415,294,976.62","597,254,760.57","179,897,388.74","347,014,639.26","516,816,988.01","702,620,585.12","206,892,983.27","362,382,434.15","553,106,317.58","736,705,332.53","231,952,588.45","380,980,674.30","564,275,106.69","741,197,151.69","201,361,385.91","313,363,796.69","449,906,198.89","566,719,803.06","201,832,891.34","355,696,716.57","517,081,948.00","652,094,180.40","208,133,235.59","357,703,714.39"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"46,875,465.00","37,044,430.60","19,004,284.39","8,211,228.12","20,455,937.95","288,739.72","1,477,243.62","9,293,423.88","16,222,953.69","4,861,965.64","7,873,223.03","13,468,492.66","22,429,801.39","5,070,235.65","7,357,785.09","11,376,793.30","29,593,666.49","10,638,408.14","18,705,795.05","29,676,397.79","38,856,652.63","8,586,239.39","12,513,993.29","20,358,902.31","30,310,203.09","3,165,294.91","7,727,238.97","10,199,745.30","16,236,748.92","6,714,843.80","7,658,299.80"
