科目,2010年度,2011年度,2012年1-6月,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
堪探费用,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,
财务费用,"-372,102.80","-1,256,094.26","-650,031.01","-690,384.24","523,935.02","1,639,934.13","424,700.94","130,796.96","-490,532.85","-917,219.81","429,104.82","1,073,870.78","2,690,445.36","5,250,490.16","13,057,394.58","32,389,473.47","47,151,266.33","63,398,563.27","15,712,550.14","34,378,247.38","50,592,246.57"
三、利润总额,"38,186,292.41","49,527,633.51","26,682,746.84","65,480,720.74","37,597,881.83","78,968,514.81","22,040,630.53","46,210,748.89","81,094,647.37","112,488,747.71","26,233,616.39","54,011,121.88","86,610,918.67","131,623,346.74","74,944,066.33","165,692,447.15","265,526,610.45","391,212,467.85","98,233,690.23","236,248,875.49","373,965,838.67"
资产减值损失,"184,485.26","79,790.10","199,039.66","388,124.39","467,616.85","166,822.03","366,951.75","822,640.47","1,041,184.81","679,592.70","1,024,463.50","1,789,836.47","1,441,757.54","1,317,356.05","1,868,586.46","4,639,476.51","5,982,897.74","2,074,620.41","5,178,822.62","5,963,450.45","4,987,704.85"
减:所得税,"5,868,320.80","7,457,476.11","4,089,994.86","10,098,720.80","5,565,892.89","11,705,171.97","3,513,614.90","7,432,618.29","13,239,073.83","17,302,763.63","4,156,356.26","7,380,381.48","12,045,215.19","17,444,744.49","14,678,209.25","32,729,108.20","51,768,201.11","59,999,043.51","14,716,076.39","27,079,932.28","48,814,129.82"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,
投资收益,"34,338.38",,,,,,,,,,,"623,679.70","623,679.70","506,822.09","-120,473.16","514,991.87","8,996,424.22","20,479,084.95","11,088,050.94","22,537,270.41","33,105,727.63"
四、净利润,"32,317,971.61","42,070,157.40","22,592,751.98","55,381,999.94","32,031,988.94","67,263,342.84","18,527,015.63","38,778,130.60","67,855,573.54","95,185,984.08","22,077,260.13","46,630,740.40","74,565,703.48","114,178,602.25","60,265,857.08","132,963,338.95","213,758,409.34","331,213,424.34","83,517,613.84","209,168,943.21","325,151,708.85"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,"-116,857.61",,"-230,472.07","-537,121.75","-950,722.20","-480,986.79","-806,464.00","-1,109,155.44"
归属于母公司所有者的净利润,"32,317,971.61","42,070,157.40","22,592,751.98","55,381,999.94","32,031,988.94","67,264,610.13","18,526,594.26","38,777,383.89","67,854,381.99","95,184,364.67","22,077,047.87","46,630,351.38","74,565,321.01","113,588,409.62","60,086,159.17","132,349,822.66","212,176,659.66","335,159,778.67","85,824,287.10","209,598,484.23","325,135,118.26"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,"-1,267.29",421.37,746.71,"1,191.55","1,619.41",212.26,389.02,382.47,"590,192.63","179,697.91","613,516.29","1,581,749.68","-3,946,354.33","-2,306,673.26","-429,541.02","16,590.59"
