科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、经营活动产生的现金流量,,,,,,,,,,
收回投资收到的现金,"110,020,789,000.00","20,869,667,000.00","180,551,271,000.00","69,029,573,000.00","176,532,618,000.00","358,576,885,000.00","515,280,889,000.00","122,743,533,000.00","322,752,159,000.00","484,660,443,000.00"
客户存款和同业存放款项净增加额,"21,404,392,000.00","27,267,148,000.00","52,288,604,000.00","6,733,002,000.00","38,530,569,000.00","68,050,699,000.00","91,012,495,000.00","19,199,336,000.00","21,143,322,000.00","17,947,739,000.00"
取得投资收益收到的现金,"1,021,194,000.00","1,630,516,000.00","3,239,279,000.00","926,361,000.00","2,408,109,000.00","4,108,265,000.00","5,633,050,000.00","1,846,529,000.00","4,444,679,000.00","7,468,752,000.00"
向中央银行借款净增加额,"100,000,000.00","100,000,000.00","30,000,000.00",,"220,000,000.00","140,000,000.00","245,000,000.00",,,
收到其他与投资活动有关的现金,"115,000.00","6,835,000.00","147,000.00","2,000.00","18,000.00","12,000.00","337,000.00","67,229,000.00","115,000.00","21,037,000.00"
向其他金融机构拆入资金净增加额,,,,,,"4,700,000,000.00","4,950,000,000.00","3,250,000,000.00",,"9,997,691,000.00"
投资活动现金流入小计,"111,042,098,000.00","22,507,018,000.00","183,790,697,000.00","69,955,936,000.00","178,940,745,000.00","362,685,162,000.00","520,914,276,000.00","124,657,291,000.00","327,196,953,000.00","492,150,232,000.00"
收取利息、手续费及佣金的现金,"4,842,830,000.00","5,991,184,000.00","7,627,937,000.00","1,891,304,000.00","3,781,611,000.00","5,992,835,000.00","8,731,643,000.00","2,301,710,000.00","7,622,041,000.00","6,743,409,000.00"
投资支付的现金,"120,328,347,000.00","33,426,737,000.00","248,548,773,000.00","81,410,424,000.00","201,750,604,000.00","411,498,416,000.00","605,478,775,000.00","137,954,836,000.00","341,325,762,000.00","521,565,000,000.00"
处置交易性金融资产净增加额,,,,,,,,,,
质押贷款净增加额,,,,,,,,,,
拆入资金净增加额,,,,,,,,,,
购建固定资产、无形资产和其他长期资产支付的现金,"571,326,000.00","1,050,474,000.00","741,604,000.00","166,296,000.00","473,703,000.00","913,919,000.00","1,204,964,000.00","287,480,000.00","356,553,000.00","426,944,000.00"
回购业务资金净增加额,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,
销售商品、提供劳务收到的现金,,,,,,,,,,
投资活动现金流出小计,"120,899,673,000.00","34,477,211,000.00","249,290,377,000.00","81,576,720,000.00","202,224,307,000.00","412,412,335,000.00","606,683,739,000.00","138,242,316,000.00","341,682,315,000.00","521,991,944,000.00"
收到的税费返还,,,,,,,,,,
投资活动产生的现金流量净额,"-9,857,575,000.00","-11,970,193,000.00","-65,499,680,000.00","-11,620,784,000.00","-23,283,562,000.00","-49,727,173,000.00","-85,769,463,000.00","-13,585,025,000.00","-14,485,362,000.00","-29,841,712,000.00"
收到原保险合同保费取得的现金,,,,,,,,,,
三、筹资活动产生的现金流量,,,,,,,,,,
收到再保业务现金净额,,,,,,,,,,
吸收投资收到的现金,,"103,880,000.00",,,,"4,780,499,000.00","4,780,499,000.00",,,
保户储金及投资款净增加额,,,,,,,,,,
发行债券收到的现金,,"1,470,656,000.00","29,688,394,000.00",,"10,765,492,000.00","44,509,372,000.00","88,318,482,000.00","32,420,000,000.00","71,073,989,000.00","112,779,755,000.00"
收到其他与经营活动有关的现金,"2,537,952,000.00","2,137,729,000.00","1,179,700,000.00","10,084,673,000.00","11,665,086,000.00","476,852,000.00","9,917,485,000.00","2,679,831,000.00","11,479,326,000.00","154,584,000.00"
取得借款收到的现金,,,,,,,,,,
经营活动现金流入小计,"28,885,174,000.00","35,496,061,000.00","61,976,682,000.00","18,708,979,000.00","54,197,266,000.00","79,360,386,000.00","114,856,623,000.00","27,430,877,000.00","40,967,279,000.00","35,191,768,000.00"
收到其他与筹资活动有关的现金,,,,,,,,,,
客户贷款及垫款净增加额,"10,042,800,000.00","12,977,067,000.00","13,477,774,000.00","4,999,933,000.00","9,955,738,000.00","16,705,513,000.00","28,525,598,000.00","2,997,052,000.00","7,636,725,000.00","21,090,719,000.00"
筹资活动现金流入小计,,"1,574,536,000.00","29,688,394,000.00",,"10,765,492,000.00","49,289,871,000.00","93,098,981,000.00","32,420,000,000.00","71,073,989,000.00","112,779,755,000.00"
存放中央银行和同业款项净增加额,"5,656,809,000.00","2,793,348,000.00",,"440,637,000.00","5,809,115,000.00","7,498,329,000.00","8,650,478,000.00","877,065,000.00",,
偿还债务支付的现金,,"494,146,000.00","4,600,000,000.00","2,070,000,000.00","11,210,000,000.00","36,430,000,000.00","69,330,000,000.00","26,020,000,000.00","50,059,755,000.00","77,989,755,000.00"
支付的手续费及佣金的现金,"1,664,705,000.00","1,778,390,000.00","2,892,891,000.00","830,021,000.00","1,528,880,000.00","2,361,571,000.00","3,570,283,000.00","896,016,000.00","2,271,422,000.00","3,475,119,000.00"
分配股利、利润或偿付利息支付的现金,"309,390,000.00","324,443,000.00","331,457,000.00","44,000.00","11,840,000.00","12,025,000.00","138,052,000.00","843,801,000.00","2,319,474,000.00","3,293,792,000.00"
购买商品、提供劳务支付的现金,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,"12,526,000.00",,,
支付原保险合同赔付款项的现金,,,,,,,,,,
筹资活动现金流出小计,"309,390,000.00","818,589,000.00","4,931,457,000.00","2,070,044,000.00","11,221,840,000.00","36,442,025,000.00","69,480,578,000.00","26,863,801,000.00","52,379,229,000.00","81,283,547,000.00"
支付保单红利的现金,,,,,,,,,,
筹资活动产生的现金流量净额,"-309,390,000.00","755,947,000.00","24,756,937,000.00","-2,070,044,000.00","-456,348,000.00","12,847,846,000.00","23,618,403,000.00","5,556,199,000.00","18,694,760,000.00","31,496,208,000.00"
支付给职工以及为职工支付的现金,"793,845,000.00","924,893,000.00","1,187,522,000.00","391,678,000.00","649,097,000.00","943,766,000.00","1,358,904,000.00","559,046,000.00","163,535,000.00","1,339,605,000.00"
四、汇率变动对现金的影响,"-3,189,000.00","145,000.00","4,918,000.00","-417,000.00","2,259,000.00","6,150,000.00","6,623,000.00","-772,000.00","365,000.00","709,000.00"
支付的各项税费,"712,738,000.00","1,139,051,000.00","1,417,580,000.00","397,082,000.00","904,013,000.00","1,077,786,000.00","1,609,868,000.00","306,775,000.00","766,422,000.00","948,243,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,
支付其他与经营活动有关的现金,"6,602,904,000.00","2,241,485,000.00","5,147,455,000.00","265,890,000.00","1,525,630,000.00","15,261,223,000.00","2,680,360,000.00","13,839,105,000.00","13,550,517,000.00","2,769,486,000.00"
五、现金及现金等价物净增加额,"-6,758,781,000.00","2,427,726,000.00","-2,884,365,000.00","-2,307,507,000.00","10,087,142,000.00","-1,360,979,000.00","6,316,695,000.00","-73,780,000.00","20,643,421,000.00","7,066,801,000.00"
经营活动现金流出小计,"25,473,801,000.00","21,854,234,000.00","24,123,222,000.00","7,325,241,000.00","20,372,473,000.00","43,848,188,000.00","46,395,491,000.00","19,475,059,000.00","24,533,621,000.00","29,780,172,000.00"
期初现金及现金等价物余额,"13,856,765,000.00","7,097,984,000.00","9,525,710,000.00","6,641,345,000.00","6,641,345,000.00","6,641,345,000.00","6,641,345,000.00","12,958,040,000.00","12,958,040,000.00","12,958,040,000.00"
