科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"248,855,285.46","337,516,987.16","358,157,577.85","74,287,607.12","167,560,844.37","238,414,867.30"
取得子公司及其他营业单位支付的现金净额,"2,165,459.68","167,000.00",,,,
收到的税费返还,,,,,,
支付其他与投资活动有关的现金,,,,,"300,000,000.00","370,000,000.00"
收到其他与经营活动有关的现金,"474,347.43","5,063,455.62","8,265,114.61","4,284,629.25","2,321,632.59","20,721,738.20"
投资活动现金流出小计,"14,726,661.12","44,967,671.88","71,431,627.96","35,181,301.01","326,458,088.25","402,583,594.75"
经营活动现金流入小计,"249,329,632.89","342,580,442.78","366,422,692.46","78,572,236.37","169,882,476.96","259,136,605.50"
投资活动产生的现金流量净额,"-11,226,661.12","-41,183,157.32","-68,431,627.96","-31,181,301.01","-317,042,959.83","-323,714,508.00"
购买商品、接受劳务支付的现金,"74,612,512.87","147,681,675.10","175,653,790.46","30,783,129.92","90,677,278.64","173,167,501.86"
吸收投资收到的现金,,,,"406,414,600.00","406,414,600.00","406,414,600.00"
支付给职工以及为职工支付的现金,"28,462,709.35","38,758,484.08","47,820,910.34","18,121,267.55","26,864,404.75","37,728,729.39"
取得借款收到的现金,"98,000,000.00","50,000,000.00","40,000,000.00",,,
支付的各项税费,"32,753,642.99","48,225,716.56","32,027,011.78","9,615,063.87","18,472,567.36","28,502,513.56"
收到其他与筹资活动有关的现金,,,,,,
支付其他与经营活动有关的现金,"33,254,067.44","28,708,387.92","22,911,791.84","6,453,350.71","26,346,669.62","45,414,907.01"
筹资活动现金流入小计,"98,000,000.00","50,000,000.00","40,000,000.00","406,414,600.00","406,414,600.00","406,414,600.00"
经营活动现金流出小计,"169,082,932.65","263,374,263.66","278,413,504.42","64,972,812.05","162,360,920.37","284,813,651.82"
偿还债务支付的现金,"114,300,000.00","78,700,000.00","50,000,000.00",,"22,000,000.00","20,000,000.00"
经营活动产生的现金流量净额,"80,246,700.24","79,206,179.12","88,009,188.04","13,599,424.32","7,521,556.59","-25,677,046.32"
分配股利、利润或偿还利息支付的现金,"23,243,611.93","2,695,591.64","848,039.14","217,499.98","13,626,851.64","14,537,697.64"
收回投资收到的现金,,,,,"2,000,000.00",
支付其他与筹资活动有关的现金,"494,000.00","2,100,000.00","1,300,000.00","38,544,406.84","48,907,473.37","48,916,183.37"
取得投资收益收到的现金,,,,,,"1,453,958.33"
筹资活动现金流出小计,"138,037,611.93","83,495,591.64","52,148,039.14","38,761,906.82","84,534,325.01","83,453,881.01"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"24,514.56",,,"81,928.42","81,928.42"
筹资活动产生的现金流量净额,"-40,037,611.93","-33,495,591.64","-12,148,039.14","367,652,693.18","321,880,274.99","322,960,718.99"
处置子公司及其他营业单位收到的现金净额,,,,,,
四、汇率变动对现金的影响,,0.31,,,,
收到其他与投资活动有关的现金,"3,500,000.00","3,760,000.00","3,000,000.00","4,000,000.00","7,333,200.00","77,333,200.00"
四(2)、其他原因对现金的影响,,,,,,
投资活动现金流入小计,"3,500,000.00","3,784,514.56","3,000,000.00","4,000,000.00","9,415,128.42","78,869,086.75"
五、现金及现金等价物净增加额,"28,982,427.19","4,527,430.47","7,429,520.94","350,070,816.49","12,358,871.75","-26,430,835.33"
购建固定资产、无形资产和其他长期资产支付的现金,"12,561,201.44","44,800,671.88","71,431,627.96","35,181,301.01","26,458,088.25","32,583,594.75"
期初现金及现金等价物余额,"22,873,314.11","51,855,741.30","56,383,171.77","64,634,037.78","63,812,692.71","63,812,692.71"
投资支付的现金,,,,,,
期末现金及现金等价物余额,"51,855,741.30","56,383,171.77","63,812,692.71","414,704,854.27","76,171,564.46","37,381,857.38"
