科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"148,650,138.11","156,033,402.06","156,433,045.79","80,440,205.56","121,061,498.05","165,153,325.35","36,400,537.46","78,814,438.82","124,158,747.94"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,
收到的税费返还,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,"60,000,000.00","120,000,000.00","120,000,000.00"
收到其他与经营活动有关的现金,"4,998,088.19","4,464,231.26","8,991,639.29","1,168,062.07","5,985,697.28","3,062,963.54","1,937,571.88","2,757,484.96","6,219,460.45"
投资活动现金流出小计,"7,398,566.06","7,910,248.42","9,622,372.84","7,640,291.25","23,561,991.73","27,498,790.75","64,410,894.99","132,153,759.99","142,445,203.00"
经营活动现金流入小计,"153,648,226.30","160,497,633.32","165,424,685.08","81,608,267.63","127,047,195.33","168,216,288.89","38,338,109.34","81,571,923.78","130,378,208.39"
投资活动产生的现金流量净额,"-7,388,566.06","-7,910,248.42","-9,622,372.84","-7,640,291.25","-23,435,991.73","-27,487,990.75","-64,410,894.99","-111,287,486.01","-120,663,367.38"
购买商品、接受劳务支付的现金,"78,096,624.18","75,363,808.92","56,218,497.61","17,250,717.98","20,607,045.61","33,620,467.44","12,483,199.23","24,765,515.88","42,656,197.02"
吸收投资收到的现金,,"1,000,000.00",,,,"148,800,000.00",,,
支付给职工以及为职工支付的现金,"23,999,437.71","27,015,706.86","31,102,855.49","17,613,578.16","26,898,083.27","36,822,805.71","9,883,856.45","19,797,925.84","33,932,977.93"
取得借款收到的现金,"15,000,000.00","13,000,000.00","13,000,000.00",,"14,000,000.00","14,000,000.00",,,
支付的各项税费,"22,387,245.16","22,962,415.60","25,630,884.81","13,570,562.70","19,209,330.06","29,429,326.56","6,037,645.10","14,913,756.82","19,890,797.19"
收到其他与筹资活动有关的现金,,,,,,"5,000,000.00",,,
支付其他与经营活动有关的现金,"17,566,578.55","23,962,413.75","19,326,942.22","14,349,913.00","22,913,553.19","27,320,334.55","6,701,355.72","11,883,838.93","16,957,279.01"
筹资活动现金流入小计,"15,000,000.00","14,000,000.00","13,000,000.00",,"14,000,000.00","167,800,000.00",,,
经营活动现金流出小计,"142,049,885.60","149,304,345.13","132,279,180.13","62,784,771.84","89,628,012.13","127,192,934.26","35,106,056.50","71,361,037.47","113,437,251.15"
偿还债务支付的现金,"21,100,000.00","15,000,000.00","17,500,000.00","7,000,000.00","7,000,000.00","7,000,000.00","14,000,000.00","14,000,000.00","14,000,000.00"
经营活动产生的现金流量净额,"11,598,340.70","11,193,288.19","33,145,504.95","18,823,495.79","37,419,183.20","41,023,354.63","3,232,052.84","10,210,886.31","16,940,957.24"
分配股利、利润或偿还利息支付的现金,"4,017,641.02","5,720,658.35","10,597,963.58","15,192,415.83","15,192,415.83","15,192,415.83",,"7,426,321.77","7,426,321.77"
收回投资收到的现金,,,,,,,,,
支付其他与筹资活动有关的现金,,,"930,000.00","1,100,000.00","1,136,579.30","1,930,000.00","4,550,000.00","6,221,000.00","6,221,000.00"
取得投资收益收到的现金,,,,,,,,"866,273.98","1,781,835.62"
筹资活动现金流出小计,"25,117,641.02","20,720,658.35","29,027,963.58","23,292,415.83","23,328,995.13","24,122,415.83","18,550,000.00","27,647,321.77","27,647,321.77"
处置固定资产、无形资产和其他长期资产收回的现金净额,"10,000.00",,,,"126,000.00","10,800.00",,,
筹资活动产生的现金流量净额,"-10,117,641.02","-6,720,658.35","-16,027,963.58","-23,292,415.83","-9,328,995.13","143,677,584.17","-18,550,000.00","-27,647,321.77","-27,647,321.77"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,
四、汇率变动对现金的影响,-300.65,571.99,,,,"-3,371.11",,,
收到其他与投资活动有关的现金,,,,,,,,"20,000,000.00","20,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,
投资活动现金流入小计,"10,000.00",,,,"126,000.00","10,800.00",,"20,866,273.98","21,781,835.62"
五、现金及现金等价物净增加额,"-5,908,167.03","-3,437,046.59","7,495,168.53","-12,109,211.29","4,654,196.34","157,209,576.94","-79,728,842.15","-128,723,921.47","-131,369,731.91"
购建固定资产、无形资产和其他长期资产支付的现金,"7,398,566.06","7,910,248.42","9,622,372.84","7,640,291.25","23,561,991.73","27,498,790.75","4,410,894.99","12,153,759.99","22,445,203.00"
期初现金及现金等价物余额,"27,555,827.55","21,647,660.52","18,210,613.93","25,705,782.46","25,705,782.46","25,705,782.46","182,915,359.40","182,915,359.40","182,915,359.40"
投资支付的现金,,,,,,,,,
期末现金及现金等价物余额,"21,647,660.52","18,210,613.93","25,705,782.46","13,596,571.17","30,359,978.80","182,915,359.40","103,186,517.25","54,191,437.93","51,545,627.49"
