科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"826,203,924.20","919,806,142.46","816,109,210.11","387,657,584.56","585,466,900.00","820,751,168.91","227,047,134.48","519,411,211.14","889,527,195.95","1,282,944,281.46","373,519,665.48","755,715,309.46","1,137,724,061.59","1,502,983,790.08","313,587,310.97"
二、营业利润,"84,722,539.26","101,023,659.96","122,184,540.67","66,390,754.42","93,487,600.00","112,603,581.80","16,143,484.99","57,484,827.46","110,294,250.99","152,946,150.00","41,959,735.18","93,104,834.38","128,837,167.37","170,347,630.62","42,217,112.56"
减:营业成本,"631,915,128.89","698,651,667.95","584,427,204.77","264,308,160.68",,"587,423,073.03","178,020,484.88","401,063,267.93","685,896,965.94","1,001,493,073.30","293,236,807.31","588,800,529.80","893,083,212.08","1,173,000,121.49","232,360,988.77"
加:补贴收入,,,,,,,,,,,,,,,
营业税金及附加,"3,254,938.04","4,427,380.55","4,784,404.57","2,438,589.92",,"4,743,142.98","771,785.26","2,282,925.75","4,017,784.63","5,419,885.84","2,348,495.02","4,815,347.73","7,077,239.63","9,122,410.76","2,322,168.28"
营业外收入,"3,872,624.94","3,511,980.74","5,418,168.91","3,862,655.76",,"8,521,553.91","5,117,862.80","31,103.05","36,917.55","5,970,934.72",,"90,192.34","250,444.76","242,444.76","322,000.00"
销售费用,"41,590,816.33","47,279,037.76","44,293,501.05","22,521,106.78",,"46,003,652.78","11,000,075.91","25,056,201.70","38,490,163.92","52,293,542.71","13,356,141.61","28,652,034.70","44,893,915.17","62,525,517.27","14,185,455.40"
减:营业外支出,"1,368,240.34","363,492.40","189,406.72","115,181.17",,"461,839.38",371.83,"28,853.49","1,153,161.32","1,226,946.64","258,646.32","258,494.77","307,529.74","521,059.33","122,458.65"
管理费用,"57,928,584.75","64,675,105.41","60,176,593.05","28,384,152.30",,"64,364,072.55","16,820,361.12","35,006,147.05","53,124,076.10","76,150,680.84","20,774,599.17","44,494,766.03","33,716,415.03","45,911,926.78","12,658,094.66"
其中:非流动资产处置净损失,"1,210,758.57","211,047.58","56,614.51","64,919.30",,"65,247.30",,"13,481.66","14,652.77",,,,,,
堪探费用,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,
财务费用,"784,787.53","2,170,032.66","349,967.02","442,110.46",,"394,920.16","-317,515.63","-908,808.91","-324,031.87","-2,295,449.78","194,588.88","467,341.12","1,203,038.31","4,202,936.22","1,815,670.05"
三、利润总额,"87,226,923.86","104,172,148.30","127,413,302.86","70,138,229.01","99,753,800.00","120,663,296.33","21,260,975.96","57,487,077.02","109,178,007.22","157,690,138.08","41,701,088.86","92,936,531.95","128,780,082.39","170,069,016.05","42,416,653.91"
资产减值损失,"6,007,129.40","1,579,258.17","-107,001.02","3,172,710.00",,"5,218,725.61","4,608,457.95","6,080,252.49","11,987,204.75","12,580,437.98","5,896,192.05","4,424,893.72","5,402,949.38","6,726,027.66","575,037.09"
减:所得税,"13,512,281.84","15,605,609.44","18,573,328.95","11,012,807.70",,"17,470,180.84","2,546,446.28","9,139,495.61","17,136,216.22","22,197,028.06","6,717,993.40","14,785,537.83","20,820,426.00","23,913,474.43","7,604,599.65"
加:公允价值变动净收益,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,
投资收益,,,,,,,,"846,246.58","3,500,539.96","8,195,602.11","2,070,891.92","4,064,974.11","4,064,974.11","4,829,357.73","68,944.44"
四、净利润,"73,714,642.02","88,566,538.86","108,839,973.91","59,125,421.31","84,026,600.00","103,193,115.49","18,714,529.68","48,347,581.41","92,041,791.00","135,493,110.02","34,983,095.46","78,150,994.12","107,959,656.39","146,155,541.62","34,812,054.26"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"73,714,642.02","88,566,538.86","108,839,973.91","59,125,421.31","84,026,600.00","103,193,115.49","18,714,529.68","48,347,581.41","92,041,791.00","135,493,110.02","34,983,095.46","78,150,994.12","107,959,656.39","146,155,541.62","34,812,054.26"
影响营业利润的其他科目,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,
