科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月
销售商品、提供劳务收到的现金,"1,918,666,156.93","3,746,536,548.36","5,816,423,086.35","9,391,160,787.25","2,733,032,689.14","6,437,612,444.21","9,321,517,316.33","11,594,775,655.59","3,788,491,353.79","5,373,770,958.28","8,541,419,388.91"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,,"683,298.60","683,298.60","20,000.00",,,,"6,955,121.94","72,574,509.79","72,574,509.79","72,574,509.79"
支付其他与投资活动有关的现金,,,,,,,,,,,
收到其他与经营活动有关的现金,"5,446,995.52","6,663,610.11","6,864,353.83","35,326,755.21","16,073,641.93","35,112,631.29","59,881,055.66","88,822,652.14","22,716,417.18","30,366,299.37","50,124,757.56"
投资活动现金流出小计,"680,647,559.24","1,246,600,155.25","1,747,314,769.19","1,012,022,949.52","671,676,886.28","1,082,619,364.51","1,487,793,917.76","2,217,803,842.55","313,165,468.26","485,499,388.13","727,772,887.05"
经营活动现金流入小计,"1,924,113,152.45","3,753,883,457.07","5,823,970,738.78","9,426,507,542.46","2,749,106,331.07","6,472,725,075.50","9,381,398,371.99","11,690,553,429.67","3,883,782,280.76","5,476,711,767.44","8,664,118,656.26"
投资活动产生的现金流量净额,"-680,647,559.24","-1,220,242,831.49","-1,720,957,445.43","-949,448,995.52","-671,000,866.28","-1,064,752,480.41","-1,469,927,033.66","-2,196,507,073.07","-313,165,468.26","-449,171,802.25","-688,854,288.95"
购买商品、接受劳务支付的现金,"1,663,360,164.38","2,980,411,810.00","4,493,462,538.11","6,892,619,809.88","3,179,611,498.03","6,854,464,935.34","9,279,805,670.37","11,534,088,955.52","979,010,835.86","4,069,223,268.76","11,556,439,411.05"
吸收投资收到的现金,,,,,,,"2,483,100,000.00",,,"29,200,000.00","29,200,000.00"
支付给职工以及为职工支付的现金,"168,645,337.01","366,343,563.60","507,044,452.42","675,548,508.62","212,737,795.66","440,242,656.59","704,729,933.95","850,877,877.94","196,295,516.80","344,542,502.56","569,001,298.20"
取得借款收到的现金,"1,768,600,000.00","2,921,100,000.00","4,373,100,000.00","5,939,100,000.00","1,347,200,000.00","3,217,200,000.00","4,422,200,000.00","5,764,200,000.00","2,459,500,000.00","7,525,700,000.00","11,195,200,000.00"
支付的各项税费,"186,776,229.11","391,807,440.34","608,495,578.17","781,768,532.44","300,929,577.14","347,945,648.61","451,718,137.42","478,804,706.14","159,751,210.41","303,082,559.28","312,524,842.50"
收到其他与筹资活动有关的现金,,,,,"2,483,100,000.00","1,050,000,000.00","1,350,000,000.00","1,350,000,000.00","650,000,000.00","650,000,000.00","650,000,000.00"
支付其他与经营活动有关的现金,"5,566,483.21","7,668,016.07","7,779,984.49","85,726,431.74","5,735,239.04","67,350,506.48","80,017,188.04","117,687,439.87","7,386,757.78","51,832,464.85","57,365,743.78"
筹资活动现金流入小计,"1,768,600,000.00","2,921,100,000.00","4,373,100,000.00","5,939,100,000.00","3,830,300,000.00","6,750,300,000.00","8,255,300,000.00","9,597,300,000.00","3,109,500,000.00","8,204,900,000.00","11,874,400,000.00"
经营活动现金流出小计,"2,024,348,213.71","3,746,230,830.01","5,616,782,553.19","8,435,663,282.68","3,699,014,109.87","7,710,003,747.02","10,516,270,929.78","12,981,458,979.47","1,342,444,320.85","4,768,680,795.45","12,495,331,295.53"
偿还债务支付的现金,"756,600,000.00","1,516,100,000.00","2,854,700,000.00","4,584,500,000.00","1,577,200,000.00","2,677,200,000.00","4,167,200,000.00","5,049,200,000.00","2,527,200,000.00","5,922,700,000.00","7,432,200,000.00"
经营活动产生的现金流量净额,"-100,235,061.26","7,652,627.06","207,188,185.59","990,844,259.78","-949,907,778.80","-1,237,278,671.52","-1,134,872,557.79","-1,290,905,549.80","2,541,337,959.91","708,030,971.99","-3,831,212,639.27"
分配股利、利润或偿还利息支付的现金,"60,930,914.04","160,395,386.84","342,251,134.54","560,888,090.23","105,682,022.87","291,917,753.99","518,031,374.62","566,388,639.52","293,208,023.06","406,521,274.52","557,851,439.93"
收回投资收到的现金,,"22,171,731.12","22,171,731.12","27,661,137.77",,,,,,,
支付其他与筹资活动有关的现金,,,,,"453,000.00","271,533,901.95","383,062,256.93","429,094,650.20","118,775,545.36","232,558,575.96","341,970,606.56"
取得投资收益收到的现金,,,,"16,624,520.23","676,020.00","676,020.00","676,020.00","801,990.00",,"6,199,368.23","8,790,380.45"
