科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"529,026,987.01","666,762,934.85","533,521,664.41","234,030,760.22",,"520,285,988.46","155,801,153.87","314,779,509.06","504,584,286.07","715,439,045.81","220,016,615.46","465,052,577.71"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"20,467,087.47",,
收到的税费返还,"2,147,790.31","3,610,472.60","6,287,976.78","2,671,754.89",,"4,491,500.80","1,914,414.68","1,914,414.68","2,669,719.20","4,766,254.38","2,643,669.99","5,239,462.37"
支付其他与投资活动有关的现金,,,,,,,,,,,,
收到其他与经营活动有关的现金,"6,735,215.01","3,906,244.45","2,537,703.73","5,941,871.27",,"6,830,132.33","3,615,451.55","7,839,127.91","9,734,019.78","14,758,918.66","3,018,544.75","7,438,520.87"
投资活动现金流出小计,"55,035,245.87","93,948,535.81","451,683,853.11","237,144,380.63",,"395,673,118.22","157,539,350.28","340,714,262.50","423,974,210.05","900,328,401.89","228,242,756.22","466,419,840.47"
经营活动现金流入小计,"537,909,992.33","674,279,651.90","542,347,344.92","242,644,386.38",,"531,607,621.59","161,331,020.10","324,533,051.65","516,988,025.05","734,964,218.85","225,678,830.20","477,730,560.95"
投资活动产生的现金流量净额,"-53,352,640.47","-30,211,433.09","-16,000,640.33","-7,736,008.82","-44,962,084.63","-13,740,005.09","-14,269,431.20","-55,194,110.52","-16,309,202.18","-224,709,130.61","62,414,250.86","48,966,271.90"
购买商品、接受劳务支付的现金,"360,750,514.60","472,358,083.17","399,099,398.02","171,065,549.25",,"373,758,241.76","141,928,694.16","260,704,784.68","403,086,028.77","536,600,012.62","202,127,288.48","379,250,849.25"
吸收投资收到的现金,,,,,,,"264,013,621.86","267,800,000.00","267,800,000.00","267,800,000.00",,"15,995,860.00"
支付给职工以及为职工支付的现金,"38,472,767.39","45,049,065.02","50,441,355.41","30,672,239.17",,"58,638,110.09","20,285,499.97","35,831,795.18","52,806,788.70","70,359,011.02","26,354,266.24","44,910,412.45"
取得借款收到的现金,"91,000,000.00","50,000,000.00","120,000,000.00","63,866,880.00",,"63,866,880.00",,,,,,"47,566,666.67"
支付的各项税费,"40,856,011.33","23,736,834.03","34,137,221.00","9,943,640.55",,"30,553,659.35","6,228,135.08","20,797,577.50","28,599,828.42","34,295,351.93","8,737,117.01","29,243,053.40"
收到其他与筹资活动有关的现金,,,,,,,,,,,,
支付其他与经营活动有关的现金,"34,540,755.56","47,512,499.70","37,306,969.26","22,971,664.91",,"37,984,525.66","16,712,785.92","24,870,445.74","34,970,568.78","57,287,943.93","14,029,122.44","26,541,526.03"
筹资活动现金流入小计,"91,000,000.00","50,000,000.00","120,000,000.00","63,866,880.00",,"63,866,880.00","264,013,621.86","267,800,000.00","267,800,000.00","267,800,000.00",,"63,562,526.67"
经营活动现金流出小计,"474,620,048.88","588,656,481.92","520,984,943.69","234,653,093.88",,"500,934,536.86","185,155,115.13","342,204,603.10","519,463,214.67","698,542,319.50","251,247,794.17","479,945,841.13"
偿还债务支付的现金,"117,000,000.00","65,000,000.00","40,000,000.00","80,000,000.00",,"144,172,160.00",,,,,"10,000,000.00","10,000,000.00"
经营活动产生的现金流量净额,"63,289,943.45","85,623,169.98","21,362,401.23","7,991,292.50","8,480,538.27","30,673,084.73","-23,824,095.03","-17,671,551.45","-2,475,189.62","36,421,899.35","-25,568,963.97","-2,215,280.18"
分配股利、利润或偿还利息支付的现金,"3,554,546.46","11,436,450.00","10,831,208.34","965,500.01",,"16,742,725.73","356,249.99","15,906,163.06","17,091,638.00","17,579,001.19","462,829.43","13,814,356.10"
收回投资收到的现金,,"62,900,000.00","434,500,000.00","227,800,000.00",,"378,900,000.00","143,100,000.00","285,200,000.00","406,800,000.00","674,500,000.00","290,364,510.00","514,500,000.00"
支付其他与筹资活动有关的现金,,,,,,,,"5,532,850.59","6,947,944.93","6,947,944.93",,
取得投资收益收到的现金,,"328,767.12","1,154,951.00","498,565.98",,"888,643.52","65,986.17","205,046.80","744,999.78","1,000,521.58","292,497.08","868,275.17"
筹资活动现金流出小计,"120,554,546.46","76,436,450.00","50,831,208.34","80,965,500.01",,"160,914,885.73","356,249.99","21,439,013.65","24,039,582.93","24,526,946.12","10,462,829.43","23,814,356.10"
处置固定资产、无形资产和其他长期资产收回的现金净额,"55,820.00",,"28,261.78","1,109,805.83",,"2,144,469.61","103,932.91","115,105.18","120,008.09","118,749.70",,"17,837.20"
筹资活动产生的现金流量净额,"-29,554,546.46","-26,436,450.00","69,168,791.66","-17,098,620.01","-85,454,676.86","-97,048,005.73","263,657,371.87","246,360,986.35","243,760,417.07","243,273,053.88","-10,462,829.43","39,748,170.57"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,"-939,234.89","870,755.28","3,278,677.77","857,146.61","1,622,222.37","3,731,892.56","-371,530.53","-1,782,402.18","-3,182,291.89","-2,658,429.53","-3,378,268.94","2,420,994.59"
收到其他与投资活动有关的现金,"1,626,785.40","508,335.60",,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"1,682,605.40","63,737,102.72","435,683,212.78","229,408,371.81",,"381,933,113.13","143,269,919.08","285,520,151.98","407,665,007.87","675,619,271.28","290,657,007.08","515,386,112.37"
五、现金及现金等价物净增加额,"-20,556,478.37","29,846,042.17","77,809,230.33","-15,986,189.72","-120,314,000.85","-76,383,033.53","225,192,315.11","171,712,922.20","221,793,733.38","52,327,393.09","23,004,188.52","88,920,156.88"
购建固定资产、无形资产和其他长期资产支付的现金,"52,035,245.87","34,048,535.81","17,183,853.11","9,344,380.63",,"16,773,118.22","4,839,350.28","5,914,262.50","7,574,210.05","16,961,314.42","8,442,756.22","40,119,840.47"
期初现金及现金等价物余额,"93,875,866.65","73,319,388.28","103,165,430.45","180,974,660.78",,"180,974,660.78","104,591,627.25","104,591,627.25","104,591,627.25","104,591,627.25","156,919,020.34","156,919,020.34"
投资支付的现金,"3,000,000.00","59,900,000.00","434,500,000.00","227,800,000.00",,"378,900,000.00","152,700,000.00","334,800,000.00","416,400,000.00","862,900,000.00","219,800,000.00","426,300,000.00"
期末现金及现金等价物余额,"73,319,388.28","103,165,430.45","180,974,660.78","164,988,471.06",,"104,591,627.25","329,783,942.36","276,304,549.45","326,385,360.63","156,919,020.34","179,923,208.86","245,839,177.22"
