科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
资产减值损失,"1,520,502.80","2,022,327.66","5,491,187.33","-289,488.67","4,949,972.28","-1,126,937.91","2,277,765.64","3,764,532.20","7,858,583.08","160,732.94","4,538,751.26","5,782,101.42","15,770,493.05","-1,004,255.05","7,343,811.89","3,899,578.74","14,128,859.67","878,382.66","5,470,066.67","9,500,621.68","406,781,201.10"
减:所得税,"2,348,214.40","-603,119.41","6,351,495.19","-738,735.99","2,964,486.37","173,498.78","-419,853.39","-202,441.16","5,549,750.21","2,603,584.19","3,154,122.58","5,361,224.30","11,593,703.47","1,902,945.05","4,755,950.29","11,678,908.68","14,532,093.09","638,787.05","-321,277.09","-217,180.79","7,929,545.73"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,
投资收益,"-151,660.15","25,320.50","-178,618.03","-58,131.21","101,152.06",,"-227,683.40","-227,683.40","9,350.64",,,"75,340.95","32,449.72",,"215,130.70","215,130.70","197,236.06",,"-5,061.64","-5,061.64","-3,955,010.76"
四、净利润,"29,307,557.85","39,053,097.92","40,020,524.15","14,000,762.78","45,475,926.05","-14,824,939.31","-3,114,453.47","6,781,218.89","57,116,020.86","-5,896,832.04","6,869,304.24","17,631,617.31","70,686,419.86","3,303,604.55","13,019,976.70","45,042,374.84","111,363,644.76","3,114,364.01","7,464,861.95","38,033,487.31","-307,286,709.04"
其中:对联营企业和合营企业的投资权益,"-151,660.15","25,320.50","-178,618.03","-58,131.21","101,152.06",,"-227,683.40","-227,683.40","9,350.64",,,,"-38,417.74",,,,"-17,894.64",,,"-5,061.64","-3,955,010.76"
归属于母公司所有者的净利润,"29,307,557.85","39,053,097.92","40,020,524.15","14,000,762.78","45,475,926.05","-14,824,939.31","-3,114,453.47","6,781,218.89","57,116,020.86","-5,896,832.04","6,869,304.24","17,631,617.31","70,686,419.86","3,303,604.55","13,019,976.70","45,042,374.84","111,363,644.76","3,114,364.01","7,464,861.95","38,033,487.31","-307,286,709.04"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,,,,,,,
