科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"304,384,965.77","340,876,148.04","258,458,929.73","115,625,721.60","186,937,591.01","257,526,998.58","47,923,175.84","119,659,290.43","172,489,775.48","269,311,375.62","38,681,827.34","87,618,417.42"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,
支付其他与投资活动有关的现金,"470,000,000.00","283,000,000.00","221,000,000.00",,,,,,"40,000,000.00","55,000,000.00","20,000,000.00","20,000,000.00"
收到其他与经营活动有关的现金,"20,893,153.56","21,750,708.45","16,511,995.77","2,619,295.36","4,159,101.94","5,846,464.87","622,251.58","2,964,156.16","4,985,056.87","6,543,747.56","5,961,726.62","10,913,881.90"
投资活动现金流出小计,"530,941,110.12","382,354,921.37","387,657,587.79","34,720,032.85","36,124,680.75","105,230,716.93","36,458,350.23","54,166,710.23","93,320,054.19","110,720,442.94","20,309,425.34","20,609,487.34"
经营活动现金流入小计,"325,278,119.33","362,626,856.49","274,970,925.50","118,245,016.96","191,096,692.95","263,373,463.45","48,545,427.42","122,623,446.59","177,474,832.35","275,855,123.18","44,643,553.96","98,532,299.32"
投资活动产生的现金流量净额,"-58,004,394.82","-76,551,733.30","-166,382,395.53","-34,720,032.85","-36,124,680.75","-105,230,716.93","-36,458,350.23","-53,626,710.23","-72,576,077.40","-54,777,109.99","-20,309,425.34","13,750.53"
购买商品、接受劳务支付的现金,"223,785,109.03","257,544,803.63","171,526,278.19","85,957,184.89","121,107,871.15","155,941,487.24","38,921,143.58","91,680,990.63","135,388,512.34","179,844,170.47","43,391,722.86","72,291,860.98"
吸收投资收到的现金,"117,800,002.00",,,,"259,578,800.00","259,578,800.00",,,,,,
支付给职工以及为职工支付的现金,"14,651,910.39","16,401,789.66","20,706,187.08","10,210,006.43","15,875,368.68","21,307,116.70","5,619,139.82","10,409,338.59","16,684,832.23","22,745,493.53","7,145,601.77","11,715,421.46"
取得借款收到的现金,"80,000,000.00",,"270,000,000.00",,,,,,,,,
支付的各项税费,"28,348,543.84","30,965,568.56","35,147,759.26","18,374,962.66","29,412,649.47","41,161,415.15","5,949,594.81","15,621,972.68","24,234,049.37","31,227,880.62","5,184,219.87","14,578,998.91"
收到其他与筹资活动有关的现金,,"10,000,000.00",,,,,,,,,,
支付其他与经营活动有关的现金,"22,575,090.63","18,706,700.54","16,989,197.11","12,930,690.10","25,031,221.37","31,828,019.94","6,648,896.14","20,261,133.85","31,920,760.34","44,091,358.76","8,432,607.19","24,646,212.50"
筹资活动现金流入小计,"197,800,002.00","10,000,000.00","270,000,000.00",,"259,578,800.00","259,578,800.00",,,,,,
经营活动现金流出小计,"289,360,653.89","323,618,862.39","244,369,421.64","127,472,844.08","191,427,110.67","250,238,039.03","57,138,774.35","137,973,435.75","208,228,154.28","277,908,903.38","64,154,151.69","123,232,493.85"
偿还债务支付的现金,"50,000,000.00",,"150,000,000.00","20,000,000.00","20,000,000.00","170,000,000.00",,,,,,
经营活动产生的现金流量净额,"35,917,465.44","39,007,994.10","30,601,503.86","-9,227,827.12","-330,417.72","13,135,424.42","-8,593,346.93","-15,349,989.16","-30,753,321.93","-2,053,780.20","-19,510,597.73","-24,700,194.53"
分配股利、利润或偿还利息支付的现金,"12,419,305.56","19,494,444.45","25,703,856.25","4,563,093.74","6,537,260.41","7,316,583.33",,"8,667,000.00","8,667,000.00","8,667,000.00",,"4,032,139.42"
收回投资收到的现金,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"1,240,000.00","2,160,000.00","300,000.00","3,545,000.00","3,671,085.00","7,906,685.00","218,500.00","218,500.00","218,500.00","218,500.00",,
取得投资收益收到的现金,"2,936,715.30","803,188.07","275,192.26",,,,,"540,000.00","632,054.79","831,410.95",,"623,237.87"
筹资活动现金流出小计,"63,659,305.56","21,654,444.45","176,003,856.25","28,108,093.74","30,208,345.41","185,223,268.33","218,500.00","8,885,500.00","8,885,500.00","8,885,500.00",,"4,032,139.42"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,"111,922.00","111,922.00",,
筹资活动产生的现金流量净额,"134,140,696.44","-11,654,444.45","93,996,143.75","-28,108,093.74","229,370,454.59","74,355,531.67","-218,500.00","-8,885,500.00","-8,885,500.00","-8,885,500.00",,"-4,032,139.42"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,
收到其他与投资活动有关的现金,"470,000,000.00","305,000,000.00","221,000,000.00",,,,,,"20,000,000.00","55,000,000.00",,"20,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"472,936,715.30","305,803,188.07","221,275,192.26",,,,,"540,000.00","20,743,976.79","55,943,332.95",,"20,623,237.87"
五、现金及现金等价物净增加额,"112,053,767.06","-49,198,183.65","-41,784,747.92","-72,055,953.71","192,915,356.12","-17,739,760.84","-45,270,197.16","-77,862,199.39","-112,214,899.33","-65,716,390.19","-39,820,023.07","-28,718,583.42"
