科目,2010年度,2011年1-6月,2011年度,2012年1-6月,2012年度,2013年1-6月,2013年度,2015年度
销售商品、提供劳务收到的现金,,,,,,,,"2,495,100.00"
取得子公司及其他营业单位支付的现金净额,,,,,,,,
收到的税费返还,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,
收到其他与经营活动有关的现金,"1,034,806.06","262,112.55","524,781.71","560,587.88","1,005,449.38","619,115.35","1,439,382.98","201,223.35"
投资活动现金流出小计,"16,080.00",,,,"3,900.00","3,900.00","10,770.00","1,011,460.00"
经营活动现金流入小计,"1,034,806.06","262,112.55","524,781.71","560,587.88","1,005,449.38","619,115.35","1,439,382.98","2,696,323.35"
投资活动产生的现金流量净额,"-16,080.00",,,,"-3,900.00","-3,900.00","-10,770.00","-1,011,460.00"
购买商品、接受劳务支付的现金,,,,,,,,"889,544.48"
吸收投资收到的现金,,,,,,,,"43,762,097.38"
支付给职工以及为职工支付的现金,"250,945.00","68,400.00","172,656.24","96,000.00","255,533.90","137,460.14","304,639.74","4,555,439.92"
取得借款收到的现金,,,,,,,,
支付的各项税费,,,,,,,,"350,652.54"
收到其他与筹资活动有关的现金,,,,,,,,
支付其他与经营活动有关的现金,"744,641.34","194,601.83","371,009.03","398,748.74","722,652.56","461,150.59","1,100,430.88","42,439,199.34"
筹资活动现金流入小计,,,,,,,,"43,762,097.38"
经营活动现金流出小计,"995,586.34","263,001.83","543,665.27","494,748.74","978,186.46","598,610.73","1,405,070.62","48,234,836.28"
偿还债务支付的现金,,,,,,,,
经营活动产生的现金流量净额,"39,219.72",-889.28,"-18,883.56","65,839.14","27,262.92","20,504.62","34,312.36","-45,538,512.93"
分配股利、利润或偿还利息支付的现金,,,,,,,,
收回投资收到的现金,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,,
取得投资收益收到的现金,,,,,,,,
筹资活动现金流出小计,,,,,,,,
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,
筹资活动产生的现金流量净额,,,,,,,,"43,762,097.38"
处置子公司及其他营业单位收到的现金净额,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,
投资活动现金流入小计,,,,,,,,
五、现金及现金等价物净增加额,"23,139.72",-889.28,"-18,883.56","65,839.14","23,362.92","17,924.62","23,542.36","-2,787,875.55"
购建固定资产、无形资产和其他长期资产支付的现金,"16,080.00",,,,"3,900.00","3,900.00","10,770.00","11,460.00"
期初现金及现金等价物余额,"16,095,991.01","16,119,130.73","119,130.73","100,247.17","100,247.17","123,610.09","123,610.09","5,268,551.26"
投资支付的现金,,,,,,,,"1,000,000.00"
期末现金及现金等价物余额,"16,119,130.73","16,118,241.45","100,247.17","166,086.31","123,610.09","141,534.71","147,152.45","2,480,675.71"
