科目,2010年度,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,"1,302,709,028.00","7,199,473,507.00","12,298,367,035.00","28,310,027,824.00","46,486,607,400.00","33,798,675,454.00","53,864,773,092.00","54,478,030,096.00","6,074,687,123.00","28,086,164,004.00","36,008,815,583.00","45,865,112,618.00","14,888,123,486.00","41,756,115,327.00","26,857,870,375.00","58,034,614,468.00","2,190,220,993.00","14,525,237,051.00","28,977,082,664.00","35,911,901,247.00","10,897,971,085.00"
客户存款和同业存放款项净增加额,,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,"122,985,620.00","193,926,881.00","133,891,581.00","1,655,159,390.00","987,975,669.00","194,985,723.00","515,534,765.00","1,035,221,507.00","697,795,483.00","771,552,249.00","856,241,305.00","1,281,698,904.00","278,726,394.00","491,047,961.00","877,232,235.00","988,221,168.00","185,131,573.00","699,999,316.00","1,450,547,124.00","2,471,134,092.00","591,052,758.00"
向中央银行借款净增加额,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"20,092,383.00","89,813,248.00","43,903,332.00","5,724,728,690.00","59,139,632.00","9,088,330.00","15,073,769.00","3,022,031,256.00",,"28,819,941.00","31,680,421.00","34,649,691.00",,"1,062,124,257.00","1,064,917,990.00","1,121,694,635.00",,,,"161,295,838.00",
向其他金融机构拆入资金净增加额,,,,,,,,,,,,,,"2,850,000,000.00","3,000,000,000.00","2,900,000,000.00","800,000,000.00",,,,
投资活动现金流入小计,"1,445,787,031.00","7,483,213,636.00","12,476,161,948.00","35,689,915,904.00","47,533,722,701.00","34,002,749,507.00","54,395,381,626.00","58,535,282,859.00","6,772,482,606.00","28,886,536,194.00","36,896,737,309.00","47,181,461,213.00","15,166,849,880.00","43,309,287,545.00","28,800,020,600.00","60,144,530,271.00","2,379,658,238.00","15,236,172,216.00","30,441,128,672.00","38,579,168,174.00","11,548,053,316.00"
收取利息、手续费及佣金的现金,"8,299,763,231.00","7,824,687,304.00","11,858,608,728.00","18,576,482,968.00","4,685,737,486.00","22,759,841,431.00","32,086,183,228.00","43,159,988,710.00","8,007,335,610.00","14,930,508,369.00","20,796,770,895.00","29,803,901,992.00","6,338,508,301.00","12,912,431,034.00","19,649,041,265.00","27,507,325,623.00","6,691,059,824.00","13,733,534,616.00","19,217,035,004.00","25,149,783,308.00","6,232,846,169.00"
投资支付的现金,"4,268,146,729.00","13,354,285,912.00","14,631,181,847.00","36,270,366,463.00","46,288,157,172.00","34,808,994,700.00","75,399,322,824.00","78,292,082,813.00","12,495,500,272.00","33,119,161,032.00","38,772,731,847.00","48,112,474,674.00","6,759,623,522.00","32,760,552,939.00","23,846,024,452.00","52,704,831,271.00","8,719,163,683.00","31,594,256,411.00","44,191,227,130.00","62,821,011,857.00","7,805,051,865.00"
处置交易性金融资产净增加额,,,,,,"3,503,767,335.00",,,,"1,619,993,094.00","15,372,885,081.00",,"804,965,810.00",,,,,"7,460,288,955.00",,"10,154,546,967.00",
质押贷款净增加额,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额,,,,,,,,,,,,,,"2,850,000,000.00","3,000,000,000.00","2,900,000,000.00","800,000,000.00","50,000,000.00",,"2,550,000,000.00",
购建固定资产、无形资产和其他长期资产支付的现金,"1,216,351,596.00","272,737,555.00","648,523,518.00","1,187,684,364.00","202,724,787.00","263,534,443.00","438,300,881.00","595,882,967.00","165,650,361.00","269,407,278.00","285,343,925.00","677,524,422.00","161,507,909.00","352,264,166.00","529,136,637.00","897,901,912.00","151,988,205.00","364,527,829.00","391,491,571.00","918,349,481.00","712,117,426.00"
回购业务资金净增加额,,"6,910,709,111.00","2,011,806,882.00","37,769,225,209.00","11,465,098,729.00","29,359,799,879.00","7,037,579,095.00",,,,,,,,,,"5,384,476,209.00","24,700,791,133.00","42,503,410,698.00","64,590,545,899.00","14,425,487,079.00"
支付其他与投资活动有关的现金,,,,,,"2,498,846,516.00","2,846,805,038.00","2,498,846,516.00",,"184,354,559.00","220,890,189.00","184,354,559.00",,"1,595,315.00","1,595,315.00","50,632,452.00","76,323,201.00","66,740,418.00","66,740,418.00","66,740,418.00",
销售商品、提供劳务收到的现金,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计,"5,484,498,325.00","13,627,023,467.00","15,279,705,365.00","37,458,050,827.00","46,490,881,959.00","37,571,375,659.00","78,684,428,743.00","81,386,812,296.00","12,661,150,633.00","33,572,922,869.00","39,278,965,961.00","48,974,353,655.00","6,921,131,431.00","33,114,412,420.00","24,376,756,404.00","53,653,365,635.00","8,947,475,089.00","32,025,524,658.00","44,649,459,119.00","63,806,101,756.00","8,517,169,291.00"
收到的税费返还,,,,,,,,,,,,,,,,,,,,,
投资活动产生的现金流量净额,"-4,038,711,294.00","-6,143,809,831.00","-2,803,543,417.00","-1,768,134,923.00","1,042,840,742.00","-3,568,626,152.00","-24,289,047,117.00","-22,851,529,437.00","-5,888,668,027.00","-4,686,386,675.00","-2,382,228,652.00","-1,792,892,442.00","8,245,718,449.00","10,194,875,125.00","4,423,264,196.00","6,491,164,636.00","-6,567,816,851.00","-16,789,352,442.00","-14,208,330,447.00","-25,226,933,582.00","3,030,884,025.00"
收到原保险合同保费取得的现金,,,,,,,,,,,,,,,,,,,,,
三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,
收到再保业务现金净额,,,,,,,,,,,,,,,,,,,,,
吸收投资收到的现金,"1,450,855,482.00","583,451,096.00","17,150,000.00","1,080,367,107.00","5,006,798,186.00","39,663,274,079.00","40,057,750,000.00","39,663,274,079.00",,"1,160,286,935.00","3,159,920,386.00","3,150,020,427.00",,"15,301,492,885.00","15,301,492,885.00","22,301,492,885.00",,"1,629,634,209.00","1,629,634,209.00","1,629,634,209.00",
保户储金及投资款净增加额,,,,,,,,,,,,,,,,,,,,,
发行债券收到的现金,,"10,000,000,000.00","40,135,850,213.00","62,669,857,129.00","9,281,795,773.00","57,293,218,300.00","57,957,096,929.00","67,843,887,643.00","3,226,480,000.00","15,929,243,940.00","41,156,927,561.00","70,352,425,233.00","15,717,125,753.00","23,471,141,897.00","56,026,285,605.00","81,788,052,195.00","22,630,359,186.00","39,284,845,275.00","46,451,360,595.00","49,495,777,047.00","16,977,743,373.00"
收到其他与经营活动有关的现金,"4,554,530,428.00","6,258,085,542.00","7,376,647,632.00","58,438,167,262.00","41,524,953,994.00","149,944,628,476.00","97,710,986,039.00","53,889,520,618.00","28,414,356,231.00","30,755,662,361.00","30,450,713,954.00","55,789,978,152.00","3,669,866,857.00","16,917,775,283.00","12,440,845,330.00","14,164,154,757.00","27,666,682,664.00","22,897,770,987.00","18,015,227,114.00","14,449,032,171.00","2,534,453,082.00"
取得借款收到的现金,,"5,217,854,805.00","29,111,704,808.00","56,578,883,268.00","11,108,491,970.00","43,158,570,922.00","45,020,943,110.00","65,073,456,534.00","7,665,004,019.00","12,175,941,551.00","27,112,976,262.00","35,376,370,829.00",,"12,996,757,268.00","23,800,907,962.00","72,594,512,813.00","8,015,531,930.00","32,644,575,431.00","42,327,542,769.00","53,210,211,809.00",
经营活动现金流入小计,"12,854,293,659.00","22,102,659,909.00","21,577,061,477.00","118,551,695,336.00","57,675,790,209.00","205,568,037,121.00","136,834,748,362.00","97,049,509,328.00","36,421,691,841.00","47,306,163,824.00","66,620,369,930.00","85,593,880,144.00","10,813,340,968.00","32,680,206,317.00","35,089,886,595.00","44,571,480,380.00","40,542,218,697.00","68,842,385,691.00","95,568,134,242.00","138,158,143,199.00","57,646,508,759.00"
收到其他与筹资活动有关的现金,,"600,000,000.00",,,,"394,475,921.00","475,000,000.00","394,475,921.00",,,,,,,,,,,,,
客户贷款及垫款净增加额,,,,,,,,,,,,,,,,,,,,,
