科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"9,775,287,000.00","11,027,122,000.00","12,403,939,000.00","6,802,983,000.00","10,720,246,000.00","13,732,844,000.00","3,254,177,000.00","6,582,674,000.00","10,207,837,000.00","14,121,518,000.00","4,180,696,000.00","8,318,998,000.00","12,750,995,000.00","17,054,256,000.00","5,294,379,000.00"
提取保险责任准备金,,,,,,,,,,,,,,,
利息净收入,"9,157,682,000.00","9,295,571,000.00","11,037,416,000.00","6,037,757,000.00","8,835,665,000.00","11,696,800,000.00","2,876,952,000.00","5,911,170,000.00","9,190,234,000.00","12,267,309,000.00","3,504,340,000.00","6,930,963,000.00","10,657,464,000.00","13,992,376,000.00","3,700,437,000.00"
减：摊回保险责任准备金,,,,,,,,,,,,,,,
利息收入,"17,201,573,000.00","20,444,139,000.00","25,243,838,000.00","12,289,666,000.00","18,332,333,000.00","24,676,736,000.00","6,904,452,000.00","14,509,698,000.00","22,748,311,000.00","31,314,403,000.00","9,137,036,000.00","18,051,042,000.00","27,199,016,000.00","36,547,993,000.00","9,372,481,000.00"
保单红利支出,,,,,,,,,,,,,,,
利息支出,"8,043,891,000.00","11,148,568,000.00","14,206,422,000.00","6,251,909,000.00","9,496,668,000.00","12,979,936,000.00","4,027,500,000.00","8,598,528,000.00","13,558,077,000.00","19,047,094,000.00","5,632,696,000.00","11,120,079,000.00","16,541,552,000.00","22,555,617,000.00","5,672,044,000.00"
分保费用,,,,,,,,,,,,,,,
手续费及佣金净收入,"1,080,368,000.00","1,328,335,000.00","1,189,337,000.00","904,175,000.00","1,576,227,000.00","2,063,296,000.00","403,082,000.00","740,743,000.00","1,165,068,000.00","1,616,873,000.00","285,247,000.00","555,968,000.00","887,622,000.00","1,183,091,000.00","306,256,000.00"
营业税金及附加,"778,521,000.00","846,519,000.00","881,575,000.00","284,694,000.00","317,181,000.00","353,284,000.00","28,909,000.00","67,556,000.00","95,085,000.00","123,502,000.00","32,450,000.00","59,481,000.00","89,872,000.00","131,222,000.00","39,600,000.00"
手续费及佣金收入,"1,249,680,000.00","1,665,892,000.00","1,459,678,000.00","1,012,806,000.00","1,725,274,000.00","2,297,317,000.00","438,312,000.00","801,537,000.00","1,253,788,000.00","1,762,746,000.00","334,835,000.00","659,585,000.00","1,034,524,000.00","1,363,296,000.00","353,047,000.00"
手续费及佣金支出2,,,,,,,,,,,,,,,
手续费及佣金支出,"169,312,000.00","337,557,000.00","270,341,000.00","108,631,000.00","149,047,000.00","234,021,000.00","35,230,000.00","60,794,000.00","88,720,000.00","145,873,000.00","49,588,000.00","103,617,000.00","146,902,000.00","180,205,000.00","46,791,000.00"
业务及管理费,"3,225,420,000.00","3,407,126,000.00","3,911,478,000.00","1,922,125,000.00","3,075,554,000.00","4,151,412,000.00","738,261,000.00","1,998,013,000.00","3,204,987,000.00","4,482,257,000.00","1,050,879,000.00","2,326,290,000.00","3,600,731,000.00","5,101,273,000.00","1,282,173,000.00"
其中：代理买卖证券业务净收入,,,,,,,,,,,,,,,
减：摊回分保费用,,,,,,,,,,,,,,,
