科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"305,188,294.44","268,029,537.97","278,889,003.82","56,467,856.86","124,666,056.73","190,978,736.21","266,136,109.11","57,120,505.61","127,805,875.83","187,037,116.25","258,743,842.81","57,506,276.60","114,264,598.19","182,009,322.72","253,785,916.92"
二、营业利润,"69,640,693.33","58,013,807.53","62,358,547.57","11,791,665.06","27,358,425.40","42,270,527.43","59,050,629.67","10,429,412.95","22,321,969.21","33,414,314.85","45,605,583.33","11,459,353.76","20,014,204.71","30,958,364.92","47,918,288.30"
减:营业成本,"189,922,204.59","166,954,740.89","176,283,509.99","38,154,486.14","80,097,378.01",,"162,466,784.52","38,724,304.65","83,388,513.04","120,449,705.00","166,358,602.79","37,332,585.07","74,724,344.15","118,615,669.27","162,220,172.32"
加:补贴收入,,,,,,,,,,,,,,,
营业税金及附加,"2,511,073.99","2,097,788.20","2,363,721.76","482,835.59","1,033,384.75",,"2,332,980.38","279,193.97","1,005,881.42","1,412,738.81","2,587,865.89","788,637.91","1,717,007.23","2,621,519.56","3,699,658.64"
营业外收入,"3,310,400.00","3,005,100.00","5,253,051.00","1,268,000.00","1,273,000.00",,"3,675,000.00","209,976.73","209,976.73","1,416,562.19","1,418,562.19","550,000.00","555,975.00","555,975.00","400,092.15"
销售费用,"16,262,425.33","15,108,684.37","15,967,179.56","1,340,991.61","6,801,186.61",,"19,058,955.53","3,128,314.04","10,161,918.51","16,187,023.25","24,499,411.66","3,247,081.89","9,546,203.28","18,787,759.87","29,122,591.49"
减:营业外支出,"9,456.44","92,683.05","449,141.29","4,412.00","5,276.00",,"844,490.46",850.00,"1,420.00","71,612.00","94,967.03","8,410.93","93,771.65","134,598.23","134,773.23"
管理费用,"25,860,936.07","25,669,800.39","23,768,075.31","5,100,224.90","10,955,561.14",,"26,439,863.55","5,563,056.45","13,060,334.64","18,960,592.89","25,943,999.67","6,052,950.36","11,488,475.81","16,887,678.93","25,105,301.63"
其中:非流动资产处置净损失,,,,,,,805.00,,,,,,,,
堪探费用,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,
财务费用,"1,263,509.22","-45,192.66","-1,850,975.03","-544,803.56","-1,587,269.99",,"-3,269,794.15","-936,574.78","-1,632,009.94","-2,519,190.95","-5,032,580.89","-1,117,858.19","-2,109,752.07","-3,559,227.75","-6,431,479.38"
三、利润总额,"72,941,636.89","60,926,224.48","67,162,457.28","13,055,253.06","28,626,149.40","43,623,955.02","61,881,139.21","10,638,539.68","22,530,525.94","34,759,265.04","46,929,178.49","12,000,942.83","20,476,408.06","31,379,741.69","48,183,607.22"
资产减值损失,"-272,548.09","229,909.25","-1,055.34","142,457.12","7,390.81",,"56,689.61","174,935.32","167,241.56","60,973.50","-61,505.39","264,461.45","140,187.72","277,837.21","278,564.62"
减:所得税,"10,050,408.63","8,234,354.37","10,593,570.42","1,947,076.25","4,296,689.79",,"8,717,593.54","1,533,760.87","3,364,425.56","5,049,365.88","6,133,481.95","2,065,589.81","3,481,818.58","5,082,154.62","6,946,317.32"
加:公允价值变动净收益,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,
投资收益,,,,,,,,"242,136.99","667,972.61","929,041.10","1,157,534.25","520,935.65","1,256,072.64","2,580,279.29","7,223,106.05"
四、净利润,"62,891,228.26","52,691,870.11","56,568,886.86","11,108,176.81","24,329,459.61","37,134,955.52","53,163,545.67","9,104,778.81","19,166,100.38","29,709,899.16","40,795,696.54","9,935,353.02","16,994,589.48","26,297,587.07","41,237,289.90"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"62,891,228.26","52,691,870.11","56,568,886.86","11,108,176.81","24,329,459.61","37,134,955.52","53,163,545.67","9,104,778.81","19,166,100.38","29,709,899.16","40,795,696.54","9,935,353.02","16,994,589.48","26,297,587.07","41,237,289.90"
影响营业利润的其他科目,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,
