科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"1,478,766,217.17","1,602,009,610.49","1,821,555,496.60","666,378,122.94",,"2,009,355,615.45","205,495,381.34","732,871,568.55","1,150,907,507.01","2,293,163,287.69","244,079,019.51"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,"20,313,737.23","21,325,999.42","21,468,604.18",,,"3,108,863.48","27,373,297.27","28,712,132.37","29,276,162.64","59,740,438.86",
支付其他与投资活动有关的现金,"9,790,502.68","17,721,325.31","26,445,858.48","37,064,639.28",,"45,276,441.53","11,177.37","5,658,344.62","12,949,412.13","24,585,481.74","1,184,284.97"
收到其他与经营活动有关的现金,"50,539,838.71","47,059,884.17","87,525,578.19","32,918,562.20",,"76,719,312.61","11,218,373.56","54,574,394.43","79,354,306.37","173,111,269.46","24,325,780.70"
投资活动现金流出小计,"887,028,845.44","896,409,037.94","1,066,893,263.68","445,223,420.76",,"854,866,594.80","233,206,711.81","382,348,752.29","606,555,054.56","818,787,042.26","197,069,614.02"
经营活动现金流入小计,"1,549,619,793.11","1,670,395,494.08","1,930,549,678.97","699,296,685.14",,"2,089,183,791.54","244,087,052.17","816,158,095.35","1,259,537,976.02","2,526,014,996.01","268,404,800.21"
投资活动产生的现金流量净额,"-1,225,541.53","-13,527,614.64","-63,915,838.60","-125,243,776.82",,"-88,246,495.59","-103,613,428.61","-210,558,731.94","-281,814,069.79","-182,061,130.94","-25,018,244.54"
购买商品、接受劳务支付的现金,"945,202,743.29","1,052,601,025.08","1,159,390,057.77","528,021,698.31",,"1,239,228,110.54","282,787,861.20","623,540,183.24","905,518,042.00","1,449,454,110.27","325,656,445.74"
吸收投资收到的现金,,,,"4,041,532.00",,"4,041,532.00","849,120,000.00","849,120,000.00","849,120,000.00","849,120,000.00","1,670,000.00"
支付给职工以及为职工支付的现金,"170,273,991.95","189,541,963.22","229,835,174.24","123,940,350.09",,"245,402,841.96","93,661,911.56","158,431,143.96","228,646,933.90","303,122,853.05","113,506,141.08"
取得借款收到的现金,"14,895,065.57","8,000,000.00","10,000,000.00",,,,"6,298,164.74","7,000,000.00","7,000,000.00","7,000,000.00",
支付的各项税费,"70,266,713.92","67,441,293.02","84,538,210.44","31,283,031.47",,"94,661,291.55","14,829,865.90","32,449,826.32","45,268,761.01","85,680,528.86","17,801,937.32"
收到其他与筹资活动有关的现金,"26,436,813.00",,,,,,,,,,
