科目,2010年度,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"8,754,945,603.00","7,798,865,468.00","9,008,929,494.00","17,881,603,377.00","7,428,474,398.00","22,301,438,989.00","29,037,339,215.00","37,596,630,401.00","8,062,735,486.00","13,707,434,521.00","20,007,774,126.00","25,764,651,745.00","5,586,594,903.00","11,104,097,293.00","16,614,840,116.00"
提取保险责任准备金,,,,,,,,,,,,,,,
利息净收入,"1,032,434,566.00","1,397,730,017.00","1,454,931,583.00","2,152,560,835.00","1,063,398,366.00","3,022,388,238.00","4,439,389,258.00","5,433,783,044.00","1,068,661,263.00","2,176,893,979.00","3,488,946,522.00","4,554,630,276.00","1,388,419,300.00","2,859,242,573.00","4,313,534,075.00"
减：摊回保险责任准备金,,,,,,,,,,,,,,,
利息收入,,,,,,,,,,,,,,"5,930,887,391.00",
保单红利支出,,,,,,,,,,,,,,,
利息支出,,,,,,,,,,,,,,"3,071,644,818.00",
分保费用,,,,,,,,,,,,,,,
手续费及佣金净收入,"6,616,704,755.00","4,146,274,914.00","6,050,435,696.00","9,445,181,861.00","3,948,533,068.00","12,534,090,484.00","17,512,139,019.00","22,967,696,712.00","3,623,529,268.00","6,726,140,174.00","9,800,308,421.00","13,259,734,455.00","2,498,640,649.00","4,964,186,932.00","7,535,212,780.00"
营业税金及附加,"386,438,235.00","380,491,205.00","537,079,244.00","865,316,445.00","436,573,096.00","1,230,900,508.00","1,750,669,335.00","2,272,395,783.00","313,502,619.00","482,391,149.00","529,274,968.00","566,044,111.00","28,995,918.00","67,908,143.00","109,006,352.00"
手续费及佣金收入,,,,,,,,,,,,,,"5,947,006,833.00",
手续费及佣金支出2,,,,,,,,,,,,,,,
手续费及佣金支出,,,,,,,,,,,,,,"982,819,901.00",
业务及管理费,"2,912,536,012.00","4,226,811,938.00","4,531,333,134.00","7,427,923,409.00","2,724,822,141.00","7,108,099,161.00","9,859,922,404.00","12,822,052,736.00","2,682,986,729.00","5,126,774,270.00","7,511,559,831.00","9,747,685,893.00","2,179,492,745.00","4,683,086,034.00","6,953,950,084.00"
其中：代理买卖证券业务净收入,"5,303,906,033.00","2,767,878,236.00","4,304,616,578.00","6,782,024,483.00","3,721,071,144.00","10,459,639,401.00","13,661,448,440.00","17,640,782,292.00","2,035,380,544.00","3,733,534,635.00","5,456,617,091.00",,,,
减：摊回分保费用,,,,,,,,,,,,,,,
证券承销业务净收入,"724,058,119.00","909,990,057.00","899,556,928.00","1,514,642,749.00","332,913,230.00","1,102,120,873.00","1,701,518,547.00","3,061,517,446.00","959,962,671.00","1,565,667,519.00","2,390,982,587.00",,,,
