科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"294,218,604.58","296,835,262.18","365,710,363.14","50,072,900.00","176,721,114.12","240,777,751.04","449,817,897.70","74,661,508.78","200,241,755.81","266,557,096.96","527,433,146.18","93,097,596.91","240,605,632.44","352,415,321.82"
二、营业利润,"56,978,416.72","52,261,133.08","62,996,964.61","5,819,300.00","27,035,807.65","34,269,325.52","71,960,993.39","7,599,727.28","34,140,690.02","38,446,838.05","84,337,149.93","9,409,818.17","45,159,831.52","64,087,158.67"
减:营业成本,"149,798,269.27","150,244,393.92","197,412,364.25",,"100,126,592.05","130,335,899.44","255,822,902.33","45,544,436.60","107,876,131.71","140,614,781.51","295,670,802.77","55,940,857.91","122,518,100.79","177,644,725.51"
加:补贴收入,,,,,,,,,,,,,,
营业税金及附加,"6,876,936.76","5,203,787.58","2,483,660.70",,"1,127,138.10","1,712,981.25","3,011,351.51","255,080.16","752,484.12","1,192,895.29","4,440,066.98","389,899.23","1,751,872.90","2,578,394.17"
营业外收入,"2,216,604.68","5,112,350.00","4,913,265.75",,"3,150,342.36","3,164,742.36","3,636,584.25","488,047.05","1,400,874.46","7,548,999.29","10,450,901.96","570,499.83","1,545,896.83","2,431,327.85"
销售费用,"27,010,889.11","33,690,014.21","36,099,216.67",,"17,336,112.38","27,645,634.18","41,185,588.42","8,252,141.63","19,409,159.24","31,367,439.49","56,368,939.44","10,768,965.99","23,818,251.94","36,753,904.78"
减:营业外支出,"1,210,387.70","102,428.45",,,"29,556.93","29,556.93","29,535.40",,,"1,000,000.00","1,000,000.00",291.36,271.37,"606,839.07"
管理费用,"48,043,234.17","56,449,480.87","61,336,015.67",,"29,657,796.52","45,582,390.28","72,642,209.59","16,593,792.51","38,833,293.00","59,140,895.53","84,253,059.81","15,040,049.57","43,951,058.38","67,868,837.06"
其中:非流动资产处置净损失,"260,378.89",495.12,,,"9,535.40","9,535.40","9,535.40",,,,,271.37,271.37,"2,508.07"
堪探费用,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,
财务费用,"820,892.38","568,626.03","-482,502.80",,"-1,022,742.38","-1,256,649.78","-1,717,641.02","-978,248.95","-1,675,382.16","-2,953,349.43","-3,763,307.19","-755,255.09","-1,547,952.35","-2,394,731.76"
三、利润总额,"57,984,633.70","57,271,054.63","67,910,230.36","5,819,200.00","30,156,593.08","37,404,510.95","75,568,042.24","8,087,774.33","35,541,564.48","44,995,837.34","93,788,051.89","9,980,026.64","46,705,456.98","65,911,647.45"
资产减值损失,"4,045,689.78","4,527,396.65","7,012,958.19",,"1,283,639.26","1,815,660.30","4,839,990.66","-3,178,723.96","-823,172.85","-3,211,750.34","4,410,067.25","1,695,652.12","5,078,485.76","6,429,339.89"
减:所得税,"9,835,638.80","3,738,965.06","8,832,058.45",,"4,913,846.06","6,068,593.10","12,392,270.76","1,867,355.29","6,785,419.58","8,170,610.54","9,446,927.64","2,130,193.37","7,749,008.08","10,818,972.88"
加:公允价值变动净收益,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,
投资收益,"-644,276.39","6,109,570.16","1,148,314.15",,"-1,176,770.54","-672,509.85","-2,072,502.82","-573,303.51","-1,728,552.73","-1,959,346.86","-1,716,367.19","-607,609.01","-896,207.69","-976,198.09"
四、净利润,"48,148,994.90","53,532,089.57","59,078,171.91","5,031,700.00","25,242,747.02","31,335,917.85","63,175,771.48","6,220,419.04","28,756,144.90","36,825,226.80","84,341,124.25","7,849,833.27","38,956,448.90","55,092,674.57"
其中:对联营企业和合营企业的投资权益,"-644,276.39","-885,108.03","1,148,314.15",,"-1,176,770.54","-672,509.85","-2,072,502.82","-573,303.51","-1,728,552.73","-1,959,346.86","-1,716,367.19","-607,609.01","-896,207.69","-976,198.09"
归属于母公司所有者的净利润,"44,997,765.39","54,095,834.53","55,768,580.55","5,050,100.00","24,445,705.58","30,996,430.36","57,222,712.49","5,538,100.10","27,409,081.63","35,535,868.88","77,266,341.24","6,879,726.76","34,956,908.17","46,164,184.18"
影响营业利润的其他科目,,,,,,,,,,,,,,
少数股东损益,"3,151,229.51","-563,744.96","3,309,591.36",,"797,041.44","339,487.49","5,953,058.99","682,318.94","1,347,063.27","1,289,357.92","7,074,783.01","970,106.51","3,999,540.73","8,928,490.39"
