科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"284,755,713.29","312,573,539.76","353,685,579.00","180,771,071.29","287,016,980.24","380,852,522.37","57,770,988.61","203,209,180.06","322,441,344.17","424,654,983.65","81,241,502.93","222,981,322.53","345,770,225.91","460,269,487.16","90,565,044.09"
二、营业利润,"42,165,352.15","50,588,180.47","54,026,808.46","27,910,143.26","44,058,543.82","55,367,150.75","4,559,951.33","29,658,927.24","47,131,179.34","59,314,647.19","4,496,825.10","30,478,791.42","49,508,790.43","60,929,162.13","5,170,296.69"
减:营业成本,"204,379,524.63","216,467,302.34","255,238,099.80","130,812,147.41","208,804,629.91","278,528,025.95","43,721,103.81","149,323,967.42","237,425,401.94","307,981,526.57","59,563,725.19","158,394,091.02","244,025,083.00","329,758,285.35","72,864,894.09"
加:补贴收入,,,,,,,,,,,,,,,
营业税金及附加,"6,927,186.00","7,783,953.20","8,330,993.96","31,163.29","80,744.95","866,724.34","453,601.43","610,017.87","867,176.50","1,112,307.19","897,178.76","971,593.01","1,583,869.74","2,871,598.97","282,395.56"
营业外收入,"6,390,000.00",,"930,652.62",820.00,820.00,"3,500,820.00",,,,"642,027.00","559,500.00","559,500.00","759,500.00","559,500.00",
销售费用,,,,,,,,,,,,,,,
减:营业外支出,"2,123,546.30","1,151,050.00","20,000.00",,"59,909.24","59,909.24",,"7,493.71","8,468.47","10,043.22",,"100,000.00","100,000.00","631,178.42",
管理费用,"28,616,390.53","33,949,486.77","38,540,995.25","19,695,337.78","30,279,639.26","41,992,417.99","11,286,360.52","21,914,044.71","35,702,543.20","48,505,960.22","14,785,412.83","26,896,085.21","29,395,683.67","38,439,251.24","9,295,499.11"
其中:非流动资产处置净损失,,,,,"59,909.24","59,909.24",,"7,493.71","8,468.47",,,,,,
堪探费用,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,
财务费用,"-532,231.13","-224,133.51","-276,379.81","-357,286.16","-744,427.29","-1,110,256.87","-954,816.79","-1,411,742.91","-520,110.68","171,551.98","946,223.25","1,069,942.17","1,689,527.37","5,494,713.98","71,666.57"
三、利润总额,"46,431,805.85","49,437,130.47","54,937,461.08","27,910,963.26","43,999,454.58","58,808,061.51","4,559,951.33","29,651,433.53","47,122,710.87","59,946,630.97","5,056,325.10","30,938,291.42","50,168,290.43","60,857,483.71","5,170,296.69"
资产减值损失,"3,199,491.11","4,008,750.49","-2,174,938.66","2,679,565.71","4,537,849.59","5,208,460.21","-1,295,211.69","3,113,965.73","1,835,153.87","7,729,154.70","554,198.71","5,172,880.61","8,813,605.01","7,716,193.51","-738,615.25"
减:所得税,"5,923,551.23","6,753,435.33","7,433,325.84","3,723,871.69","5,933,183.14","7,886,150.13","499,744.23","4,070,713.90","6,276,782.28","8,056,271.27","485,499.27","4,411,037.59","7,811,159.27","8,610,719.80","308,599.48"
加:公允价值变动净收益,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,,
四、净利润,"40,508,254.62","42,683,695.14","47,504,135.24","24,187,091.57","38,066,271.44","50,921,911.38","4,060,207.10","25,580,719.63","40,845,928.59","51,890,359.70","4,570,825.83","26,527,253.83","42,357,131.16","52,246,763.91","4,861,697.21"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"40,508,254.62","42,683,695.14","47,504,135.24","24,187,091.57","38,066,271.44","50,921,911.38","4,060,207.10","25,580,719.63","40,845,928.59","51,890,359.70","4,570,825.83","26,527,253.83","42,357,131.16","52,246,763.91","4,861,697.21"
影响营业利润的其他科目,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,
