科目,2005年1-9月
销售商品、提供劳务收到的现金,"15,825,741,168.25"
取得子公司及其他营业单位支付的现金净额,
收到的税费返还,"7,420,019.79"
支付其他与投资活动有关的现金,
收到其他与经营活动有关的现金,"2,238,934.20"
投资活动现金流出小计,"32,845,806.27"
经营活动现金流入小计,"15,835,400,122.24"
投资活动产生的现金流量净额,"-31,703,957.20"
购买商品、接受劳务支付的现金,"14,832,521,137.58"
吸收投资收到的现金,
支付给职工以及为职工支付的现金,"95,824,124.21"
取得借款收到的现金,"203,770,000.00"
支付的各项税费,"641,419,046.14"
收到其他与筹资活动有关的现金,
支付其他与经营活动有关的现金,"105,535,891.10"
筹资活动现金流入小计,"203,770,000.00"
经营活动现金流出小计,"15,675,300,199.03"
偿还债务支付的现金,
经营活动产生的现金流量净额,"160,099,923.21"
分配股利、利润或偿还利息支付的现金,"254,446,929.34"
收回投资收到的现金,
支付其他与筹资活动有关的现金,
取得投资收益收到的现金,
筹资活动现金流出小计,"254,446,929.34"
处置固定资产、无形资产和其他长期资产收回的现金净额,"378,000.00"
筹资活动产生的现金流量净额,"-50,676,929.34"
处置子公司及其他营业单位收到的现金净额,
四、汇率变动对现金的影响,
收到其他与投资活动有关的现金,"763,849.07"
四(2)、其他原因对现金的影响,
投资活动现金流入小计,"1,141,849.07"
五、现金及现金等价物净增加额,"77,719,036.67"
购建固定资产、无形资产和其他长期资产支付的现金,"32,845,806.27"
期初现金及现金等价物余额,"18,884,894.69"
投资支付的现金,
期末现金及现金等价物余额,"96,603,931.36"
