科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"142,793,462.91","180,470,565.49","201,871,275.48","91,386,888.06","145,575,900.00","240,643,007.43","33,076,790.86","104,818,261.42","166,600,031.89","268,680,076.33","36,379,413.40","101,077,345.45","160,468,502.61","284,276,878.15","40,950,266.98"
二、营业利润,"17,842,774.08","18,553,512.08","26,877,126.32","995,512.41","6,599,200.00","24,111,509.23","-8,992,207.30","6,289,378.53","31,726,264.26","52,885,777.94","-5,454,926.29","9,030,769.28","12,043,404.23","60,473,638.93","-4,192,272.90"
减:营业成本,"42,930,379.43","61,821,671.73","61,094,229.70","34,592,074.62",,"75,005,817.73","6,768,976.47","25,932,871.17","39,219,793.81","70,615,042.72","8,950,823.47","19,615,509.65","40,102,425.20","72,590,472.98","11,004,244.04"
加:补贴收入,,,,,,,,,,,,,,,
营业税金及附加,"2,203,656.81","2,913,571.03","3,326,074.40","1,204,067.39",,"4,358,228.09","1,162,189.58","2,503,053.63","3,632,088.12","5,324,547.10","995,805.81","2,298,856.19","3,586,253.67","5,939,135.14","859,318.94"
营业外收入,"18,056,986.18","26,595,038.00","18,895,331.94","11,659,615.94",,"25,118,937.46","5,953,767.60","10,112,502.12","11,030.96","2,631,342.30","478,249.02",1.33,1.33,1.33,
销售费用,"42,225,580.93","53,219,540.76","55,105,923.04","27,447,494.89",,"61,575,200.20","15,307,029.82","29,543,487.70","43,811,814.29","62,556,274.97","14,195,608.32","31,393,399.69","45,443,958.23","64,597,799.94","16,309,433.02"
减:营业外支出,"7,643.80","235,405.00","225,160.86",,,,,,,,,"28,256.01","259,626.27","36,426.27",
管理费用,"34,077,677.35","41,941,334.37","49,807,850.30","25,371,475.26",,"69,505,745.31","18,639,111.19","38,698,078.51","63,116,409.49","91,289,287.19","24,961,857.01","51,870,505.95","35,987,739.20","47,471,800.94","12,338,458.09"
其中:非流动资产处置净损失,"1,537.38","68,471.17","205,429.37",,,,,,,,,,,,
堪探费用,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,
财务费用,"1,049,678.42","427,267.26","989,215.41","330,688.16",,"2,245,281.05","953,095.80","1,457,402.25","1,826,629.47","2,546,934.48","544,849.07","1,300,468.60","3,335,632.37","4,546,114.37","-1,467,527.62"
三、利润总额,"35,892,116.46","44,913,145.08","45,547,297.40","12,655,128.35","23,784,900.00","49,230,446.69","-3,038,439.70","16,401,880.65","31,737,295.22","55,517,120.24","-4,976,677.27","9,002,514.60","11,783,779.29","60,437,213.99","-4,192,272.90"
资产减值损失,"2,463,715.89","1,593,668.26","4,670,856.31","1,445,575.33",,"3,841,225.82","-364,986.89","1,180,126.46","2,184,462.35","7,798,456.84","939,921.84","2,085,031.98","3,736,329.47","12,433,145.97",
减:所得税,"4,806,979.49","5,666,682.80","6,591,320.76","2,300,372.61",,"4,024,727.87","126,562.77","2,721,715.72","2,477,764.83","4,406,218.33","-69,362.49","-2,303,050.85","454,316.35","5,374,844.96","137,587.98"
加:公允价值变动净收益,,,,,,,"378,917.81","92,791.23","213,452.06",,,,,"1,614,395.90","49,539.10"
加:影响净利润的其他科目,,,,,,,,,,,,,,,
投资收益,,,,,,,"17,500.00","693,345.60","774,842.39","1,211,298.23","826,198.50","860,554.66","1,557,220.84","1,031,893.19","-514,555.23"
四、净利润,"31,085,136.97","39,246,462.28","38,955,976.64","10,354,755.74","21,632,200.00","45,205,718.82","-3,165,002.47","13,680,164.93","29,259,530.39","51,110,901.91","-4,907,314.78","11,305,565.45","11,329,462.94","55,062,369.03","-4,329,860.88"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,"-651,991.52","-546,669.48"
归属于母公司所有者的净利润,"31,085,136.97","39,246,462.28","38,955,976.64","10,354,755.74","21,632,200.00","45,205,718.82","-3,165,002.47","13,680,164.93","29,259,530.39","51,110,901.91","-4,907,314.78","11,305,565.45","11,425,729.13","55,479,612.23","-4,099,719.71"
影响营业利润的其他科目,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,"-96,266.19","-417,243.20","-230,141.17"
