科目,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"750,211,393.93","846,043,430.30","1,270,544,402.30","351,450,909.28","788,435,305.84","1,099,457,674.31","1,459,723,418.32","437,897,339.69","897,759,838.41","1,394,233,960.04","1,818,760,812.32","458,253,331.30","980,065,199.29","1,672,644,213.96","2,544,981,928.34","1,012,747,966.36","2,519,777,394.72","3,590,384,116.11","4,959,157,199.17","924,055,677.34","1,693,746,714.85","2,864,353,675.85","3,837,581,191.88","737,028,574.06","1,438,013,638.32","2,218,205,010.09","2,658,721,301.69"
提取保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息净收入,"8,645,210.60","15,294,987.08","18,048,352.17","-758,799.72","6,541,450.76","26,681,402.27","45,108,367.73","22,006,397.50","51,247,204.61","93,488,825.91","158,081,111.31","97,537,540.25","165,736,236.32","230,541,926.63","347,935,964.31","118,777,453.53","366,293,287.74","482,372,756.12","644,446,644.14","139,491,208.38","277,332,389.06","412,823,539.96","445,571,741.22","-44,885,623.15","-105,432,090.30","-190,476,926.58","-363,968,876.38"
减：摊回保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息支出,,,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金净收入,"746,493,390.10","1,009,761,294.41","1,323,269,491.23","296,035,734.75","549,723,470.49","820,882,843.44","1,106,964,199.07","346,961,317.62","730,771,643.69","1,183,945,252.58","1,544,283,106.55","304,650,294.05","578,964,008.32","1,027,171,263.47","1,666,003,771.43","774,864,107.43","1,835,382,902.47","2,605,753,444.37","3,536,057,531.03","631,028,349.63","1,121,062,076.27","1,907,552,261.20","2,630,471,141.94","412,990,588.58","757,879,165.86","1,214,458,040.76","1,576,208,903.07"
营业税金及附加,"48,393,868.17","64,112,321.27","85,925,746.42","19,960,322.65","40,393,861.21","58,382,824.80","80,303,592.39","24,026,486.66","52,328,860.51","82,859,176.59","107,869,823.88","25,178,188.38","51,667,601.39","91,481,598.56","146,536,374.70","64,010,244.81","158,394,807.75","229,424,200.99","306,583,069.46","57,652,963.32","81,593,384.20","91,458,100.23","100,019,550.88","6,275,483.60","12,946,669.07","19,837,095.00","25,136,101.85"
手续费及佣金收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出2,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出,,,,,,,,,,,,,,,,,,,,,,,,,,,
业务及管理费,"466,052,275.78","704,645,762.79","1,031,700,345.87","233,414,512.79","527,217,782.83","800,682,672.57","1,162,167,515.69","273,433,009.99","577,653,131.37","893,108,389.70","1,245,531,467.72","275,583,554.30","599,642,153.91","962,550,716.15","1,463,889,631.65","376,915,464.53","853,255,484.13","1,407,893,468.72","2,138,763,301.56","401,225,657.68","792,767,584.69","1,336,311,049.15","2,178,676,050.58","408,437,987.24","834,717,234.26","1,300,195,817.61","1,823,741,685.41"
其中：代理买卖证券业务净收入,"466,463,207.95","651,878,725.41","811,786,436.98","188,702,382.68","365,690,056.81","518,215,279.02","678,388,745.15","212,359,156.57","426,625,884.94","700,780,156.60","949,700,836.15","208,191,984.92","374,028,219.58","670,170,367.09","1,140,520,303.32","496,151,366.15","1,429,800,086.26","1,893,913,266.25","2,315,115,183.30","217,920,670.92","445,323,708.12","644,759,130.77","859,881,338.00","166,387,580.61","326,572,228.77","521,671,720.83","671,491,606.56"
减：摊回分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,
证券承销业务净收入,"127,726,679.34","127,203,732.69","199,900,083.76","43,942,315.05","54,503,930.63","108,336,574.14","151,283,215.37","43,106,549.93","129,833,748.11","216,417,159.94","306,147,744.43","40,653,882.00","94,587,628.92","188,495,578.27","291,893,333.10","218,799,045.93","236,183,553.83","441,765,602.61","843,533,940.16","293,553,948.38","463,458,928.54","914,951,362.29","1,296,037,144.33","154,202,232.14","230,688,302.97","368,343,816.98","462,074,451.08"
资产减值损失,,,"59,226.03",,,,"10,232,042.76",,,,"2,329,985.20","1,148,365.72","1,197,039.50","1,197,039.50","1,197,039.50",,,"24,604,187.78","30,522,304.05","4,114,857.44","16,638,412.40","15,602,026.68","31,880,943.82","6,142,293.78","8,771,972.92","10,035,583.80","64,556,129.81"
