科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"46,955,393.07","97,600,690.90","126,663,402.46","224,997,876.88","253,181,853.93","9,230,296.72","59,512,807.09","308,378,742.62","377,473,635.97","11,113,164.89","63,544,289.93","327,425,438.18","410,525,073.21","12,338,449.33","76,747,265.34","431,960,795.14","572,346,556.15","14,803,017.20","89,437,717.09","458,211,996.71","560,911,399.79","15,394,893.98","102,992,657.62","515,230,957.46","1,401,038,861.44","72,479,951.00","261,292,910.01","765,205,992.31","1,791,410,466.89","84,952,134.51","487,519,616.48","1,051,487,101.40","1,853,831,790.32","196,835,164.31","770,737,316.81","1,506,320,933.56","1,879,568,779.00","86,434,263.02"
二、营业利润,"6,274,180.54","9,909,000.29","20,243,682.27","42,810,347.69","46,780,475.71","-971,663.98","7,722,816.53","68,867,315.00","74,866,862.78","-590,208.69","9,824,936.64","67,913,205.00","80,523,598.13","-249,165.31","14,567,650.65","80,679,693.73","104,875,808.01","429,309.27","16,540,311.29","87,211,443.11","121,593,469.67","-274,508.96","16,793,813.08","90,332,702.96","334,038,763.06","-8,410,723.94","5,186,243.17","100,270,209.16","260,821,138.88","-9,990,350.03","104,298,692.46","290,201,586.27","478,078,836.00","-14,913,820.27","215,442,540.90","274,041,605.62","347,456,852.47","-50,738,821.46"
减:营业成本,"29,742,323.22","68,341,087.18","79,734,257.07","142,790,068.28","159,617,625.76","6,196,432.15","35,106,571.65","186,833,697.12","236,051,383.70","7,477,591.42","39,678,595.05","208,013,122.71","263,697,630.11","8,416,554.67","45,638,439.25","278,707,340.99","382,302,142.72","10,807,561.85","50,037,883.96","282,013,347.95","349,535,707.53","9,369,374.13","66,583,169.98","339,455,117.30","875,800,840.99","41,963,467.63","163,593,325.30","488,648,518.56","1,195,632,670.66","57,827,617.71","286,664,325.18","607,122,968.09","1,052,261,809.19","144,836,548.33","513,128,473.24","1,006,712,166.39","1,263,957,977.40","75,694,565.41"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"156,245.19","232,617.74","261,647.86","396,121.51","429,891.79","78,449.23","385,001.96","639,518.50","1,008,154.95","145,940.18","258,358.79","598,239.34","824,306.86","208,584.69","213,489.38","661,625.99","748,200.32","282,640.05","186,681.61","731,488.34","842,907.65","111,799.06","235,682.06","823,380.68","1,867,704.83","118,620.47","154,980.33","3,163,767.72","18,976,246.22","2,254,839.01","6,425,858.11","10,640,403.15","21,885,566.14","2,778,094.06","6,297,439.38","9,254,117.85","18,609,559.94","1,708,462.86"
营业外收入,"4,317,272.64","4,074,829.02","4,367,834.51","5,316,675.85","7,222,012.02","1,987,609.04","5,215,813.28","6,934,139.21","12,150,965.11","1,939,198.05","3,663,144.70","5,590,624.69","9,000,245.93","1,704,669.70","3,725,059.24","5,885,188.34","9,250,957.04","1,189,068.43","2,617,866.40","4,951,901.49","8,032,270.26","1,689,229.29","3,942,958.30","6,728,883.46","16,642,036.98","7,832,992.59","15,255,916.71","23,302,345.30","33,676,319.54","11,379,779.88","78,804.00","1,461,661.04","1,237,355.51","75,869,915.29","294,177.44","100,014,324.75","558,547.40","7,565.92"
销售费用,"5,113,506.53","8,615,184.57","12,946,987.18","20,920,714.33","23,674,136.61","1,151,649.15","6,927,979.35","29,214,105.04","36,414,049.04","2,273,495.13","7,879,345.30","33,332,901.90","40,987,440.12","5,042,040.96","11,532,601.46","48,522,040.68","50,047,003.19","1,474,546.05","12,058,235.62","50,402,854.98","38,764,725.57","3,058,263.26","7,902,300.81","39,890,077.24","64,337,247.05","4,385,419.09","11,721,151.04","31,573,727.55","53,677,555.18","4,005,332.95","12,263,828.42","23,483,706.17","40,856,686.53","4,186,435.76","13,098,797.51","27,378,793.17","48,613,312.27","4,547,749.98"
减:营业外支出,"330,135.22","659,413.73","327,119.77","249,214.46","261,455.54",,,,"178,223.73","1,884.00","210,755.63","220,755.63","230,755.63","34,371.69","34,436.29","58,254.36","160,254.36","30,000.00","32,195.62","32,195.62","967,689.78",,"42,664.06","146,788.32","1,692,622.69","19,019.28","228,068.05","996,731.99","3,521,924.66","115,945.17","1,139,612.77","1,387,368.19","2,824,622.49","146,960.73","198,992.56","825,730.91","2,596,908.69","118,778.73"
管理费用,"5,085,702.73","9,466,069.31","13,255,645.43","14,828,433.97","20,475,569.44","3,863,106.01","11,154,902.31","23,110,889.88","31,772,118.59","6,338,004.94","11,947,280.62","24,262,265.26","33,258,051.47","5,967,255.23","14,258,444.96","31,037,551.42","42,366,247.10","7,951,230.79","19,355,564.98","35,863,610.16","48,282,887.31","8,074,881.90","17,626,491.22","40,302,384.15","95,545,931.90","27,807,622.11","62,708,140.33","102,913,116.03","189,088,494.71","29,263,023.39","75,501,279.62","127,248,386.57","187,005,426.40","41,076,620.50","85,747,935.11","84,474,117.07","125,013,086.06","29,508,056.35"
其中:非流动资产处置净损失,,,,,"34,330.54",,,,,,,,,,,,,,,,,,,,,,,"64,026.47","2,238,142.36","114,898.85","114,898.85","114,898.85",,,,,,
