科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月
一、营业收入,"605,403,309.02","2,100,636,878.19","3,695,404,088.06","4,435,140,101.43","707,242,992.65","970,511,978.73","1,232,846,385.74","1,598,468,309.64","620,106,525.00","1,311,065,021.69","2,124,462,343.05","2,919,903,998.54","943,419,299.75","1,708,537,769.87","2,596,384,470.98","3,304,715,081.65","812,824,233.72","1,555,326,866.47","1,874,037,940.10","2,353,703,631.17","901,183,980.85","1,834,719,347.42","2,438,145,104.79","3,295,868,934.67","1,401,679,918.07","2,428,616,972.58","3,353,175,521.48","4,118,510,581.83","1,070,382,145.30","2,147,163,067.44","3,565,641,480.87"
提取保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息净收入,"18,405,697.44","57,212,480.19","95,051,090.30","133,773,243.77","45,909,708.28","83,812,868.24","118,961,553.56","158,067,226.88","32,490,291.57","73,320,477.83","117,039,015.84","167,141,975.67","42,831,425.06","80,210,571.73","119,558,824.02","160,201,395.94","45,954,055.07","88,065,025.39","139,018,205.65","191,649,017.15","37,949,034.68","98,098,017.35","220,235,025.05","329,869,183.46","94,053,128.72","195,963,335.63","312,448,759.20","439,629,950.27","129,486,614.72","210,460,019.82","306,719,176.51"
减：摊回保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息收入,,"115,042,847.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息支出,,"57,830,367.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金净收入,"209,758,693.80","1,199,485,328.99","1,873,419,936.13","2,289,112,899.87","464,046,800.88","809,185,929.54","1,111,665,531.47","1,364,479,355.68","434,180,057.25","1,009,907,325.44","1,717,762,746.61","2,381,894,921.18","620,738,347.48","1,244,814,795.98","1,802,703,836.27","2,441,361,020.92","603,554,952.58","1,199,153,959.65","1,515,288,373.85","1,788,265,887.20","538,041,492.99","947,343,717.47","1,374,844,218.41","1,930,047,789.36","649,913,006.44","1,194,877,525.31","1,778,425,626.64","2,403,450,034.20","581,911,338.15","1,224,091,232.24","1,912,635,229.13"
营业税金及附加,"20,269,251.60","91,904,086.12","143,734,572.39","213,103,576.92","26,847,333.82","57,751,627.41","64,866,445.58","80,884,836.03","29,558,191.52","68,113,790.89","112,351,516.68","154,288,550.37","44,794,880.46","88,483,884.12","130,679,383.53","176,418,421.74","42,229,138.81","84,342,192.05","107,247,978.34","130,397,080.78","48,680,736.35","94,399,334.23","130,446,374.62","174,285,927.50","59,893,271.13","131,626,751.86","184,395,682.41","249,496,267.18","55,634,060.91","111,424,748.66","184,133,907.46"
手续费及佣金收入,"213,198,873.24","1,216,748,365.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出,"3,440,179.44","17,263,036.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
业务及管理费,"115,422,003.42","452,581,087.74","640,108,657.86","848,856,572.73","139,326,568.00","300,663,583.96","460,960,324.04","750,188,356.33","170,903,110.71","532,879,229.52","786,897,225.63","1,199,442,494.58","347,848,558.26","654,531,289.30","974,926,102.99","1,361,412,638.91","322,866,455.04","654,483,042.60","868,381,298.79","1,345,315,553.95","488,303,982.88","876,628,822.40","1,231,986,646.16","1,771,054,582.51","687,817,100.14","1,177,028,454.56","1,655,671,702.41","2,139,463,775.50","503,116,592.75","963,470,240.11","1,590,119,941.45"
其中：代理买卖证券业务净收入,"207,782,717.88",,"1,847,707,572.19","2,212,106,142.52","440,629,538.90","758,747,375.16","948,586,186.50","1,178,108,978.30","409,668,530.10","943,264,767.10","1,556,326,091.19","2,138,380,015.71","444,209,765.95","815,136,636.21","1,183,289,725.26","1,724,916,305.16","385,397,392.86","677,875,805.39","922,851,977.14","1,089,495,734.02","235,564,006.83","453,360,734.93","629,018,015.19","802,776,807.02","317,017,903.24","590,635,474.46","952,299,318.74","1,405,793,939.99","327,927,574.74","535,145,495.04","1,001,953,957.14"
减：摊回分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
证券承销业务净收入,,,"13,925,513.74","41,079,827.13","10,621,770.41","20,846,967.59","72,694,984.25","87,934,451.25","12,010,000.00","28,183,000.00","72,576,791.66","131,577,665.16","107,397,900.00","322,896,259.00","427,388,684.30","467,107,258.58","123,796,846.00","279,251,646.00","310,470,665.20","363,705,006.22","214,446,258.96","309,699,268.59","465,943,116.71","689,124,174.58","171,596,876.86","212,963,115.79","283,708,403.83","542,480,992.20","178,730,643.78","458,184,716.64","570,633,530.90"
资产减值损失,-218.74,"5,995,618.63","-8,288,528.69","82,492,399.12",,"-1,047.22","-28,186.13","-8,319,475.08","-150,025.45","-150,072.00","-150,072.00","-298,642.14",-174.78,"-704,595.78","-708,792.74","24,690,125.45","-2,000,000.00","-2,300,015.00","-2,820,015.00","-5,732,430.48",,,,"165,739,639.14",,,"-375,000.00","48,573,769.89","2,384,171.05","2,347,393.25","2,347,393.25"
委托客户管理资产业务净收入,,,,,,,,"11,264.20",,,"24,987,493.30","16,573,507.99","34,808,134.22","39,028,252.53","50,160,004.29","58,087,233.91","14,360,546.54",,"26,201,382.56","38,165,568.27","9,270,858.08","22,072,607.59","55,301,389.80","95,478,166.88","65,889,533.69","211,434,237.22","291,003,373.03","363,502,121.14","60,688,649.45","143,838,256.28","214,756,208.59"
其他业务成本,"9,937,126.44","22,600,639.23","336,470.26","58,604,958.91","22,393,959.68","39,346,651.50","39,474,682.14","39,582,118.56","123,292.25","248,287.35","382,374.96","1,613,919.67","222,119.61","968,286.71","1,690,539.40","2,558,794.35","764,237.90","2,951,852.62","3,681,568.99","4,422,437.05","1,575,095.57","2,365,870.79","3,087,180.67","3,810,956.91","1,433,502.17","2,235,780.98","3,093,182.97","7,568,424.80","31,597,168.18","76,604,296.28","112,175,461.43"
已赚保费,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
