科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"111,588,699.04","136,715,280.86","176,457,996.05","46,268,891.88","95,095,716.15","156,002,274.33","228,027,852.14","58,117,170.11"
取得子公司及其他营业单位支付的现金净额,,,,,,,,
收到的税费返还,,"1,928,486.47","1,183,147.50","1,057,872.23","987,653.39","2,698,870.59","2,698,309.62","135,655.37"
支付其他与投资活动有关的现金,,,,,,,,
收到其他与经营活动有关的现金,"5,284,710.40","8,476,788.58","10,927,065.05","1,046,260.53","6,083,501.91","9,799,470.37","12,223,888.73","3,389,577.23"
投资活动现金流出小计,"8,427,919.94","211,216,325.02","8,426,298.24","589,044.27","276,064,327.84","382,330,851.75","591,370,372.77","165,797,832.06"
经营活动现金流入小计,"116,873,409.44","147,120,555.91","188,568,208.60","48,373,024.64","102,166,871.45","168,500,615.29","242,950,050.49","61,642,402.71"
投资活动产生的现金流量净额,"34,845,968.89","-5,334,403.77","-2,242,698.24","-589,044.27","-226,786,302.64","-219,740,611.84","-219,094,853.41","64,834,058.45"
购买商品、接受劳务支付的现金,"53,498,680.85","58,828,844.70","72,854,483.79","21,283,613.56","52,796,510.60","85,747,243.35","108,939,526.68","28,637,427.40"
吸收投资收到的现金,"16,804,744.09","19,080,000.00",,"232,954,406.00","232,954,406.00","232,954,406.00","232,954,406.00",
支付给职工以及为职工支付的现金,"25,400,693.70","32,734,145.22","40,607,170.35","13,285,776.28","26,272,609.16","37,955,311.95","53,314,102.08","16,117,547.94"
取得借款收到的现金,,,,,,,,
支付的各项税费,"8,752,628.44","12,292,498.29","20,637,202.58","5,727,170.36","8,995,848.18","12,930,676.51","20,716,983.86","3,806,338.16"
收到其他与筹资活动有关的现金,,,,,,,,
支付其他与经营活动有关的现金,"9,109,557.70","11,643,113.19","12,331,890.54","3,637,858.10","6,876,449.41","9,084,915.78","12,836,878.89","3,931,612.65"
筹资活动现金流入小计,"16,804,744.09","19,080,000.00",,"232,954,406.00","232,954,406.00","232,954,406.00","232,954,406.00",
经营活动现金流出小计,"96,761,560.69","115,498,601.40","146,430,747.26","43,934,418.30","94,941,417.35","145,718,147.59","195,807,491.51","52,492,926.15"
偿还债务支付的现金,,,,,,,,
经营活动产生的现金流量净额,"20,111,848.75","31,621,954.51","42,137,461.34","4,438,606.34","7,225,454.10","22,782,467.70","47,142,558.98","9,149,476.56"
分配股利、利润或偿还利息支付的现金,"29,196,852.97",,,,,,,
收回投资收到的现金,"43,062,188.83","200,000,000.00",,,"48,720,000.00","157,610,943.01","347,440,000.00","227,720,000.00"
支付其他与筹资活动有关的现金,"33,607,471.81","3,653,168.62","400,000.00","9,737,732.53","9,731,625.83","9,731,625.83","9,731,625.83",
取得投资收益收到的现金,,"832,147.94",,,"258,025.20","1,979,296.90","3,151,519.36","2,911,890.51"
筹资活动现金流出小计,"62,804,324.78","3,653,168.62","400,000.00","9,737,732.53","9,731,625.83","9,731,625.83","9,731,625.83",
处置固定资产、无形资产和其他长期资产收回的现金净额,"211,700.00","111,111.12",,,,,"9,000.00",
筹资活动产生的现金流量净额,"-45,999,580.69","15,426,831.38","-400,000.00","223,216,673.47","223,222,780.17","223,222,780.17","223,222,780.17",
处置子公司及其他营业单位收到的现金净额,,,,,,,,
四、汇率变动对现金的影响,"99,321.94","1,114,765.25","4,521,056.10","-401,936.19","-2,389,736.33","-4,658,709.26","-6,640,066.60","-5,614,562.06"
收到其他与投资活动有关的现金,,"4,938,662.19","6,183,600.00",,"300,000.00","3,000,000.00","21,675,000.00",
四(2)、其他原因对现金的影响,,,,,,,,
投资活动现金流入小计,"43,273,888.83","205,881,921.25","6,183,600.00",,"49,278,025.20","162,590,239.91","372,275,519.36","230,631,890.51"
五、现金及现金等价物净增加额,"9,057,558.89","42,829,147.37","44,015,819.21","226,664,299.35","1,272,195.30","21,605,926.77","44,630,419.14","68,368,972.95"
购建固定资产、无形资产和其他长期资产支付的现金,"6,998,165.23","11,216,325.02","8,426,298.24","589,044.27","18,624,327.84","26,170,851.75","45,210,372.77","10,797,832.06"
期初现金及现金等价物余额,"36,088,463.68","45,146,022.57","87,975,169.94","131,990,989.15","131,990,989.15","131,990,989.15","131,990,989.15","176,621,408.29"
投资支付的现金,"1,429,754.71","200,000,000.00",,,"257,440,000.00","356,160,000.00","546,160,000.00","155,000,000.00"
期末现金及现金等价物余额,"45,146,022.57","87,975,169.94","131,990,989.15","358,655,288.50","133,263,184.45","153,596,915.92","176,621,408.29","244,990,381.24"
