科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"409,016,072.41","440,765,668.99","424,729,045.72","366,335,101.43","494,520,743.96","120,663,381.99","257,188,254.92","363,296,741.81","351,801,697.05","71,508,133.13","147,001,439.44","229,736,781.33","411,103,319.38","127,384,547.65","279,128,402.78","459,558,272.65"
取得子公司及其他营业单位支付的现金净额,,,,,"17,067,131.80",,,,,,,,,,"111,696,732.58","111,805,711.00"
收到的税费返还,"15,022,154.47","15,073,703.27","9,520,931.45","9,970,980.55","11,658,527.60","1,996,153.58","2,573,441.43","3,821,965.10","3,788,348.12","2,043,497.26","2,043,497.26","2,456,102.34","3,304,834.99","3,178,829.93","3,945,056.97","346,720.30"
支付其他与投资活动有关的现金,,,,"760,076.32",,,,,,,,,,,,
收到其他与经营活动有关的现金,"6,156,014.00","11,658,332.00","5,711,119.95","12,879,254.62","18,275,839.56","3,473,239.92","14,781,755.02","14,822,323.23","16,070,968.12","104,622.79","1,684,846.73","1,960,027.51","6,062,172.67","2,945,673.87","2,212,751.36","3,128,586.11"
投资活动现金流出小计,"29,808,804.51","71,184,799.43","74,393,139.81","72,057,540.07","101,720,176.39","11,223,419.31","24,155,504.15","24,034,861.84","2,827,962.89","9,810,897.98","30,661,965.66","36,493,553.32","475,869,451.17","127,118,959.07","359,700,761.71","372,961,363.69"
经营活动现金流入小计,"430,194,240.88","467,497,704.26","439,961,097.12","389,185,336.60","524,455,111.12","126,132,775.49","274,543,451.37","381,941,030.14","371,661,013.29","73,656,253.18","150,729,783.43","234,152,911.18","420,470,327.04","133,509,051.45","285,286,211.11","463,033,579.06"
投资活动产生的现金流量净额,"-29,075,439.11","-62,374,430.46","-51,183,717.24","-72,006,540.07","-101,514,644.33","-11,223,419.31","-24,061,368.23","-23,940,725.92","-2,540,672.80","-9,810,897.98","-30,661,965.66","-36,493,553.32","-475,869,451.17","-127,118,959.07","50,523,019.89","37,262,417.91"
购买商品、接受劳务支付的现金,"336,864,155.99","322,129,427.75","335,983,474.31","286,395,724.04","374,639,645.44","104,589,051.17","191,172,244.35","300,393,706.55","292,831,304.19","55,791,627.42","86,819,969.91","119,049,897.53","282,759,438.47","101,289,501.44","173,441,162.59","337,440,231.08"
吸收投资收到的现金,"84,000,000.00",,,,,"237,640,000.00","237,640,000.00","237,640,000.00","237,640,000.00",,,"550,684,135.58","551,210,782.10",,,
支付给职工以及为职工支付的现金,"30,752,492.65","31,989,666.72","34,735,539.77","31,586,172.96","43,188,442.96","11,171,021.05","22,715,728.06","33,640,623.74","45,019,730.37","11,965,652.20","23,682,925.53","36,861,781.41","49,690,373.30","14,998,876.78","34,083,187.21","43,208,817.82"
取得借款收到的现金,"391,740,000.00","193,500,000.00","337,800,000.00",,"300,395,895.90","120,840,000.00","150,293,512.00","181,356,000.00","242,157,000.00","20,000,000.00","60,000,000.00","60,000,000.00","80,000,000.00","110,000,000.00","240,000,000.00","240,000,000.00"
支付的各项税费,"21,069,445.82","16,569,934.69","15,562,136.92","11,180,896.49","16,631,325.21","4,876,190.25","10,586,756.51","14,859,695.62","20,829,529.06","11,794,717.13","18,445,252.71","25,522,289.52","29,694,666.87","9,987,305.76","22,446,235.19","23,001,712.46"
收到其他与筹资活动有关的现金,"2,000,000.00",,,"274,612,880.20",,,,,,,,,,,,
支付其他与经营活动有关的现金,"17,901,422.98","16,318,534.49","20,394,327.18","13,799,791.57","18,926,170.87","3,712,738.27","8,068,378.51","16,262,077.46","19,527,227.42","6,963,096.87","11,456,915.01","20,521,832.31","24,897,979.09","9,254,719.74","19,642,522.01","18,932,027.07"
筹资活动现金流入小计,"477,740,000.00","193,500,000.00","337,800,000.00","274,612,880.20","300,395,895.90","358,480,000.00","387,933,512.00","418,996,000.00","479,797,000.00","20,000,000.00","60,000,000.00","610,684,135.58","631,210,782.10","110,000,000.00","240,000,000.00","240,000,000.00"
经营活动现金流出小计,"406,587,517.44","387,007,563.65","406,675,478.18","342,962,585.06","453,385,584.48","124,349,000.74","232,543,107.43","365,156,103.37","378,207,791.04","86,515,093.62","140,405,063.16","201,955,800.77","387,042,457.73","135,530,403.72","249,613,107.00","422,582,788.43"
偿还债务支付的现金,"355,000,000.00","241,740,000.00","291,000,000.00","245,752,659.82","250,752,659.82","199,943,236.08","289,943,236.08","349,943,236.08","384,943,236.08","20,000,000.00","20,000,000.00","40,000,000.00","80,000,000.00","20,000,000.00","208,190,000.00","220,000,000.00"
经营活动产生的现金流量净额,"23,606,723.44","80,490,140.61","33,285,618.94","46,222,751.54","71,069,526.64","1,783,774.75","42,000,343.94","16,784,926.77","-6,546,777.75","-12,858,840.44","10,324,720.27","32,197,110.41","33,427,869.31","-2,021,352.27","35,673,104.11","40,450,790.63"
分配股利、利润或偿还利息支付的现金,"22,709,669.31","43,779,323.76","32,231,255.40","10,762,258.75","14,837,420.29","33,177,856.68","59,311,847.02","60,766,179.92","60,743,433.35","246,110.00","39,914,940.88","40,547,638.47","40,503,668.06","729,324.69","53,924,547.10","51,985,896.78"
收回投资收到的现金,,"8,504,075.34","23,011,680.81",,,,,,,,,,,,"405,260,780.82","405,260,780.82"
支付其他与筹资活动有关的现金,,,,,,"5,247,922.66","6,244,719.92","6,244,719.92","6,244,719.92","20,000.00","20,000.00","20,000.00",,"235,849.06","32,642,523.71",
取得投资收益收到的现金,,,,,,,,,,,,,,,"4,963,000.78","4,963,000.78"
筹资活动现金流出小计,"377,709,669.31","285,519,323.76","323,231,255.40","256,514,918.57","265,590,080.11","238,369,015.42","355,499,803.02","416,954,135.92","451,931,389.35","20,266,110.00","59,934,940.88","80,567,638.47","120,503,668.06","20,965,173.75","294,757,070.81","271,985,896.78"
