科目,2007年度,2008年度,2015年度
销售商品、提供劳务收到的现金,,,"281,360,438.55"
取得子公司及其他营业单位支付的现金净额,,,
收到的税费返还,,,
支付其他与投资活动有关的现金,,,
收到其他与经营活动有关的现金,,,"75,859,106.50"
投资活动现金流出小计,,,"136,750,824.65"
经营活动现金流入小计,,,"357,219,545.05"
投资活动产生的现金流量净额,152.71,205.08,"-36,295,824.19"
购买商品、接受劳务支付的现金,,,"205,439,506.93"
吸收投资收到的现金,,,
支付给职工以及为职工支付的现金,"180,038.04","38,000.00","27,726,077.25"
取得借款收到的现金,,,"165,000,000.00"
支付的各项税费,,,"11,168,958.72"
收到其他与筹资活动有关的现金,"244,009.14","88,005.00","51,949,545.48"
支付其他与经营活动有关的现金,"62,550.43","26,004.60","87,423,672.78"
筹资活动现金流入小计,"244,009.14","88,005.00","216,949,545.48"
经营活动现金流出小计,"242,588.47","64,004.60","331,758,215.68"
偿还债务支付的现金,,,"103,000,000.00"
经营活动产生的现金流量净额,"-242,588.47","-64,004.60","25,461,329.37"
分配股利、利润或偿还利息支付的现金,,,"9,280,094.40"
收回投资收到的现金,,,"94,700,000.00"
支付其他与筹资活动有关的现金,,,"17,627,151.86"
取得投资收益收到的现金,,,"5,755,000.46"
筹资活动现金流出小计,,,"129,907,246.26"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,
筹资活动产生的现金流量净额,"244,009.14","88,005.00","87,042,299.22"
处置子公司及其他营业单位收到的现金净额,,,
四、汇率变动对现金的影响,,,
收到其他与投资活动有关的现金,152.71,205.08,
四(2)、其他原因对现金的影响,,,
投资活动现金流入小计,152.71,205.08,"100,455,000.46"
五、现金及现金等价物净增加额,"1,573.38","24,205.48","76,207,804.40"
购建固定资产、无形资产和其他长期资产支付的现金,,,"300,824.65"
期初现金及现金等价物余额,,"14,957.24","38,406,696.79"
投资支付的现金,,,"136,450,000.00"
期末现金及现金等价物余额,"1,573.38","39,162.72","114,614,501.19"
