科目,2006-03-31
货币资金,"569,192,588.42"
短期借款,
交易性金融资产,
交易性金融负债,
应收票据,"1,972,844,524.00"
应付票据,
应收账款,"836,606,141.32"
应付账款,"1,813,538,081.68"
预付款项,"686,451,872.50"
预收款项,"326,967,720.77"
其他应收款,"11,104,944.41"
应付职工薪酬,"203,592,604.05"
应收关联公司款,
应交税费,"46,814,069.13"
应收利息,
应付利息,
应收股利,
应付股利,
存货,"3,687,875,052.88"
其他应付款,"474,295,434.45"
其中:消耗性生物资产,
应付关联公司款,
一年内到期的非流动资产,
一年内到期的非流动负债,"200,000,000.00"
其他流动资产,
其他流动负债,"804,375.00"
流动资产合计,"7,764,075,123.53"
流动负债合计,"3,066,012,285.08"
可供出售金融资产,
长期借款,"830,000,000.00"
持有至到期投资,"178,851,188.91"
应付债券,
长期应收款,
长期应付款,
长期股权投资,"1,013,667,716.17"
专项应付款,"108,761,554.19"
投资性房地产,
预计负债,
固定资产,"8,018,423,065.72"
递延所得税负债,
在建工程,"841,203,033.44"
其他非流动负债,
工程物资,
非流动负债合计,"938,761,554.19"
固定资产清理,
负债合计,"4,004,773,839.27"
生产性生物资产,
实收资本(或股本),"2,330,000,000.00"
油气资产,
资本公积,"2,232,410,435.98"
无形资产,"6,347,494.66"
盈余公积,"5,685,050,955.00"
开发支出,
减:库存股,
商誉,
未分配利润,"4,026,521,915.88"
长期待摊费用,"456,189,523.70"
少数股东权益,
递延所得税资产,
外币报表折算价差,
其他非流动资产,
非正常经营项目收益调整,
非流动资产合计,"10,514,682,022.60"
所有者权益(或股东权益)合计,"14,273,983,306.86"
资产总计,"18,278,757,146.13"
负债和所有者(或股东权益)合计,"18,278,757,146.13"
