科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"8,350,764.80","20,012,551.44","32,666,432.40","44,414,383.48","9,265,549.32","18,758,650.01","29,448,517.57","45,414,964.92","6,253,401.56","13,444,106.30","20,300,776.49","46,861,186.74","10,727,892.63","22,265,680.63","32,916,281.58","42,368,308.53","7,697,140.61","14,346,897.56","20,810,706.76","26,990,393.61","6,282,980.47","12,441,747.80","18,447,055.08","24,683,541.81","6,112,526.44","12,100,998.76","18,048,974.94","23,502,530.49","4,165,835.93","29,488,410.46"
三、利润总额,"-22,716,551.58","-37,527,677.91",,"6,810,343.98","-21,603,453.53","-43,059,667.08","-58,333,751.20","-98,498,513.70","-21,879,766.72","-42,516,119.84","-64,558,445.53","-102,714,431.85","-25,389,351.01","-52,658,713.90","-86,851,735.14","-204,888,319.92","-12,389,927.67","-23,838,028.94","-20,822,396.22","-14,058,799.67","-10,515,758.70","-21,653,257.65","-30,732,380.47","-32,672,334.38","-10,092,215.68","-23,209,686.70","-33,799,184.84","-43,973,263.78","-8,420,270.36","-96,094,223.52"
资产减值损失,,,,"-5,306,190.20","121,169.67","543,396.49","351,433.06","12,096,272.82","-678,606.62","-4,785,738.15","-5,535,078.98","-716,809.56","3,414,168.33","3,191,671.71","3,199,818.01","7,868,038.40",,"4,736.93","296,706.73","-15,287,992.81",,"-122,747.90","-122,747.90","-2,997,315.63",,,,"-1,309,876.30",,"60,487,792.90"
减:所得税,,,,,,,,,,,,,,,,,,,,"15,541.52",,,,"31,301.29",,,,,,
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,"1,402,094.80","1,402,094.80",,,,,,,,,"3,725,000.00","3,725,000.00","3,725,000.00","3,725,000.00",,,,,,,,,,,,,"12,501.00","-2,576,956.69"
四、净利润,"-22,716,551.58","-37,527,677.91","-48,844,965.13","6,810,343.98","-21,603,453.53","-43,059,667.08","-58,333,751.20","-98,498,513.70","-21,879,766.72","-42,516,119.84","-64,558,445.53","-102,714,431.85","-25,389,351.01","-52,658,713.90","-86,851,735.14","-204,888,319.92","-12,389,927.67","-23,838,028.94","-20,822,396.22","-14,074,341.19","-10,515,758.70","-21,653,257.65","-30,732,380.47","-32,703,635.67","-10,092,215.68","-23,209,686.70","-33,799,184.84","-43,973,263.78","-8,420,270.36","-96,094,223.52"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"-22,289,680.80","-37,518,430.47","-49,646,379.22","5,998,527.50","-21,500,728.06","-42,916,986.37","-58,025,431.39","-98,135,088.53","-21,837,465.95","-42,508,372.34","-63,417,136.53","-99,224,085.82","-23,591,736.38","-49,311,722.18","-80,487,260.94","-197,474,789.92","-12,372,220.90","-23,657,698.95","-20,081,718.91","-13,502,570.10","-10,495,977.95","-21,571,396.25","-30,732,513.92","-32,731,039.79","-10,093,036.75","-23,125,753.70","-33,595,405.90","-43,649,201.72","-8,342,839.04","-92,818,075.27"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"-426,870.78","-9,247.44","801,414.09","811,816.48","-102,725.47","-142,680.71","-308,319.81","-363,425.17","-42,300.77","-7,747.50","-1,141,309.00","-3,490,346.03","-1,797,614.63","-3,346,991.72","-6,364,474.20","-7,413,530.00","-17,706.77","-180,329.99","-740,677.31","-571,771.09","-19,780.75","-81,861.40",133.45,"27,404.12",821.07,"-83,933.00","-203,778.94","-324,062.06","-77,431.32","-3,276,148.25"
