科目,2007年度,2008年度,2015年度
一、营业收入,,,"255,517,816.91"
二、营业利润,"-16,517,902.13","-11,096,299.45","24,382,348.90"
减:营业成本,,,"206,747,589.48"
加:补贴收入,,,
营业税金及附加,,,"427,573.77"
营业外收入,,,"1,707,156.66"
销售费用,,,"3,028,565.49"
减:营业外支出,,250.00,"183,019.22"
管理费用,"-634,639.11","219,250.60","19,344,082.36"
其中:非流动资产处置净损失,,,
堪探费用,,,
加:影响利润总额的其他科目,,,
财务费用,"17,024,640.95","10,877,048.85","6,004,843.55"
三、利润总额,"-16,517,902.13","-11,096,549.45","25,906,486.34"
资产减值损失,"127,900.29",,"1,799,446.82"
减:所得税,,,"859,710.99"
加:公允价值变动净收益,,,"403,757.00"
加:影响净利润的其他科目,,,
投资收益,,,"5,812,876.46"
四、净利润,"-16,517,902.13","-11,096,549.45","25,046,775.35"
其中:对联营企业和合营企业的投资权益,,,
归属于母公司所有者的净利润,"-16,517,902.13","-11,096,549.45","11,734,542.23"
影响营业利润的其他科目,,,
少数股东损益,,,"13,312,233.12"
