科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"2,583,353,298.20","2,912,889,187.93","3,464,065,719.16","754,364,400.00","1,704,219,077.17","2,630,564,688.79","3,299,993,906.16","810,662,492.21","1,708,237,529.34","2,946,912,303.40","4,001,028,306.64","946,405,907.81","2,191,270,846.35","3,477,156,144.81"
二、营业利润,"132,040,825.47","150,405,535.68","136,713,900.61","15,069,100.00","48,321,828.61","66,179,720.03","88,877,278.33","-20,164,337.14","-8,590,592.63","15,712,696.08","-2,222,225.88","-18,232,660.19","-23,322,133.99","-19,775,302.10"
减:营业成本,"2,099,876,843.44","2,363,451,711.08","2,817,471,344.73",,"1,422,620,242.68","2,177,336,956.79","2,741,714,964.66","718,772,160.83","1,500,937,259.72","2,603,836,867.17","3,525,608,871.43","843,738,579.08","1,979,588,740.50","3,127,644,522.19"
加:补贴收入,,,,,,,,,,,,,,
营业税金及附加,"5,805,332.49","4,610,143.42","9,415,841.16",,"7,824,487.42","11,680,426.50","11,735,164.59","3,139,278.60","5,997,532.63","8,923,741.28","19,499,961.38","3,180,161.32","8,733,348.55","15,049,157.61"
营业外收入,"13,692,512.68","12,769,743.22","22,604,696.52",,"21,260,727.12","22,729,522.29","30,553,378.08","3,880,674.68","6,140,175.19","10,626,518.07","22,196,921.96","3,940,106.96","10,568,285.58","12,971,033.96"
销售费用,"113,466,130.92","157,338,089.91","209,326,947.60",,"93,751,662.45","150,805,397.17","156,451,016.17","45,318,367.78","79,976,206.01","127,596,659.26","180,944,132.13","47,670,414.91","98,958,117.61","145,968,412.00"
减:营业外支出,"781,572.16","508,925.38","1,451,390.56",,"236,221.05","370,587.15","1,371,685.76","334,056.52","658,396.30","1,677,245.81","3,405,859.10","588,603.64","699,270.13","1,074,227.22"
管理费用,"148,160,097.05","156,865,114.30","181,282,134.54",,"75,346,596.25","131,003,470.43","176,644,433.81","47,678,917.09","89,798,533.20","131,055,118.81","184,508,243.87","44,914,095.27","82,560,891.44","133,162,875.20"
其中:非流动资产处置净损失,"552,357.21","26,732.02","934,870.01",,"133,605.42","133,605.42","148,592.27",,"17,637.35","47,125.85","66,357.59","1,406.66","2,310.33","9,307.98"
堪探费用,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,
财务费用,"72,198,187.29","75,867,501.70","97,321,749.80",,"56,180,001.23","91,367,462.76","117,027,037.20","22,164,443.92","40,791,109.61","63,148,951.33","88,284,312.07","26,520,845.80","54,014,544.63","85,496,995.06"
三、利润总额,"144,951,765.99","162,666,353.52","157,867,206.57","30,455,500.00","69,346,334.68","88,538,655.17","118,058,970.65","-16,617,718.98","-3,108,813.74","24,661,968.34","16,568,836.98","-14,881,156.87","-13,453,118.54","-7,878,495.36"
资产减值损失,"11,805,881.54","4,351,091.84","12,533,800.72",,"174,258.53","2,391,200.32","9,802,906.59","-4,458,616.65","3,040,162.87","2,635,946.93","12,139,482.70","889,771.76","-1,064,575.13","-699,680.47"
减:所得税,"28,053,655.51","30,795,358.91","26,308,001.61",,"16,552,943.64","23,289,137.33","30,818,328.53","3,600,456.76","7,736,078.67","10,897,439.85","4,545,850.11","3,527,945.66","8,546,014.53","7,202,271.65"
加:公允价值变动净收益,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,
投资收益,,,,,,"199,945.21","2,258,895.19","1,787,722.22","3,712,682.07","5,997,677.46","7,734,471.06","2,275,300.14","7,269,663.94","8,298,199.70"
四、净利润,"116,898,110.48","131,870,994.61","131,559,204.96","23,124,800.00","52,793,391.04","65,249,517.84","87,240,642.12","-20,218,175.74","-10,844,892.41","13,764,528.49","12,022,986.87","-18,409,102.53","-21,999,133.07","-15,080,767.01"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,"-300,000.00",,,
归属于母公司所有者的净利润,"107,297,212.18","127,610,182.10","128,623,259.74","22,508,700.00","51,514,365.49","63,173,161.72","87,348,094.99","-17,276,501.00","-9,584,480.01","12,494,057.76","9,885,070.79","-20,055,344.10","-23,502,613.45","-19,952,757.92"
影响营业利润的其他科目,,,,,,,,,,,,,,
少数股东损益,"9,600,898.30","4,260,812.51","2,935,945.22",,"1,279,025.55","2,076,356.12","-107,452.87","-2,941,674.74","-1,260,412.40","1,270,470.73","2,137,916.08","1,646,241.57","1,503,480.38","4,871,990.91"
