科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"281,725,605.72","395,430,117.35","384,472,102.93","49,682,649.99","171,127,529.95","284,445,859.94","526,351,679.54","59,412,086.60","166,915,244.66","301,227,060.93","550,751,170.21","135,993,361.05"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,"2,376,141.58","1,459,829.06",,,,"1,007,557.25","1,007,557.25",,,"436,122.74",,"1,102,684.46"
支付其他与投资活动有关的现金,,,,,,,,,,,,
收到其他与经营活动有关的现金,"4,106,800.00","10,630,900.00","9,658,200.00","581,477.96","3,837,994.01","60,885,978.70","147,790,358.98","35,498,783.71","47,146,822.43","69,513,061.38","104,332,384.06","1,660,323.20"
投资活动现金流出小计,"20,878,307.31","14,115,213.34","17,292,911.33","1,522,551.06","7,287,620.32","117,371,481.54","19,084,979.57","9,865,973.85","28,328,956.78","45,933,590.20","43,149,333.23","36,145,238.57"
经营活动现金流入小计,"288,208,547.30","407,520,846.41","394,130,302.93","50,264,127.95","174,965,523.96","346,339,395.89","675,149,595.77","94,910,870.31","214,062,067.09","371,176,245.05","655,083,554.27","138,756,368.71"
投资活动产生的现金流量净额,"-19,730,699.58","-13,451,709.15","-16,948,153.26","-1,318,081.40","-7,040,029.79","-116,961,702.63","-16,749,492.21","-8,942,181.11","-24,686,029.44","-40,776,249.65","-35,179,841.81","-34,905,103.87"
购买商品、接受劳务支付的现金,"125,402,651.85","225,468,471.03","160,630,520.44","81,967,204.93","133,359,938.70","185,873,390.50","282,575,689.31","58,888,832.12","135,995,679.04","248,411,459.27","300,111,993.54","147,411,485.04"
吸收投资收到的现金,,"2,000,000.00",,,,"197,600,000.00","377,637,729.44",,,"1,575,440.00","3,153,790.00",
支付给职工以及为职工支付的现金,"96,074,367.75","120,913,575.74","143,176,670.93","42,499,688.63","86,690,555.91","140,155,476.36","191,717,143.03","73,139,668.20","130,168,817.66","190,356,760.98","270,616,423.17","81,264,393.06"
取得借款收到的现金,"20,000,000.00","53,000,000.00","53,500,000.00","21,000,000.00","41,000,000.00","51,000,000.00","84,700,000.00",,,"169,000,000.00","169,000,000.00",
支付的各项税费,"8,900,124.08","14,291,628.17","21,363,366.96","12,035,297.83","15,545,010.17","19,228,433.86","21,718,786.78","10,290,678.27","16,979,714.50","22,548,962.47","30,081,546.44","10,302,700.23"
收到其他与筹资活动有关的现金,,,"24,044,500.00","8,300,000.00","8,300,000.00","23,850,000.00","8,300,000.00",,,,,
支付其他与经营活动有关的现金,"19,790,802.53","25,486,650.49","33,847,554.54","17,252,121.23","30,883,741.22","58,392,345.75","64,430,888.85","24,708,344.77","37,448,961.27","99,926,370.71","57,508,769.89","60,012,714.11"
筹资活动现金流入小计,"20,000,000.00","55,000,000.00","77,544,500.00","29,300,000.00","49,300,000.00","272,450,000.00","470,637,729.44",,,"170,575,440.00","172,153,790.00",
经营活动现金流出小计,"250,167,946.21","386,160,325.43","359,018,112.87","153,754,312.62","266,479,246.00","403,649,646.47","560,442,507.97","167,027,523.36","320,593,172.47","561,243,553.43","658,318,733.04","298,991,292.44"
偿还债务支付的现金,"13,000,000.00","23,000,000.00","60,000,000.00","15,000,000.00","29,000,000.00","39,000,000.00","123,700,000.00",,,,,"60,000,000.00"
经营活动产生的现金流量净额,"38,040,601.09","21,360,520.98","35,112,190.06","-103,490,184.67","-91,513,722.04","-57,310,250.58","114,707,087.80","-72,116,653.05","-106,531,105.38","-190,067,308.38","-3,235,178.77","-160,234,923.73"
分配股利、利润或偿还利息支付的现金,"21,480,574.37","12,176,234.06","1,807,708.98","551,746.53","1,175,002.08","1,825,296.06","2,317,621.04","53,437.50","108,062.50","12,137,333.33","14,049,660.41","1,319,402.08"
收回投资收到的现金,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"943,396.23","25,344,500.00","12,400,000.00",,"800,000.00","6,561,020.56","28,198,500.00",,,"180,318,750.00","180,318,750.00",
取得投资收益收到的现金,,,,,,,,,,,,
筹资活动现金流出小计,"35,423,970.60","60,520,734.06","74,207,708.98","15,551,746.53","30,975,002.08","47,386,316.62","154,216,121.04","53,437.50","108,062.50","192,456,083.33","194,368,410.41","61,319,402.08"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,,"26,814.00","26,814.00",
筹资活动产生的现金流量净额,"-15,423,970.60","-5,520,734.06","3,336,791.02","13,748,253.47","18,324,997.92","225,063,683.38","316,421,608.40","-53,437.50","-108,062.50","-21,880,643.33","-22,214,620.41","-61,319,402.08"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,"-3,354,175.42","-5,314,336.00","1,774,714.85","1,694,687.20","4,589,583.20","6,133,637.81","2,475,983.08","1,344,574.50","456,368.19","770,373.41","148,990.80","-383,402.12"
收到其他与投资活动有关的现金,"1,147,607.73","663,504.19","344,758.07","204,469.66","247,590.53","409,778.91","2,335,487.36","923,792.74","3,642,927.34","5,130,526.55","7,942,677.42","1,240,134.70"
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"1,147,607.73","663,504.19","344,758.07","204,469.66","247,590.53","409,778.91","2,335,487.36","923,792.74","3,642,927.34","5,157,340.55","7,969,491.42","1,240,134.70"
五、现金及现金等价物净增加额,"-468,244.51","-2,926,258.23","23,275,542.67","-89,365,325.40","-75,639,170.71","56,925,367.98","416,855,187.07","-79,767,697.16","-130,868,829.13","-251,953,827.95","-60,480,650.19","-256,842,831.80"
购建固定资产、无形资产和其他长期资产支付的现金,"20,878,307.31","14,115,213.34","17,292,911.33","1,522,551.06","7,287,620.32","18,371,481.54","14,884,979.57","9,865,973.85","28,328,956.78","45,933,590.20","43,149,333.23","10,145,238.57"
期初现金及现金等价物余额,"116,183,105.39","115,714,860.88","112,788,602.65","136,064,145.32","136,064,145.32","136,064,145.32","136,064,145.32","552,919,332.39","552,919,332.39","552,919,332.39","552,919,332.39","492,438,682.19"
投资支付的现金,,,,,,"99,000,000.00","4,200,000.00",,,,,"26,000,000.00"
期末现金及现金等价物余额,"115,714,860.88","112,788,602.65","136,064,145.32","46,698,819.92","60,424,974.61","192,989,513.30","552,919,332.39","473,151,635.23","422,050,503.26","300,965,504.44","492,438,682.20","235,595,850.39"
