科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"204,597,557.44","335,848,304.64","343,439,675.88","155,170,551.99","231,930,419.41","341,262,687.25","71,057,837.12","158,740,526.53","230,949,744.53","333,006,383.60","93,813,545.66","236,613,671.59"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,"1,639,309.86","2,838,000.38","4,785,038.71","1,180,585.26","1,819,759.40","1,819,759.40",,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,
收到其他与经营活动有关的现金,"4,689,891.57","3,521,787.78","1,711,220.21","554,203.03","12,103,095.70","13,051,071.01","2,509,870.47","5,575,941.58","6,876,870.63","1,808,226.82","1,841,737.05","2,171,546.05"
投资活动现金流出小计,"4,121,936.38","22,651,072.18","23,079,041.27","61,608,125.02","66,543,935.78","89,606,777.43","12,304,213.95","20,697,960.26","36,408,490.71","482,838,078.57","65,362,816.47","185,263,461.75"
经营活动现金流入小计,"210,926,758.87","342,208,092.80","349,935,934.80","156,905,340.28","245,853,274.51","356,133,517.66","73,567,707.59","164,316,468.11","237,826,615.16","334,814,610.42","95,655,282.71","238,785,217.64"
投资活动产生的现金流量净额,"-3,524,144.38","-22,611,510.47","-12,449,931.88","-61,406,128.15","-66,204,308.76","-89,223,999.73","-12,304,213.95","-20,697,960.26","-35,617,559.20","-61,282,215.56","-64,838,487.71","-184,646,328.20"
购买商品、接受劳务支付的现金,"123,956,853.97","178,566,452.64","146,447,571.65","64,040,743.53","115,123,993.65","149,903,586.55","37,065,703.48","78,035,424.73","128,515,464.23","168,956,884.45","29,296,961.43","80,522,191.65"
吸收投资收到的现金,"22,244,000.00","63,363,500.00",,,,,"188,651,700.00","188,651,700.00","188,651,700.00","167,845,567.98",,
支付给职工以及为职工支付的现金,"65,112,912.61","82,783,261.63","93,040,705.14","50,076,156.71","77,954,520.56","109,330,975.74","25,879,549.99","59,926,011.08","88,017,825.84","115,012,103.08","26,165,619.49","65,278,907.29"
取得借款收到的现金,"85,100,000.00","64,000,000.00","55,000,000.00","40,400,000.00","71,080,000.00","121,080,000.00","1,000,000.00","6,000,000.00","18,000,000.00","48,000,000.00","13,300,000.00","86,485,317.92"
支付的各项税费,"20,455,334.92","25,571,647.39","26,382,525.17","17,866,363.29","27,177,980.06","38,944,579.02","4,293,871.26","11,103,265.65","20,587,886.83","25,404,441.43","4,668,914.69","15,050,799.82"
收到其他与筹资活动有关的现金,"6,775,000.00",,,,,,,,,"6,735,073.00",,
支付其他与经营活动有关的现金,"32,725,981.04","37,661,215.87","40,823,376.04","21,877,984.19","30,809,636.46","40,971,515.50","15,034,986.45","21,251,864.27","29,545,461.42","45,882,495.15","19,053,129.79","17,171,519.40"
筹资活动现金流入小计,"114,119,000.00","127,363,500.00","55,000,000.00","40,400,000.00","71,080,000.00","121,080,000.00","189,651,700.00","194,651,700.00","206,651,700.00","222,580,640.98","13,300,000.00","86,485,317.92"
经营活动现金流出小计,"242,251,082.54","324,582,577.53","306,694,178.00","153,861,247.72","251,066,130.73","339,150,656.81","82,274,111.18","170,316,565.73","266,666,638.32","355,255,924.11","79,184,625.40","178,023,418.16"
偿还债务支付的现金,"75,000,000.00","72,500,000.00","62,500,000.00","9,000,000.00","38,000,000.00","49,000,000.00","10,000,000.00","21,400,000.00","57,080,000.00","62,080,000.00","1,000,000.00","6,000,000.00"
经营活动产生的现金流量净额,"-31,324,323.67","17,625,515.27","43,241,756.80","3,044,092.56","-5,212,856.22","16,982,860.85","-8,706,403.59","-6,000,097.62","-28,840,023.16","-20,441,313.69","16,470,657.31","60,761,799.48"
分配股利、利润或偿还利息支付的现金,"4,575,957.18","6,059,053.34","3,647,989.47","1,877,517.54","2,818,339.78","3,595,442.07","759,646.45","9,020,282.52","9,766,437.30","13,802,956.99","1,552,438.03","8,998,192.85"
收回投资收到的现金,,,"10,000,000.00",,,,,,,"420,000,000.00",,
支付其他与筹资活动有关的现金,"6,834,700.00","11,501,560.00","1,753,375.68","18,867.92","581,007.92","1,194,215.47","19,388,383.92","19,670,402.78","19,670,402.78",,,"740,217.60"
取得投资收益收到的现金,,"39,561.71","549,109.39","201,996.87","339,627.02","382,777.70",,,"790,931.51","1,555,863.01","524,328.76","617,133.55"
筹资活动现金流出小计,"86,410,657.18","90,060,613.34","67,901,365.15","10,896,385.46","41,399,347.70","53,789,657.54","30,148,030.37","50,090,685.30","86,516,840.08","75,882,956.99","2,552,438.03","15,738,410.45"
处置固定资产、无形资产和其他长期资产收回的现金净额,"597,792.00",,"80,000.00",,,,,,,,,
筹资活动产生的现金流量净额,"27,708,342.82","37,302,886.66","-12,901,365.15","29,503,614.54","29,680,652.30","67,290,342.46","159,503,669.63","144,561,014.70","120,134,859.92","146,697,683.99","10,747,561.97","70,746,907.47"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"597,792.00","39,561.71","10,629,109.39","201,996.87","339,627.02","382,777.70",,,"790,931.51","421,555,863.01","524,328.76","617,133.55"
五、现金及现金等价物净增加额,"-7,140,125.23","32,316,891.46","17,890,459.77","-28,858,421.05","-41,736,512.68","-4,950,796.42","138,493,052.09","117,862,956.82","55,677,277.56","64,974,154.74","-37,620,268.43","-53,137,621.25"
购建固定资产、无形资产和其他长期资产支付的现金,"4,121,936.38","12,651,072.18","23,079,041.27","46,608,125.02","51,543,935.78","89,606,777.43","12,304,213.95","20,697,960.26","36,408,490.71","62,838,078.57","19,362,816.47","29,263,461.75"
期初现金及现金等价物余额,"28,469,332.00","21,329,206.77","53,646,098.23","71,536,558.00","71,536,558.00","71,536,558.00","66,585,761.58","66,585,761.58","66,585,761.58","66,585,761.58","131,559,916.32","131,559,916.32"
投资支付的现金,,"10,000,000.00",,"15,000,000.00","15,000,000.00",,,,,"420,000,000.00","46,000,000.00","156,000,000.00"
期末现金及现金等价物余额,"21,329,206.77","53,646,098.23","71,536,558.00","42,678,136.95","29,800,045.32","66,585,761.58","205,078,813.67","184,448,718.40","122,263,039.14","131,559,916.32","93,939,647.89","78,422,295.07"
