科目,2013年度,2014年1-3月,2015年度
一、营业收入,"30,117,441.57","5,535,458.98","40,070,696.20"
二、营业利润,"-8,814,779.87","-2,026,434.93","1,485,424.52"
减:营业成本,"29,094,274.52","5,545,056.78","28,583,287.91"
加:补贴收入,,,
营业税金及附加,"528,979.76","9,171.25","654,304.49"
营业外收入,"11,175.00",,"11,217.00"
销售费用,"3,323,680.04","359,816.50","2,076,458.58"
减:营业外支出,"10,192.33",,600.00
管理费用,"5,873,847.57","1,648,260.80","7,161,353.47"
其中:非流动资产处置净损失,"3,012.32",,
堪探费用,,,
加:影响利润总额的其他科目,,,
财务费用,"14,597.73",-411.42,"7,628.89"
三、利润总额,"-8,813,797.20","-2,026,434.93","1,496,041.52"
资产减值损失,"96,841.82",,"102,238.34"
减:所得税,,,
加:公允价值变动净收益,,,
加:影响净利润的其他科目,,,
投资收益,,,
四、净利润,"-8,813,797.20","-2,026,434.93","1,496,041.52"
其中:对联营企业和合营企业的投资权益,,,
归属于母公司所有者的净利润,"-8,813,797.20","-2,026,434.93","1,496,041.52"
影响营业利润的其他科目,,,
少数股东损益,,,
