科目,2005-06-30
货币资金,"67,800.27"
短期借款,"460,612,458.20"
交易性金融资产,
交易性金融负债,
应收票据,
应付票据,
应收账款,"9,576.00"
应付账款,
预付款项,
预收款项,"12,643,500.00"
其他应收款,"56,756,597.19"
应付职工薪酬,"428,847.03"
应收关联公司款,
应交税费,"2,311,032.22"
应收利息,
应付利息,
应收股利,
应付股利,"5,965,303.20"
存货,
其他应付款,"54,677,529.14"
其中:消耗性生物资产,
应付关联公司款,
一年内到期的非流动资产,
一年内到期的非流动负债,
其他流动资产,
其他流动负债,"348,988,974.83"
流动资产合计,"56,833,973.46"
流动负债合计,"885,627,644.62"
可供出售金融资产,
长期借款,
持有至到期投资,
应付债券,
长期应收款,
长期应付款,
长期股权投资,
专项应付款,
投资性房地产,
预计负债,
固定资产,"1,452,474.00"
递延所得税负债,
在建工程,
其他非流动负债,
工程物资,
非流动负债合计,
固定资产清理,
负债合计,"885,627,644.62"
生产性生物资产,
实收资本(或股本),"302,723,222.00"
油气资产,
资本公积,"225,243,573.98"
无形资产,"151,917,521.49"
盈余公积,"17,576,004.59"
开发支出,
减:库存股,
商誉,
未分配利润,"-1,220,966,476.24"
长期待摊费用,
少数股东权益,
递延所得税资产,
外币报表折算价差,
其他非流动资产,
非正常经营项目收益调整,
非流动资产合计,"153,369,995.49"
所有者权益(或股东权益)合计,"-675,423,675.67"
资产总计,"210,203,968.95"
负债和所有者(或股东权益)合计,"210,203,968.95"
