科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"863,385,572.16","936,786,183.36","992,013,719.06","511,004,558.55","772,017,978.05","1,091,234,758.69","284,318,942.52","510,189,045.85","827,158,983.57","1,226,834,381.07","257,803,455.44","636,555,029.28","863,903,923.23","1,448,683,122.38","459,988,228.67"
取得子公司及其他营业单位支付的现金净额,,"39,908,400.00",,,,,,,,"5,500,000.00",,,,"49,496,066.89",
收到的税费返还,"63,492,638.57","53,350,631.19","53,714,736.41","30,149,036.81","32,748,015.83","52,357,485.66","13,851,422.74","34,153,822.44","46,732,339.74","60,816,194.92","16,810,826.68","32,874,447.07","48,153,243.54","58,201,731.51","23,043,817.58"
支付其他与投资活动有关的现金,,"2,011,000.00","18,900.00","2,832,820.00",,"61,565,420.00",,"30,000,000.00","30,000,000.00","20,150,000.00","160,000.00","1,200,000.00","25,705,000.00","16,513,985.00","33,600,000.00"
收到其他与经营活动有关的现金,"14,789,308.20","38,907,953.21","18,379,911.79","7,604,589.54","41,245,002.99","11,079,794.05","48,968,447.15","7,824,402.32","47,550,477.99","32,393,747.23","3,045,523.58","30,607,375.56","21,487,956.11","36,470,592.89","44,457,165.62"
投资活动现金流出小计,"98,472,774.97","120,642,270.95","135,598,624.59","35,875,616.62","35,778,107.60","132,377,974.77","31,762,519.35","106,336,815.24","125,703,500.73","201,784,392.95","20,925,362.41","73,146,072.84","203,576,300.58","269,291,080.07","82,419,749.35"
经营活动现金流入小计,"941,667,518.93","1,029,044,767.76","1,064,108,367.26","548,758,184.90","846,010,996.87","1,154,672,038.40","347,138,812.41","552,167,270.61","921,441,801.30","1,320,044,323.22","277,659,805.70","700,036,851.91","933,545,122.88","1,543,355,446.78","527,489,211.87"
投资活动产生的现金流量净额,"-69,898,757.04","-104,311,366.53","-133,287,572.21","-32,321,470.32","-33,209,639.60","-115,927,522.33","-30,567,588.27","-29,720,205.39","-93,000,392.67","-118,457,646.88","-14,520,569.68","-64,060,501.53","-186,120,941.47","-227,250,315.33","-61,330,849.08"
购买商品、接受劳务支付的现金,"551,952,308.16","658,952,151.90","624,211,210.05","303,333,277.81","505,402,211.49","689,820,161.31","204,490,030.72","355,633,149.96","568,267,771.21","859,059,738.29","188,858,304.01","478,421,338.70","637,391,708.09","989,367,819.32","290,973,700.56"
吸收投资收到的现金,,,,,,"406,460,103.83",,,,"400,000.00",,,,,
