科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"468,448,693.32","522,582,251.79","514,804,628.17","690,911,670.12","145,189,973.18","161,878,381.29","179,381,079.94","146,665,553.49","207,239,033.36","135,175,628.69","186,636,184.98","214,227,890.28","160,336,445.51","268,810,629.57","269,619,309.39","264,668,711.13","264,507,271.40","231,543,548.83","343,506,937.32","137,592,692.20","119,396,423.47","103,409,041.00","113,048,116.39","116,429,342.06","90,058,084.62","100,482,824.20","153,432,450.37","154,638,956.84","138,695,176.26","295,304,553.24","179,346,407.91","112,956,880.79","116,784,505.15","148,209,326.01","114,568,200.16","409,981,125.83","647,808,805.66","699,976,317.12","695,251,458.38","440,929,263.74","208,195,796.27","146,623,791.62","87,752,186.68"
短期借款,"10,653,413.66","13,331,954.61","30,622,095.06","13,000,000.00","2,000,000.00","32,956,735.77","3,000,000.00","24,275,265.53","15,000,000.00","14,500,000.00","43,350,844.54","50,318,259.02","51,017,265.30","134,000,000.00","134,303,262.84","299,781,952.01","255,715,385.50","241,666,773.14","446,530,821.31","394,160,919.25","368,000,000.00","518,000,000.00","677,632,701.79","794,970,801.96","1,110,718,156.20","1,165,879,266.20","1,213,760,637.36","1,228,882,187.79","1,262,733,471.59","1,695,743,600.00","1,637,863,439.14","1,650,682,189.31","1,609,884,227.60","1,673,000,000.00","2,542,133,679.82","2,508,000,000.00","979,520,000.00","1,105,520,000.00","1,105,520,000.00","950,000,000.00","950,000,000.00","944,755,964.52","944,755,964.52"
交易性金融资产,"1,929,050.00",,,,,,,,,,,"63,121,778.22","78,143,725.44","59,082,636.80","67,227,543.04","62,736,777.60","29,802,080.00","23,091,200.00","19,627,520.00","21,893,344.00",,,,,,,,,,,,,,,,,,,,"1,828,926,253.70","1,670,366,981.92","1,710,399,273.31","1,764,560,608.72"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"36,700,000.00","46,045,704.00","89,348,721.64","35,401,397.31","22,701,397.31","92,785,269.62","105,376,498.36","64,253,067.80","28,000,000.00","36,171,485.73","12,157,669.01","13,988,762.50","11,632,164.80","16,000,000.00","45,890,525.00","93,550,558.50","61,000,000.00","41,580,000.00","30,656,756.00","58,246,895.30","30,037,430.30","56,024,621.70","47,135,035.70","33,200,000.00","25,000,000.00","51,002,395.00","17,891,645.00","14,173,316.00","16,717,457.24","36,027,479.43","64,691,832.04","56,759,931.54","18,164,725.72","63,595,876.10","51,166,272.61","53,650,000.00","26,110,000.00","15,467,797.85","15,770,815.20",,,,
应付票据,,,,,,,,,,"15,436,252.00","193,484,968.00","435,267,110.00","399,848,394.00","391,990,000.00","272,850,000.00","109,140,000.00","109,140,000.00","74,570,000.00","20,000,000.00","18,000,000.00","20,000,000.00","20,000,000.00",,"20,000,000.00",,"30,000,000.00","30,000,000.00","20,000,000.00",,,,,"48,500,000.00","51,500,000.00","23,000,000.00",,,"10,000,000.00","10,000,000.00",,,,
应收账款,"54,645,387.40","61,642,173.18","37,942,376.90","51,194,231.61","59,520,451.21","54,313,428.37","63,206,196.85","61,464,210.58","68,765,892.53","46,023,030.01","56,369,635.77","78,453,397.73","80,277,220.55","80,693,289.35","78,438,187.33","80,604,576.07","97,967,140.83","86,404,776.41","140,609,256.49","105,220,140.85","103,859,001.82","105,273,041.15","129,758,526.35","118,156,399.71","148,116,054.40","120,197,480.31","159,791,832.95","129,655,554.22","124,582,844.86","117,446,290.68","103,844,954.85","161,234,697.00","153,721,572.84","150,758,857.61","137,613,663.61","97,845,656.52","94,083,581.26","119,393,311.33","137,898,404.72",,,,
应付账款,"29,471,833.72","31,617,216.64","31,170,209.61","39,468,139.99","29,973,719.92","14,706,599.16","102,647,796.85","46,348,537.95","58,864,979.37","46,672,331.02","67,561,551.50","46,982,143.29","63,853,522.07","88,060,362.95","84,802,438.77","85,568,707.37","98,897,127.91","56,740,390.00","100,410,385.03","82,403,844.59","101,583,893.85","143,236,782.52","112,120,677.43","77,275,254.11","131,062,814.89","94,555,403.12","123,706,068.21","127,460,630.33","166,767,472.29","123,303,329.78","109,041,354.00","120,705,539.33","109,614,625.67","95,654,165.26","89,714,795.45","87,700,149.91","85,773,558.42","107,798,152.78","53,670,593.60","7,678,482.14","9,295,538.62","12,018,892.54","6,638,104.60"
预付款项,"33,620,668.43","14,582,223.46","15,214,013.42","55,761,763.85","194,760,998.31","125,883,273.99","111,157,847.79","766,771.43","6,505,474.75","12,534,718.36","7,391,590.46","6,447,780.51","36,535,660.40","51,009,861.98","24,938,848.66","17,114,582.68","2,567,433.66","1,338,781.66","1,293,843.14","14,836,233.33","4,346,981.06","2,777,599.65","11,843,854.65","17,058,552.90","2,634,616.44","4,263,319.10","4,590,386.83","1,904,456.49","14,932,417.42","27,103,004.31","10,003,218.60","9,931,977.07","79,109,090.71","70,434,733.11","97,763,198.84","100,381,696.37","129,972,286.98","105,760,407.96","354,720,115.21","3,328,325.02","3,231,463.87","4,588,473.48","24,632,501.90"
预收款项,"7,179,642.22","7,030,143.67","10,891,024.51","15,127,586.83","10,660,042.87","10,393,938.72","8,810,513.22","6,798,375.96","4,606,336.34","10,242,299.99","11,260,705.87","8,021,696.62","26,340,139.64","16,330,732.78","7,785,204.23","10,333,637.83","6,481,425.86","2,297,932.27","4,392,958.77","7,733,119.45","7,032,997.69","10,774,878.99","9,394,447.39","3,579,705.19","6,061,742.99","5,277,752.45","22,935,094.63","9,966,230.38","10,096,895.00","9,453,026.23","9,380,054.25","3,511,952.57","12,996,279.50","3,553,066.47","5,749,394.05","11,929,472.70","22,348,336.06","7,187,804.59","4,414,821.09",,"65,259.00",,
